date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-25,PEP,USD,0000077476,1995-05-08,1995-05-08 00:00:00,1995,Q1,6190800000,2635700000,3555100000,0.5742553466,0,0,0,2470500000,455500000,2926000000,5561700000,0,0,455500000,1084600000,0.1751954513,629100000,0.1016185307,-132800000,496300000,0.0801673451,175200000,321100000,0.0518672869,0.2,0.2,1605500000,1605500000,https://www.sec.gov/Archives/edgar/data/77476/000007747695000030/0000077476-95-000030-index.html,https://www.sec.gov/Archives/edgar/data/77476/,24735700000,6775300000,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,1972-06-01
1995-06-17,PEP,USD,0000077476,1995-08-01,1995-08-01 00:00:00,1995,Q2,7285800000,3223400000,4062400000,0.557577754,0,0,0,2792100000,401000000,3193100000,6416500000,0,0,-347500000,206800000,0.0283839798,869300000,0.1193142826,-133500000,735800000,0.1009909687,248600000,487200000,0.0668698015,0.31,0.31,1571612903,1571612903,https://www.sec.gov/Archives/edgar/data/77476/000007747695000048/0000077476-95-000048-index.html,https://www.sec.gov/Archives/edgar/data/77476/,25708600000,7233600000,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,1972-06-01
1995-09-09,PEP,USD,0000077476,1995-10-23,1995-10-23 00:00:00,1995,Q3,7693100000,3465200000,4227900000,0.5495703942,0,0,0,2839700000,357600000,3197300000,6662500000,0,0,412100000,1442700000,0.1875316842,1030600000,0.1339642017,-129900000,900700000,0.1170789409,283900000,616800000,0.0801757419,0.39,0.39,1581538462,1581538462,https://www.sec.gov/Archives/edgar/data/77476/000007747695000069/0000077476-95-000069-index.html,https://www.sec.gov/Archives/edgar/data/77476/,25662600000,7492900000,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,1972-06-01
1995-12-31,PEP,USD,0000077476,1996-03-26,1996-03-26 00:00:00,1995,Q4,9251300000,3821700000,5429600000,0.5869013004,0,0,0,4445700000,525900000,4971600000,8793300000,0,0,525900000,983900000,0.1063526207,458000000,0.0495065558,-158800000,299200000,0.0323414007,118300000,180900000,0.0195540086,0.11,0.11,1628292135,1654000000,https://www.sec.gov/Archives/edgar/data/77476/000007747696000023/0000077476-96-000023-index.html,https://www.sec.gov/Archives/edgar/data/77476/,25432000000,7313000000,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,1972-06-01
1996-03-23,PEP,USD,0000077476,1996-05-06,1996-05-06 00:00:00,1996,Q1,6554000000,2899000000,3655000000,0.5576747025,0,0,0,2575000000,374000000,2949000000,5848000000,0,0,374000000,1080000000,0.1647848642,706000000,0.107720476,-118000000,588000000,0.0897162038,194000000,394000000,0.0601159597,0.25,0.24,1576000000,1641666667,https://www.sec.gov/Archives/edgar/data/77476/000007747696000034/0000077476-96-000034-index.html,https://www.sec.gov/Archives/edgar/data/77476/,25413000000,7363000000,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,1972-06-01
1996-06-15,PEP,USD,0000077476,1996-07-30,1996-07-30 00:00:00,1996,Q2,7691000000,3373000000,4318000000,0.561435444,0,0,0,2939000000,393000000,3332000000,6705000000,0,0,393000000,1379000000,0.1793004811,986000000,0.1282017943,-116000000,870000000,0.1131192303,287000000,583000000,0.0758028865,0.37,0.36,1575675676,1619444444,https://www.sec.gov/Archives/edgar/data/77476/000007747696000043/0000077476-96-000043-index.html,https://www.sec.gov/Archives/edgar/data/77476/,26134000000,7453000000,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,1972-06-01
1996-09-07,PEP,USD,0000077476,1996-10-22,1996-10-22 00:00:00,1996,Q3,7867000000,3478000000,4389000000,0.557900089,0,0,0,3419000000,410000000,3829000000,7307000000,0,0,410000000,970000000,0.1232998602,560000000,0.0711834244,-118000000,442000000,0.05618406,298000000,144000000,0.0183043091,0.09,0.09,1600000000,1600000000,https://www.sec.gov/Archives/edgar/data/77476/000007747696000059/0000077476-96-000059-index.html,https://www.sec.gov/Archives/edgar/data/77476/,25986000000,7206000000,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,1972-06-01
1996-12-31,PEP,USD,0000077476,1997-03-25,1997-03-25 00:00:00,1996,Q4,9533000000,4215000000,5318000000,0.5578516731,0,0,0,3660000000,542000000,4202000000,8417000000,0,0,542000000,1658000000,0.1739221651,1116000000,0.1170670303,-969000000,147000000,0.0154201196,119000000,28000000,0.0029371656,0.02,0.03,1519380282,1585000000,https://www.sec.gov/Archives/edgar/data/77476/000007747697000007/0000077476-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/77476/,22160000000,6623000000,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,1972-06-01
1997-03-22,PEP,USD,0000077476,1997-05-05,1997-05-05 00:00:00,1997,Q1,4213000000,1534000000,2679000000,0.6358889153,0,0,0,1867000000,231000000,2098000000,3632000000,0,0,231000000,812000000,0.1927367671,581000000,0.1379064799,-103000000,478000000,0.1134583432,160000000,427000000,0.1013529551,0.28,0.27,1525000000,1581481481,https://www.sec.gov/Archives/edgar/data/77476/000007747697000011/0000077476-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/77476/,24160000000,6492000000,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,1972-06-01
1997-06-14,PEP,USD,0000077476,1997-07-29,1997-07-29 00:00:00,1997,Q2,7707000000,3322000000,4385000000,0.5689632801,0,0,0,2940000000,386000000,3326000000,6648000000,0,0,517000000,1576000000,0.2044894252,1059000000,0.1374075516,20000000,1079000000,0.140002595,423000000,656000000,0.0851174257,0.42,0.42,1561904762,1561904762,https://www.sec.gov/Archives/edgar/data/77476/000007747697000015/0000077476-97-000015-index.html,https://www.sec.gov/Archives/edgar/data/77476/,24904000000,6620000000,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,1972-06-01
