date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-04-02,PFE,USD,0000078003,1995-05-12,1995-05-12 00:00:00,1995,Q1,2402900000,435900000,1967000000,0.8185941987,427000000,1491000000,-270500000,1220500000,316500000,1336100000,1772000000,0,0,115600000,746500000,0.3106662782,630900000,0.2625577427,-2300000,628600000,0.261600566,208200000,420400000,0.1749552624,0.11,0.11,3821818182,3821818182,https://www.sec.gov/Archives/edgar/data/78003/000007800395000002/0000078003-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/78003/,12515300000,4696800000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1995-07-02,PFE,USD,0000078003,1995-08-14,1995-08-14 00:00:00,1995,Q2,2482000000,512800000,1969200000,0.7933924255,474000000,1701000000,-358700000,1342300000,446700000,1432800000,1945600000,0,0,65300000,626900000,0.2525785657,536400000,0.2161160355,-63200000,473200000,0.1906526994,156900000,316300000,0.1274375504,0.08,0.08,3953750000,3953750000,https://www.sec.gov/Archives/edgar/data/78003/000007800395000005/0000078003-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/78003/,12945400000,4829200000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1995-10-01,PFE,USD,0000078003,1995-11-13,1995-11-13 00:00:00,1995,Q3,2538500000,475600000,2062900000,0.812645263,481000000,1746000000,-434600000,1311400000,405600000,1371500000,1847100000,0,0,85300000,776700000,0.3059680914,691400000,0.2723655702,-65500000,625900000,0.2465629309,206800000,425300000,0.1675398858,0.11,0.11,3866363636,3866363636,https://www.sec.gov/Archives/edgar/data/78003/000007800395000007/0000078003-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/78003/,12821100000,5281200000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1995-12-31,PFE,USD,0000078003,1996-03-29,1996-03-29 00:00:00,1995,Q4,2744300000,459600000,2284700000,0.8325255985,0,1503100000,0,1503100000,107800000,1610900000,2070500000,0,0,107800000,781600000,0.2848085122,673800000,0.2455270925,-98600000,575200000,0.209598076,169600000,410900000,0.1497285282,0.0682,0.0682,3774960000,3774960000,https://www.sec.gov/Archives/edgar/data/78003/000091205796005586/0000912057-96-005586-index.html,https://www.sec.gov/Archives/edgar/data/78003/,12729300000,5506600000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1996-03-31,PFE,USD,0000078003,1996-05-14,1996-05-14 00:00:00,1996,Q1,2682000000,412000000,2270000000,0.846383296,0,1360000000,0,1360000000,101000000,1461000000,1873000000,0,0,101000000,910000000,0.3392990306,809000000,0.3016405667,-59000000,750000000,0.2796420582,233000000,517000000,0.1927665921,0.14,0.13,3692857143,3976923077,https://www.sec.gov/Archives/edgar/data/78003/000007800396000003/0000078003-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/78003/,13174000000,5888000000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1996-06-30,PFE,USD,0000078003,1996-08-13,1996-08-13 00:00:00,1996,Q2,2661000000,415000000,2246000000,0.8440435926,0,1566000000,0,1566000000,106000000,1672000000,2087000000,0,0,106000000,680000000,0.2555430289,574000000,0.2157083803,-2000000,572000000,0.2149567832,178000000,394000000,0.1480646374,0.1,0.1,3940000000,3940000000,https://www.sec.gov/Archives/edgar/data/78003/000007800396000008/0000078003-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/78003/,13619000000,5984000000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1996-09-29,PFE,USD,0000078003,1996-11-12,1996-11-12 00:00:00,1996,Q3,2803000000,420000000,2383000000,0.8501605423,551000000,1819000000,-373000000,1446000000,508000000,1548000000,1968000000,0,0,102000000,937000000,0.334284695,835000000,0.2978951124,-89000000,746000000,0.2661434178,232000000,514000000,0.1833749554,0.14,0.13,3671428571,3953846154,https://www.sec.gov/Archives/edgar/data/78003/000007800396000011/0000078003-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/78003/,14616000000,6566000000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1996-12-31,PFE,USD,0000078003,1997-03-28,1997-03-28 00:00:00,1996,Q4,3160000000,499000000,2661000000,0.8420886076,0,1739000000,0,1739000000,121000000,1860000000,2359000000,0,0,121000000,922000000,0.2917721519,801000000,0.2534810127,-71000000,730000000,0.2310126582,226000000,504000000,0.1594936709,0.0824,0.0824,3864000000,3864000000,https://www.sec.gov/Archives/edgar/data/78003/000095011697000605/0000950116-97-000605-index.html,https://www.sec.gov/Archives/edgar/data/78003/,14667000000,6954000000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1997-03-30,PFE,USD,0000078003,1997-05-13,1997-05-13 00:00:00,1997,Q1,3002000000,431000000,2571000000,0.8564290473,545000000,1877000000,-895000000,982000000,1003000000,1641000000,2072000000,0,0,114000000,1044000000,0.3477681546,930000000,0.309793471,-69000000,861000000,0.2868087941,259000000,602000000,0.200532978,0.16,0.15,3762500000,4013333333,https://www.sec.gov/Archives/edgar/data/78003/000007800397000002/0000078003-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/78003/,15053000000,7152000000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
1997-06-29,PFE,USD,0000078003,1997-08-13,1997-08-13 00:00:00,1997,Q2,2913000000,380000000,2533000000,0.8695502918,461000000,1772000000,-527000000,1245000000,601000000,1836000000,2216000000,0,0,130000000,827000000,0.2838997597,697000000,0.2392722279,-65000000,632000000,0.2169584621,175000000,457000000,0.1568829386,0.12,0.12,3808333333,3808333333,https://www.sec.gov/Archives/edgar/data/78003/000007800397000005/0000078003-97-000005-index.html,https://www.sec.gov/Archives/edgar/data/78003/,15732000000,7174000000,Healthcare,Drug Manufacturers - General,NYSE,1972-06-01
