date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,PG,USD,0000080424,1995-05-11,1995-05-11 00:00:00,1995,Q3,8312000000,4879000000,3433000000,0.4130173244,0,0,0,2376000000,0,2376000000,7255000000,0,0,311000000,1368000000,0.1645813282,1057000000,0.1271655438,-119000000,938000000,0.1128488932,307000000,631000000,0.0759143407,0.22,0.21,2742800000,3000000000,https://www.sec.gov/Archives/edgar/data/80424/000008042495000009/0000080424-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/80424/0000080424-95-000009.txt,27799000000,10319000000,Consumer Defensive,Household & Personal Products,NYSE,1978-01-13
1995-06-30,PG,USD,0000080424,1995-09-13,1995-09-13 00:00:00,1995,Q4,8494000000,5316000000,3178000000,0.3741464563,0,0,0,2500000000,0,2500000000,7816000000,0,0,339000000,1017000000,0.1197315752,678000000,0.0798210502,-11000000,667000000,0.0785260184,195000000,472000000,0.0555686367,0.17,0.17,2746400000,2746400000,https://www.sec.gov/Archives/edgar/data/80424/000008042495000027/0000080424-95-000027-index.html,https://www.sec.gov/Archives/edgar/data/80424/0000080424-95-000027.txt,28125000000,10589000000,Consumer Defensive,Household & Personal Products,NYSE,1978-01-13
1995-09-30,PG,USD,0000080424,1995-11-13,1995-11-13 00:00:00,1996,Q1,9027000000,5211000000,3816000000,0.4227318046,0,0,0,2381000000,0,2381000000,7592000000,0,0,323000000,1758000000,0.1947490861,1435000000,0.1589675418,-61000000,1374000000,0.1522100366,478000000,896000000,0.0992577822,0.32,0.3,2746400000,2992000000,https://www.sec.gov/Archives/edgar/data/80424/000008042495000029/0000080424-95-000029-index.html,https://www.sec.gov/Archives/edgar/data/80424/0000080424-95-000029.txt,28367000000,11024000000,Consumer Defensive,Household & Personal Products,NYSE,1978-01-13
1995-12-31,PG,USD,0000080424,1996-02-13,1996-02-13 00:00:00,1996,Q2,9090000000,5265000000,3825000000,0.4207920792,0,0,0,2473000000,0,2473000000,7738000000,0,0,328000000,1680000000,0.1848184818,1352000000,0.1487348735,-71000000,1281000000,0.1409240924,445000000,836000000,0.0919691969,0.3,0.28,2746000000,2992000000,https://www.sec.gov/Archives/edgar/data/80424/000008042496000003/0000080424-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/80424/0000080424-96-000003.txt,28215000000,11384000000,Consumer Defensive,Household & Personal Products,NYSE,1978-01-13
1996-03-31,PG,USD,0000080424,1996-05-10,1996-05-10 00:00:00,1996,Q3,8587000000,5026000000,3561000000,0.4146966344,0,0,0,2368000000,0,2368000000,7394000000,0,0,324000000,1517000000,0.1766623966,1193000000,0.1389309421,-46000000,1147000000,0.1335740072,387000000,760000000,0.088505881,0.27,0.26,2746000000,2988800000,https://www.sec.gov/Archives/edgar/data/80424/000008042496000006/0000080424-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/80424/0000080424-96-000006.txt,28097000000,11729000000,Consumer Defensive,Household & Personal Products,NYSE,1978-01-13
1996-06-30,PG,USD,0000080424,1996-09-11,1996-09-11 00:00:00,1996,Q4,8580000000,5260000000,3320000000,0.3869463869,0,0,0,2485000000,0,2485000000,7745000000,0,0,383000000,1218000000,0.141958042,835000000,0.0973193473,32000000,867000000,0.101048951,313000000,554000000,0.0645687646,0.2,0.2,2735200000,2735200000,https://www.sec.gov/Archives/edgar/data/80424/000008042496000017/0000080424-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/80424/0000080424-96-000017.txt,27730000000,11722000000,Consumer Defensive,Household & Personal Products,NYSE,1978-01-13
1996-09-30,PG,USD,0000080424,1996-11-13,1996-11-13 00:00:00,1997,Q1,8903000000,5002000000,3901000000,0.43816691,0,0,0,2354000000,0,2354000000,7356000000,0,0,329000000,1876000000,0.2107154892,1547000000,0.1737616534,-56000000,1491000000,0.1674716388,512000000,979000000,0.1099629338,0.35,0.33,2735200000,2981200000,https://www.sec.gov/Archives/edgar/data/80424/000008042496000043/0000080424-96-000043-index.html,https://www.sec.gov/Archives/edgar/data/80424/0000080424-96-000043.txt,28164000000,12012000000,Consumer Defensive,Household & Personal Products,NYSE,1978-01-13
1996-12-31,PG,USD,0000080424,1997-02-11,1997-02-11 00:00:00,1997,Q2,9142000000,5095000000,4047000000,0.4426821264,0,0,0,2526000000,0,2526000000,7621000000,0,0,338000000,1859000000,0.2033471888,1521000000,0.1663749727,-89000000,1432000000,0.156639685,488000000,944000000,0.1032596806,0.34,0.32,2728800000,2977200000,https://www.sec.gov/Archives/edgar/data/80424/000008042497000006/0000080424-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/80424/0000080424-97-000006.txt,28120000000,12311000000,Consumer Defensive,Household & Personal Products,NYSE,1978-01-13
1997-03-31,PG,USD,0000080424,1997-05-09,1997-05-09 00:00:00,1997,Q3,8771000000,4918000000,3853000000,0.4392885646,0,0,0,2470000000,0,2470000000,7388000000,0,0,345000000,1728000000,0.1970128834,1383000000,0.1576787139,-53000000,1330000000,0.1516360734,449000000,881000000,0.1004446471,0.32,0.3,2725600000,2972000000,https://www.sec.gov/Archives/edgar/data/80424/000008042497000023/0000080424-97-000023-index.html,https://www.sec.gov/Archives/edgar/data/80424/0000080424-97-000023.txt,27465000000,12352000000,Consumer Defensive,Household & Personal Products,NYSE,1978-01-13
1997-06-30,PG,USD,0000080424,1997-09-10,1997-09-10 00:00:00,1997,Q4,8948000000,5328000000,3620000000,0.4045596781,0,0,0,2583000000,0,2583000000,7911000000,0,0,475000000,1512000000,0.1689763076,1037000000,0.1158918194,-41000000,996000000,0.1113097899,385000000,611000000,0.0682834153,0.23,0.23,2696600000,2696600000,https://www.sec.gov/Archives/edgar/data/80424/000008042497000062/0000080424-97-000062-index.html,https://www.sec.gov/Archives/edgar/data/80424/0000080424-97-000062.txt,27544000000,12046000000,Consumer Defensive,Household & Personal Products,NYSE,1978-01-13
