date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,PH,USD,0000076334,1995-05-12,1995-05-12 00:00:00,1995,Q3,879700000,636200000,243500000,0.2767989087,0,98900000,0,98900000,30800000,129700000,765900000,0,0,30800000,144600000,0.1643742185,113800000,0.1293622826,-9000000,104800000,0.1191315221,38900000,65900000,0.0749119018,0.39,0.39,167458644,167458644,https://www.sec.gov/Archives/edgar/data/76334/000007633495000007/0000076334-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/76334/,2198700000,1125300000,Industrials,Industrial - Machinery,NYSE,1980-03-17
1995-06-30,PH,USD,0000076334,1995-09-28,1995-09-28 00:00:00,1995,Q4,884000000,628300000,255700000,0.2892533937,0,113000000,0,113000000,29600000,142600000,770900000,0,0,29600000,142700000,0.1614253394,113100000,0.1279411765,-9600000,103500000,0.117081448,35900000,67600000,0.0764705882,0.4,0.4,168739160,168739160,https://www.sec.gov/Archives/edgar/data/76334/000007633495000021/0000076334-95-000021-index.html,https://www.sec.gov/Archives/edgar/data/76334/,2302200000,1191500000,Industrials,Industrial - Machinery,NYSE,1980-03-17
1995-09-30,PH,USD,0000076334,1995-11-13,1995-11-13 00:00:00,1996,Q1,839100000,610900000,228200000,0.2719580503,0,97700000,0,97700000,34700000,132400000,743300000,0,0,34700000,130500000,0.1555237755,95800000,0.114169944,-4700000,91100000,0.1085687046,33700000,57400000,0.0684066261,0.34,0.34,168739160,168739160,https://www.sec.gov/Archives/edgar/data/76334/000007633495000025/0000076334-95-000025-index.html,https://www.sec.gov/Archives/edgar/data/76334/,2317100000,1233500000,Industrials,Industrial - Machinery,NYSE,1980-03-17
1995-12-31,PH,USD,0000076334,1996-02-13,1996-02-13 00:00:00,1996,Q2,824400000,607500000,216900000,0.2631004367,0,101200000,0,101200000,34000000,135200000,742700000,0,0,34000000,115700000,0.140344493,81700000,0.0991023775,-4900000,76800000,0.0931586608,28400000,48400000,0.0587093644,0.29,0.29,164917541,164917541,https://www.sec.gov/Archives/edgar/data/76334/000007633496000003/0000076334-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/76334/,2340200000,1273500000,Industrials,Industrial - Machinery,NYSE,1980-03-17
1996-03-31,PH,USD,0000076334,1996-05-13,1996-05-13 00:00:00,1996,Q3,931400000,673600000,257800000,0.2767876315,0,106500000,0,106500000,34300000,140800000,814400000,0,0,34300000,151300000,0.1624436332,117000000,0.1256173502,-7300000,109700000,0.1177796865,40600000,69100000,0.0741893923,0.41,0.41,167093872,167093872,https://www.sec.gov/Archives/edgar/data/76334/000007633496000013/0000076334-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/76334/,2583600000,1325400000,Industrials,Industrial - Machinery,NYSE,1980-03-17
1996-06-30,PH,USD,0000076334,1996-09-30,1996-09-30 00:00:00,1996,Q4,991600000,722900000,268700000,0.2709762001,0,120000000,0,120000000,38400000,158400000,881300000,0,0,38400000,148700000,0.1499596612,110300000,0.1112343687,-13400000,96900000,0.0977208552,32100000,64800000,0.065348931,0.39,0.39,166547161,166547161,https://www.sec.gov/Archives/edgar/data/76334/000007633496000032/0000076334-96-000032-index.html,https://www.sec.gov/Archives/edgar/data/76334/,2887100000,1384000000,Industrials,Industrial - Machinery,NYSE,1980-03-17
1996-09-30,PH,USD,0000076334,1996-11-14,1996-11-14 00:00:00,1997,Q1,959300000,710600000,248700000,0.2592515376,0,114400000,0,114400000,43900000,158300000,868900000,0,0,43900000,134300000,0.1399979151,90400000,0.09423538,-10600000,79800000,0.0831856562,28700000,51100000,0.0532680079,0.31,0.3,166547161,170248209,https://www.sec.gov/Archives/edgar/data/76334/000007633496000036/0000076334-96-000036-index.html,https://www.sec.gov/Archives/edgar/data/76334/,2897400000,1422400000,Industrials,Industrial - Machinery,NYSE,1980-03-17
1996-12-31,PH,USD,0000076334,1997-02-13,1997-02-13 00:00:00,1997,Q2,969600000,717200000,252400000,0.2603135314,0,119500000,0,119500000,44100000,163600000,880800000,0,0,44100000,132900000,0.1370668317,88800000,0.0915841584,-6600000,82200000,0.0847772277,29600000,52600000,0.0542491749,0.31,0.31,167788446,167788446,https://www.sec.gov/Archives/edgar/data/76334/000007633497000006/0000076334-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/76334/,2887600000,1461300000,Industrials,Industrial - Machinery,NYSE,1980-03-17
1997-03-31,PH,USD,0000076334,1997-05-14,1997-05-14 00:00:00,1997,Q3,1047100000,757100000,290000000,0.2769554006,0,115700000,0,115700000,43500000,159200000,916300000,0,0,43500000,174300000,0.166459746,130800000,0.1249164359,-11100000,119700000,0.1143157292,41700000,78000000,0.0744914526,0.47,0.47,167059327,167059327,https://www.sec.gov/Archives/edgar/data/76334/000007633497000009/0000076334-97-000009-index.html,https://www.sec.gov/Archives/edgar/data/76334/,2906800000,1488900000,Industrials,Industrial - Machinery,NYSE,1980-03-17
1997-06-30,PH,USD,0000076334,1997-09-29,1997-09-29 00:00:00,1997,Q4,1115100000,798300000,316800000,0.2841000807,0,125500000,0,125500000,38300000,163800000,962100000,0,0,38300000,191300000,0.1715541207,153000000,0.1372074253,-9800000,143200000,0.1284189759,50800000,92400000,0.0828625235,0.55,0.55,167193539,167701863,https://www.sec.gov/Archives/edgar/data/76334/000007633497000025/0000076334-97-000025-index.html,https://www.sec.gov/Archives/edgar/data/76334/,2998900000,1547300000,Industrials,Industrial - Machinery,NYSE,1980-03-17
