date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,PHM,USD,0000822416,1995-03-31,1995-03-31 00:00:00,1995,Q1,332900000,332400000,500000,0.0015019525,0,0,0,0,1200000,1200000,333600000,0,0,1200000,500000,0.0015019525,-700000,-0.0021027336,0,-700000,-0.0021027336,-300000,3500000,0.0105136678,0.015,0.015,233333333,233333333,,,1907000000,708200000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1995-06-30,PHM,USD,0000822416,1995-06-30,1995-06-30 00:00:00,1995,Q2,485500000,466900000,18600000,0.0383110196,0,0,0,0,2500000,2500000,469400000,0,0,2300000,18600000,0.0383110196,16100000,0.033161689,-100000,16000000,0.0329557158,6500000,10700000,0.0220391349,0.0475,0.0475,225263158,225263158,,,1962100000,709900000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1995-09-30,PHM,USD,0000822416,1995-09-30,1995-09-30 00:00:00,1995,Q3,543300000,514000000,29300000,0.0539296889,0,0,0,0,2100000,2100000,516100000,0,0,2300000,29500000,0.0542978097,27200000,0.0500644211,100000,27300000,0.0502484815,11000000,18800000,0.0346033499,0.0875,0.0875,214857143,214857143,,,1906300000,734700000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1995-12-31,PHM,USD,0000822416,1995-12-31,1995-12-31 00:00:00,1995,Q4,667400000,627500000,39900000,0.0597842373,0,0,0,0,500000,500000,628000000,0,0,500000,39900000,0.0597842373,39400000,0.0590350614,100000,39500000,0.0591848966,16000000,25400000,0.0380581361,0.12,0.12,214857143,214857143,,,2048500000,761000000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1996-03-31,PHM,USD,0000822416,1996-05-14,1996-05-14 00:00:00,1996,Q1,432500000,422300000,10200000,0.023583815,0,0,0,0,1600000,1600000,423900000,0,0,1600000,10200000,0.023583815,8600000,0.0198843931,0,8600000,0.0198843931,3500000,7100000,0.016416185,0.035,0.035,202857143,202857143,https://www.sec.gov/Archives/edgar/data/822416/000095000996000238/0000950009-96-000238-index.html,https://www.sec.gov/Archives/edgar/data/822416/,1921000000,754100000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1996-06-30,PHM,USD,0000822416,1996-08-13,1996-08-13 00:00:00,1996,Q2,588400000,559100000,29300000,0.0497960571,0,0,0,0,1700000,1700000,560800000,0,0,1700000,29300000,0.0497960571,27600000,0.0469068661,0,27600000,0.0469068661,11200000,18200000,0.0309313392,0.09,0.09,202857143,202857143,https://www.sec.gov/Archives/edgar/data/822416/000095000996000376/0000950009-96-000376-index.html,https://www.sec.gov/Archives/edgar/data/822416/,1851100000,716000000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1996-09-30,PHM,USD,0000822416,1996-11-13,1996-11-13 00:00:00,1996,Q3,625200000,595600000,29600000,0.0473448496,0,0,0,0,2200000,2200000,597800000,0,0,2200000,29600000,0.0473448496,27400000,0.0438259757,0,27400000,0.0438259757,11000000,127600000,0.2040946897,0.66,0.66,202857143,202857143,https://www.sec.gov/Archives/edgar/data/822416/000095000996000508/0000950009-96-000508-index.html,https://www.sec.gov/Archives/edgar/data/822416/,1948600000,809300000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1996-12-31,PHM,USD,0000822416,1997-03-06,1997-03-06 00:00:00,1996,Q4,738300000,698100000,40200000,0.0544494108,0,0,0,0,1200000,1200000,699300000,0,0,1200000,40200000,0.0544494108,39000000,0.0528240553,-100000,38900000,0.052688609,13600000,26700000,0.0361641609,0.15,0.15,176000000,176000000,https://www.sec.gov/Archives/edgar/data/822416/000095000997000127/0000950009-97-000127-index.html,https://www.sec.gov/Archives/edgar/data/822416/,1985100000,829300000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1997-03-31,PHM,USD,0000822416,1997-05-06,1997-05-06 00:00:00,1997,Q1,431700000,429400000,2300000,0.0053277739,0,0,0,0,300000,300000,429700000,0,0,300000,2300000,0.0053277739,2000000,0.0046328469,0,2000000,0.0046328469,800000,2200000,0.0050961316,0.0125,0.0125,176000000,176000000,https://www.sec.gov/Archives/edgar/data/822416/000088969797000038/0000889697-97-000038-index.html,https://www.sec.gov/Archives/edgar/data/822416/,1878500000,832900000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1997-06-30,PHM,USD,0000822416,1997-08-13,1997-08-13 00:00:00,1997,Q2,576300000,552400000,23900000,0.0414714558,0,0,0,0,3300000,3300000,555700000,0,0,3300000,23900000,0.0414714558,20600000,0.0357452716,0,20600000,0.0357452716,7900000,13900000,0.0241193823,0.0825,0.0825,168484848,168484848,https://www.sec.gov/Archives/edgar/data/822416/000088969797000185/0000889697-97-000185-index.html,https://www.sec.gov/Archives/edgar/data/822416/,1972700000,771000000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1997-09-30,PHM,USD,0000822416,1997-11-14,1997-11-14 00:00:00,1997,Q3,669900000,638100000,31800000,0.0474697716,0,0,0,0,1600000,1600000,639700000,0,0,1600000,31800000,0.0474697716,30200000,0.0450813554,0,30200000,0.0450813554,11600000,19700000,0.0294073742,0.12,0.12,171304348,171304348,https://www.sec.gov/Archives/edgar/data/822416/000088969797000245/0000889697-97-000245-index.html,https://www.sec.gov/Archives/edgar/data/822416/,2015800000,794900000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1997-12-31,PHM,USD,0000822416,1998-03-13,1998-03-13 00:00:00,1997,Q4,846100000,815300000,30800000,0.0364023165,0,0,0,0,2600000,2600000,817900000,0,0,2600000,30800000,0.0364023165,28200000,0.0333293937,0,28200000,0.0333293937,10900000,17000000,0.0200921877,0.1,0.1,167407407,167407407,https://www.sec.gov/Archives/edgar/data/822416/000088969798000110/0000889697-98-000110-index.html,https://www.sec.gov/Archives/edgar/data/822416/,2150800000,812800000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1998-03-31,PHM,USD,0000822416,1998-05-15,1998-05-15 00:00:00,1998,Q1,520600000,503200000,17400000,0.0334229735,0,0,0,0,1700000,1700000,504900000,0,0,1700000,17400000,0.0334229735,15700000,0.0301575106,2200000,17900000,0.0343834038,7000000,11300000,0.0217057242,0.0675,0.065,167407407,173846154,https://www.sec.gov/Archives/edgar/data/822416/000088969798000212/0000889697-98-000212-index.html,https://www.sec.gov/Archives/edgar/data/822416/,2075200000,824100000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1998-06-30,PHM,USD,0000822416,1998-08-13,1998-08-13 00:00:00,1998,Q2,679700000,641100000,38600000,0.0567897602,0,0,0,0,100000,100000,641200000,0,0,100000,38600000,0.0567897602,38500000,0.0566426365,100000,38600000,0.0567897602,15000000,23800000,0.035015448,0.14,0.14,173090909,176296296,https://www.sec.gov/Archives/edgar/data/822416/000088969798000261/0000889697-98-000261-index.html,https://www.sec.gov/Archives/edgar/data/822416/,2200100000,856800000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1998-09-30,PHM,USD,0000822416,1998-11-13,1998-11-13 00:00:00,1998,Q3,759300000,707200000,52100000,0.0686158304,0,0,0,0,2400000,2400000,709600000,0,0,2400000,52100000,0.0686158304,49700000,0.0654550244,-3000000,46700000,0.0615040169,18200000,28600000,0.0376662716,0.17,0.16,173333333,178750000,https://www.sec.gov/Archives/edgar/data/822416/000088969798000340/0000889697-98-000340-index.html,https://www.sec.gov/Archives/edgar/data/822416/,2292900000,883000000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1998-12-31,PHM,USD,0000822416,1999-03-12,1999-03-12 00:00:00,1998,Q4,906900000,844000000,62900000,0.0693571507,0,0,0,0,800000,800000,844800000,0,0,800000,62900000,0.0693571507,62100000,0.0684750248,400000,62500000,0.0689160878,24400000,38400000,0.0423420443,0.22,0.22,171257514,174285714,https://www.sec.gov/Archives/edgar/data/822416/000088969799000038/0000889697-99-000038-index.html,https://www.sec.gov/Archives/edgar/data/822416/,2349800000,921400000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1999-03-31,PHM,USD,0000822416,1999-05-11,1999-05-11 00:00:00,1999,Q1,682467000,641600000,40867000,0.0598812836,0,0,0,0,3100000,3100000,644700000,0,0,3100000,40867000,0.0598812836,37767000,0.0553389395,1833000,39600000,0.0580247836,15600000,24400000,0.0357526445,0.14,0.14,174285714,177454545,https://www.sec.gov/Archives/edgar/data/822416/000088969799000090/0000889697-99-000090-index.html,https://www.sec.gov/Archives/edgar/data/822416/,2299900000,944600000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1999-06-30,PHM,USD,0000822416,1999-08-16,1999-08-16 00:00:00,1999,Q2,834152000,773400000,60752000,0.072830851,0,0,0,0,3000000,3000000,776400000,0,0,3000000,60752000,0.072830851,57752000,0.0692343841,348000,58100000,0.0696515743,21000000,37200000,0.0445961887,0.22,0.21,173023256,175058824,https://www.sec.gov/Archives/edgar/data/822416/000088969799000137/0000889697-99-000137-index.html,https://www.sec.gov/Archives/edgar/data/822416/000088969799000137/,2467600000,980200000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1999-09-30,PHM,USD,0000822416,1999-11-12,1999-11-12 00:00:00,1999,Q3,973100000,895300000,77800000,0.0799506731,0,0,0,0,2500000,2500000,897800000,0,0,2500000,77800000,0.0799506731,75300000,0.0773815641,700000,76000000,0.0781009146,28500000,47100000,0.0484020142,0.27,0.27,172844037,176074766,https://www.sec.gov/Archives/edgar/data/822416/000088969799000177/0000889697-99-000177-index.html,https://www.sec.gov/Archives/edgar/data/822416/000088969799000177/,2619100000,1024100000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
1999-12-31,PHM,USD,0000822416,2000-03-02,2000-03-02 00:00:00,1999,Q4,1240600000,1127000000,113600000,0.0915685958,0,0,0,0,4900000,4900000,1131900000,0,0,4900000,113600000,0.0915685958,108700000,0.0876188941,4100000,112800000,0.0909237466,43000000,69700000,0.0561824923,0.41,0.41,170784000,170784000,https://www.sec.gov/Archives/edgar/data/822416/000088969700000039/0000889697-00-000039-index.html,https://www.sec.gov/Archives/edgar/data/822416/000088969700000039/,2596800000,1093300000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
2000-03-31,PHM,USD,0000822416,2000-05-15,2000-05-15 00:00:00,2000,Q1,775819000,733262000,42557000,0.0548542895,0,0,0,0,3626000,3626000,736888000,0,0,3626000,42557000,0.0548542895,38931000,0.0501805189,531000,39462000,0.0508649569,15193000,24336000,0.0313681413,0.14,0.14,170784000,171484000,https://www.sec.gov/Archives/edgar/data/822416/000088969700000100/0000889697-00-000100-index.html,https://www.sec.gov/Archives/edgar/data/822416/000088969700000100/,2694078000,1096254000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
2000-06-30,PHM,USD,0000822416,2000-08-14,2000-08-14 00:00:00,2000,Q2,982584000,902828000,79756000,0.0811696506,0,0,0,0,3905000,3905000,906733000,0,0,3905000,79756000,0.0811696506,75851000,0.0771954357,1639000,77490000,0.0788634865,29830000,47692000,0.0485373261,0.29,0.29,164212000,166276000,https://www.sec.gov/Archives/edgar/data/822416/000095012400004998/0000950124-00-004998-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012400004998/e10-q.txt,2823594000,1107264000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
2000-09-30,PHM,USD,0000822416,2000-11-14,2000-11-14 00:00:00,2000,Q3,1053883000,955079000,98804000,0.0937523425,0,0,0,0,2171000,2171000,957250000,0,0,2171000,98804000,0.0937523425,96633000,0.0916923416,2317000,98950000,0.0938908778,38091000,30892000,0.0293125518,0.19,0.19,161904000,166108000,https://www.sec.gov/Archives/edgar/data/822416/000095012400006856/0000950124-00-006856-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012400006856/k58518e10-q.txt,2895846000,1139535000,Consumer Cyclical,Residential Construction,NYSE,1980-03-17
