date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,PNC,USD,0000713676,1995-05-15,1995-05-15 00:00:00,1995,Q1,1261200000,640100000,621100000,0.4924674913,0,201900000,0,201900000,235400000,437300000,1077400000,1024100000,640100000,62000000,245800000,0.194893752,183800000,0.1457342214,0,183800000,0.1457342214,58100000,125700000,0.0996669838,0.54,0.54,232589000,234463000,https://www.sec.gov/Archives/edgar/data/713676/000095012895000098/0000950128-95-000098-index.html,https://www.sec.gov/Archives/edgar/data/713676/0000950128-95-000098.txt,62094000000,4390000000,Financial Services,Banks - Regional,NYSE,1975-11-17
1995-06-30,PNC,USD,0000713676,1995-08-14,1995-08-14 00:00:00,1995,Q2,1307600000,680300000,627300000,0.4797338636,0,204600000,0,204600000,221700000,426300000,1106600000,1042600000,680300000,50000000,251000000,0.1919547262,201000000,0.1537167329,0,201000000,0.1537167329,64000000,137000000,0.1047721016,0.59,0.59,230178000,231960000,https://www.sec.gov/Archives/edgar/data/713676/000095015295001816/0000950152-95-001816-index.html,https://www.sec.gov/Archives/edgar/data/713676/0000950152-95-001816.txt,62763000000,4436000000,Financial Services,Banks - Regional,NYSE,1975-11-17
1995-09-30,PNC,USD,0000713676,1995-11-08,1995-11-08 00:00:00,1995,Q3,1326800000,674700000,652100000,0.491483268,0,204800000,0,204800000,228100000,432900000,1107600000,1039500000,674700000,73000000,292200000,0.2202291227,219200000,0.1652095267,0,219200000,0.1652095267,70200000,149000000,0.1123002713,0.65,0.64,229837000,231875000,https://www.sec.gov/Archives/edgar/data/713676/000095012895000190/0000950128-95-000190-index.html,https://www.sec.gov/Archives/edgar/data/713676/0000950128-95-000190.txt,61218000000,4504000000,Financial Services,Banks - Regional,NYSE,1975-11-17
1995-12-31,PNC,USD,0000713676,1996-03-27,1996-03-27 00:00:00,1995,Q4,2214300000,1012500000,1201800000,0.5427448855,0,453800000,0,453800000,724900000,1178700000,2191200000,2043300000,1012500000,111000000,134100000,0.0605608996,23100000,0.0104321908,0,23100000,0.0104321908,26700000,-3600000,-0.001625796,-0.0207,-0.0204,338048000,342872000,https://www.sec.gov/Archives/edgar/data/713676/000095012896000238/0000950128-96-000238-index.html,https://www.sec.gov/Archives/edgar/data/713676/0000950128-96-000238.txt,73404000000,5768000000,Financial Services,Banks - Regional,NYSE,1975-11-17
1996-03-31,PNC,USD,0000713676,1996-05-15,1996-05-15 00:00:00,1996,Q1,1577000000,648500000,928500000,0.5887761573,0,278700000,0,278700000,287000000,565700000,1214200000,1255400000,648500000,61000000,423800000,0.2687381103,362800000,0.2300570704,0,362800000,0.2300570704,124500000,238300000,0.151109702,0.69,0.69,342872000,347367000,https://www.sec.gov/Archives/edgar/data/713676/000095012896000303/0000950128-96-000303-index.html,https://www.sec.gov/Archives/edgar/data/713676/0000950128-96-000303.txt,72668000000,5786000000,Financial Services,Banks - Regional,NYSE,1975-11-17
1996-06-30,PNC,USD,0000713676,1996-08-14,1996-08-14 00:00:00,1996,Q2,1579800000,632400000,947400000,0.5996961641,0,284300000,0,284300000,280000000,564300000,1196700000,1243200000,632400000,73000000,456100000,0.2887074313,383100000,0.2424990505,0,383100000,0.2424990505,135000000,248100000,0.1570451956,0.73,0.72,343022000,347343000,https://www.sec.gov/Archives/edgar/data/713676/000095012896000464/0000950128-96-000464-index.html,https://www.sec.gov/Archives/edgar/data/713676/,71961000000,5832000000,Financial Services,Banks - Regional,NYSE,1975-11-17
1996-09-30,PNC,USD,0000713676,1996-11-14,1996-11-14 00:00:00,1996,Q3,1565000000,607700000,957300000,0.6116932907,0,277800000,0,277800000,317500000,595300000,1203000000,1216600000,607700000,77000000,439000000,0.2805111821,362000000,0.2313099042,0,362000000,0.2313099042,128000000,234000000,0.1495207668,0.69,0.68,340535000,345173000,https://www.sec.gov/Archives/edgar/data/713676/000095012896000606/0000950128-96-000606-index.html,https://www.sec.gov/Archives/edgar/data/713676/0000950128-96-000606.txt,69662000000,5798000000,Financial Services,Banks - Regional,NYSE,1975-11-17
1996-12-31,PNC,USD,0000713676,1997-03-21,1997-03-21 00:00:00,1996,Q4,1611400000,605500000,1005900000,0.6242397915,0,269300000,0,269300000,317300000,586600000,1192100000,1222900000,605500000,79000000,498300000,0.3092342063,419300000,0.2602085143,0,419300000,0.2602085143,147600000,271700000,0.1686111456,0.82,0.82,323972000,323972000,https://www.sec.gov/Archives/edgar/data/713676/000095012897000649/0000950128-97-000649-index.html,https://www.sec.gov/Archives/edgar/data/713676/0000950128-97-000649.txt,73260000000,5869000000,Financial Services,Banks - Regional,NYSE,1975-11-17
1997-03-31,PNC,USD,0000713676,1997-05-15,1997-05-15 00:00:00,1997,Q1,1675500000,622300000,1053200000,0.6285884811,0,308400000,22800000,331200000,313200000,644400000,1266700000,1242200000,612300000,73000000,481800000,0.2875559534,408800000,0.2439868696,0,408800000,0.2439868696,142500000,266300000,0.1589376306,0.81,0.8,328765000,332875000,https://www.sec.gov/Archives/edgar/data/713676/000095012897000766/0000950128-97-000766-index.html,https://www.sec.gov/Archives/edgar/data/713676/0000950128-97-000766.txt,71166000000,5478000000,Financial Services,Banks - Regional,NYSE,1975-11-17
1997-06-30,PNC,USD,0000713676,1997-08-14,1997-08-14 00:00:00,1997,Q2,1701600000,659000000,1042600000,0.6127174424,0,301800000,25400000,327200000,322600000,649800000,1308800000,1257200000,644000000,87000000,479800000,0.2819699107,392800000,0.2308415609,0,392800000,0.2308415609,133700000,259100000,0.1522684532,0.82,0.81,315976000,319877000,https://www.sec.gov/Archives/edgar/data/713676/000095012897000903/0000950128-97-000903-index.html,https://www.sec.gov/Archives/edgar/data/713676/0000950128-97-000903.txt,71973000000,5384000000,Financial Services,Banks - Regional,NYSE,1975-11-17
