date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,PNW,USD,0000764622,1995-05-15,1995-05-15 00:00:00,1995,Q1,346100000,54900000,291200000,0.8413753251,0,0,0,0,195400000,195400000,250300000,0,0,0,164500000,0.4752961572,95800000,0.2767986131,-55300000,40500000,0.1170182028,15900000,24600000,0.0710777232,0.28,0.28,87857143,87857143,https://www.sec.gov/Archives/edgar/data/764622/000095014795000076/0000950147-95-000076-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6874100000,2049900000,Utilities,Regulated Electric,NYSE,1961-08-28
1995-06-30,PNW,USD,0000764622,1995-08-14,1995-08-14 00:00:00,1995,Q2,393200000,62600000,330700000,0.8410478128,0,0,0,0,203400000,203400000,266000000,0,0,0,195800000,0.497965412,127300000,0.3237538149,-57100000,70200000,0.1785350966,28000000,42200000,0.1073245168,0.48,0.48,87916667,87916667,https://www.sec.gov/Archives/edgar/data/764622/000095014795000125/0000950147-95-000125-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6905400000,2072400000,Utilities,Regulated Electric,NYSE,1961-08-28
1995-09-30,PNW,USD,0000764622,1995-11-14,1995-11-14 00:00:00,1995,Q3,558800000,92300000,466500000,0.8348246242,0,0,0,0,205500000,205500000,297800000,0,0,0,332000000,0.5941302792,261000000,0.4670722978,-71400000,189600000,0.3392984968,75100000,114500000,0.2049033644,1.31,1.31,87404580,87404580,https://www.sec.gov/Archives/edgar/data/764622/000095014795000188/0000950147-95-000188-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6965600000,2167300000,Utilities,Regulated Electric,NYSE,1961-08-28
1995-12-31,PNW,USD,0000764622,1996-04-01,1996-04-01 00:00:00,1995,Q4,371700000,60000000,311700000,0.8385794996,0,0,0,0,233100000,233100000,293100000,0,0,0,146700000,0.3946731235,78600000,0.2114608555,-51300000,27300000,0.0734463277,9000000,6700000,0.0180252892,0.0,0.0,86944444,86944444,https://www.sec.gov/Archives/edgar/data/764622/000095014796000117/0000950147-96-000117-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6997100000,2149700000,Utilities,Regulated Electric,NYSE,1961-08-28
1996-03-31,PNW,USD,0000764622,1996-05-15,1996-05-15 00:00:00,1996,Q1,361300000,56300000,305000000,0.8441738168,0,0,0,0,198300000,198300000,254600000,0,0,0,174200000,0.4821477996,106700000,0.2953224467,-48700000,58000000,0.1605314143,23100000,31300000,0.0866316081,0.36,0.36,86944444,86944444,https://www.sec.gov/Archives/edgar/data/764622/000095014796000188/0000950147-96-000188-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6941700000,2136400000,Utilities,Regulated Electric,NYSE,1961-08-28
1996-06-30,PNW,USD,0000764622,1996-08-12,1996-08-12 00:00:00,1996,Q2,452900000,79800000,373100000,0.8238021638,0,0,0,0,220900000,220900000,300700000,0,0,0,219300000,0.4842128505,152200000,0.3360565246,-52100000,100100000,0.2210200927,38600000,59000000,0.1302715831,0.67,0.67,88059701,88059701,https://www.sec.gov/Archives/edgar/data/764622/000095014796000330/0000950147-96-000330-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6944900000,2146000000,Utilities,Regulated Electric,NYSE,1961-08-28
1996-09-30,PNW,USD,0000764622,1996-11-14,1996-11-14 00:00:00,1996,Q3,598800000,108000000,490800000,0.8196392786,0,0,0,0,244900000,244900000,352900000,0,0,0,346900000,0.5793253173,245900000,0.4106546426,-48800000,197100000,0.3291583166,75700000,107100000,0.1788577154,1.23,1.23,87073171,87073171,https://www.sec.gov/Archives/edgar/data/764622/000095014796000559/0000950147-96-000559-index.html,https://www.sec.gov/Archives/edgar/data/764622/,7012700000,2213200000,Utilities,Regulated Electric,NYSE,1961-08-28
1996-12-31,PNW,USD,0000764622,1997-03-31,1997-03-31 00:00:00,1996,Q4,405000000,81400000,323600000,0.7990123457,0,0,0,0,284200000,284200000,365600000,0,0,0,138600000,0.3422222222,39400000,0.0972839506,-55000000,-15600000,-0.0385185185,-8900000,-16100000,-0.0397530864,0.0,0.0,87586207,87586207,https://www.sec.gov/Archives/edgar/data/764622/000095014797000207/0000950147-97-000207-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6989300000,2189000000,Utilities,Regulated Electric,NYSE,1961-08-28
1997-03-31,PNW,USD,0000764622,1997-05-15,1997-05-15 00:00:00,1997,Q1,398500000,85500000,313000000,0.7854454203,0,0,0,0,230600000,230600000,316100000,0,0,0,182700000,0.4584692597,82400000,0.2067754078,-39400000,43000000,0.1079046424,17600000,25400000,0.0637390213,0.29,0.29,87586207,87586207,https://www.sec.gov/Archives/edgar/data/764622/000095014797000334/0000950147-97-000334-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6945600000,2163600000,Utilities,Regulated Electric,NYSE,1961-08-28
1997-06-30,PNW,USD,0000764622,1997-08-14,1997-08-14 00:00:00,1997,Q2,489000000,99300000,389700000,0.7969325153,0,0,0,0,239600000,239600000,338900000,0,0,0,250800000,0.5128834356,150100000,0.3069529652,-40300000,109800000,0.2245398773,42600000,67200000,0.1374233129,0.79,0.78,85063291,86153846,https://www.sec.gov/Archives/edgar/data/764622/000095014797000555/0000950147-97-000555-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6953400000,2084700000,Utilities,Regulated Electric,NYSE,1961-08-28
1997-09-30,PNW,USD,0000764622,1997-11-14,1997-11-14 00:00:00,1997,Q3,663700000,158500000,505200000,0.7611872834,0,0,0,0,261900000,261900000,420400000,0,0,0,663800000,1.0001506705,243400000,0.3667319572,-42200000,201200000,0.3031490131,76900000,124300000,0.1872834112,1.47,1.46,84557823,85136986,https://www.sec.gov/Archives/edgar/data/764622/000095014797000810/0000950147-97-000810-index.html,https://www.sec.gov/Archives/edgar/data/764622/,7035900000,2208000000,Utilities,Regulated Electric,NYSE,1961-08-28
1997-12-31,PNW,USD,0000764622,1998-03-31,1998-03-31 00:00:00,1997,Q4,443900000,93300000,350600000,0.7898175265,0,0,0,0,268800000,268800000,362100000,0,0,0,182900000,0.4120297364,81800000,0.1842757378,-49600000,32200000,0.0725388601,13200000,19000000,0.042802433,0.0,0.0,84054054,84054054,https://www.sec.gov/Archives/edgar/data/764622/000095014798000260/0000950147-98-000260-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6850400000,2198600000,Utilities,Regulated Electric,NYSE,1961-08-28
1998-03-31,PNW,USD,0000764622,1998-05-15,1998-05-15 00:00:00,1998,Q1,414600000,73900000,340700000,0.8217559093,0,0,0,0,249700000,249700000,323600000,0,0,0,192400000,0.4640617463,91000000,0.2194886638,-36900000,54100000,0.1304872166,23000000,31100000,0.0750120598,0.37,0.36,84054054,86388889,https://www.sec.gov/Archives/edgar/data/764622/000095014798000404/0000950147-98-000404-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6745600000,2193200000,Utilities,Regulated Electric,NYSE,1961-08-28
1998-06-30,PNW,USD,0000764622,1998-08-14,1998-08-14 00:00:00,1998,Q2,470600000,95600000,375000000,0.7968550786,0,0,0,0,252400000,252400000,348000000,0,0,0,224600000,0.4772630684,122600000,0.260518487,-39800000,82800000,0.1759456014,33800000,49000000,0.1041223969,0.58,0.57,84482759,85964912,https://www.sec.gov/Archives/edgar/data/764622/000095014798000639/0000950147-98-000639-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6771900000,2170900000,Utilities,Regulated Electric,NYSE,1961-08-28
1998-09-30,PNW,USD,0000764622,1998-11-16,1998-11-16 00:00:00,1998,Q3,759000000,252700000,506300000,0.6670619236,0,0,0,0,254500000,254500000,507200000,0,0,0,759000000,1.0,251800000,0.3317523057,-41100000,210700000,0.277602108,83400000,127300000,0.1677206851,1.5,1.49,84866667,85436242,https://www.sec.gov/Archives/edgar/data/764622/000095014798000931/0000950147-98-000931-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6911500000,2290000000,Utilities,Regulated Electric,NYSE,1961-08-28
1998-12-31,PNW,USD,0000764622,1999-03-31,1999-03-31 00:00:00,1998,Q4,486300000,115300000,371000000,0.7629035575,0,0,0,0,269100000,269100000,384400000,0,0,0,207400000,0.4264857084,101900000,0.2095414353,-41900000,60000000,0.1233806292,24500000,35500000,0.0730002056,0.0,0.0,85137688,85277778,https://www.sec.gov/Archives/edgar/data/764622/000095014799000291/0000950147-99-000291-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6824700000,2258600000,Utilities,Regulated Electric,NYSE,1961-08-28
1999-03-31,PNW,USD,0000764622,1999-05-17,1999-05-17 00:00:00,1999,Q1,438700000,99200000,339316000,0.7734579439,0,0,0,0,247600000,247600000,346800000,0,0,105200000,196916000,0.4488625484,91716000,0.2090631411,-40116000,51600000,0.1176202416,20900000,30700000,0.0699794848,0.36,0.36,85277778,85277778,https://www.sec.gov/Archives/edgar/data/764622/000095014799000510/0000950147-99-000510-index.html,https://www.sec.gov/Archives/edgar/data/764622/,6772000000,2161900000,Utilities,Regulated Electric,NYSE,1961-08-28
1999-06-30,PNW,USD,0000764622,1999-08-16,1999-08-16 00:00:00,1999,Q2,544100000,134756000,409375000,0.7523892667,0,0,0,0,260407000,260407000,395163000,0,0,89093000,246351000,0.4527678736,148968000,0.2737879066,-36517000,112400000,0.2065796729,43700000,68702000,0.1262672303,0.81,0.81,84716000,85093000,https://www.sec.gov/Archives/edgar/data/764622/000095014799000887/0000950147-99-000887-index.html,https://www.sec.gov/Archives/edgar/data/764622/000095014799000887/,6804200000,2169900000,Utilities,Regulated Electric,NYSE,1961-08-28
1999-09-30,PNW,USD,0000764622,1999-11-15,1999-11-15 00:00:00,1999,Q3,894200000,396600000,497600000,0.5564750615,0,0,0,0,257500000,257500000,654100000,0,0,119407000,359507000,0.4020431671,240100000,0.2685081637,-36400000,203700000,0.2278013867,78100000,23700000,0.0265041378,0.28,0.28,84642857,84642857,https://www.sec.gov/Archives/edgar/data/764622/000095014799001273/0000950147-99-001273-index.html,https://www.sec.gov/Archives/edgar/data/764622/000095014799001273/,6715300000,2192300000,Utilities,Regulated Electric,NYSE,1961-08-28
