date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,PPG,USD,0000079879,1995-05-01,1995-05-01 00:00:00,1995,Q1,1740800000,1028100000,712700000,0.4094094669,56900000,0,0,231500000,80000000,368400000,1396500000,0,0,80000000,424300000,0.243738511,344300000,0.1977826287,11300000,355600000,0.2042738971,136400000,219200000,0.1259191176,0.53,0.53,413000000,418400000,https://www.sec.gov/Archives/edgar/data/79879/000007987995000010/0000079879-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/79879/,6148000000,2746600000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1995-06-30,PPG,USD,0000079879,1995-07-31,1995-07-31 00:00:00,1995,Q2,1870400000,1109300000,761100000,0.4069183062,59300000,0,0,258200000,82900000,400400000,1509700000,0,0,82900000,443600000,0.2371685201,360700000,0.19284645,-8300000,352400000,0.1884088965,135600000,216800000,0.1159110351,0.53,0.53,410400000,414400000,https://www.sec.gov/Archives/edgar/data/79879/000007987995000012/0000079879-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/79879/,6177400000,2815700000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1995-09-30,PPG,USD,0000079879,1995-11-08,1995-11-08 00:00:00,1995,Q3,1724100000,1029400000,694700000,0.4029348646,59800000,0,0,246800000,83200000,389800000,1419200000,0,0,83200000,388100000,0.2251029523,304900000,0.1768458906,-28100000,276800000,0.160547532,106400000,170400000,0.0988341744,0.43,0.42,401800000,406400000,https://www.sec.gov/Archives/edgar/data/79879/000007987995000017/0000079879-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/79879/,6188400000,2641000000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1995-12-31,PPG,USD,0000079879,1996-02-16,1996-02-16 00:00:00,1995,Q4,1722400000,1045300000,677100000,0.3931142592,60400000,0,0,240600000,85400000,386400000,1431700000,0,0,85400000,376100000,0.218358105,290700000,0.1687761263,-28200000,262500000,0.1524036229,101300000,161200000,0.0935903391,0.42,0.42,384800000,384800000,https://www.sec.gov/Archives/edgar/data/79879/000095013296000098/0000950132-96-000098-index.html,https://www.sec.gov/Archives/edgar/data/79879/,6194000000,2569200000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1996-03-31,PPG,USD,0000079879,1996-05-09,1996-05-09 00:00:00,1996,Q1,1748800000,1067200000,681600000,0.3897529735,58600000,0,0,238900000,83200000,380700000,1447900000,0,0,83200000,384100000,0.219636322,300900000,0.1720608417,-19300000,281600000,0.1610247027,109300000,172300000,0.0985247027,0.45,0.44,384800000,389600000,https://www.sec.gov/Archives/edgar/data/79879/000007987996000001/0000079879-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/79879/,6346900000,2499800000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1996-06-30,PPG,USD,0000079879,1996-08-02,1996-08-02 00:00:00,1996,Q2,1913600000,1127900000,785700000,0.4105873746,58200000,0,0,252700000,83400000,394300000,1522200000,0,0,83400000,474800000,0.2481187291,391400000,0.2045359532,-18600000,372800000,0.1948160535,144300000,228500000,0.1194084448,0.6,0.6,377200000,381800000,https://www.sec.gov/Archives/edgar/data/79879/000007987996000005/0000079879-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/79879/,6501600000,2481000000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1996-09-30,PPG,USD,0000079879,1996-11-06,1996-11-06 00:00:00,1996,Q3,1801200000,1072100000,729100000,0.4047856984,59000000,0,0,249300000,85300000,393600000,1465700000,0,0,85300000,420800000,0.2336220298,335500000,0.1862647124,-23900000,311600000,0.1729957806,120500000,191100000,0.106095936,0.52,0.51,373000000,377000000,https://www.sec.gov/Archives/edgar/data/79879/000007987996000008/0000079879-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/79879/,6425700000,2562500000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1996-12-31,PPG,USD,0000079879,1997-02-20,1997-02-20 00:00:00,1996,Q4,1754500000,1073100000,681400000,0.3883727558,63300000,0,0,263400000,88300000,415000000,1488100000,0,0,88300000,354700000,0.2021658592,266400000,0.1518381305,-17400000,249000000,0.1419207751,96900000,152100000,0.0866913651,0.42,0.42,364600000,364600000,https://www.sec.gov/Archives/edgar/data/79879/000095013297000092/0000950132-97-000092-index.html,https://www.sec.gov/Archives/edgar/data/79879/,6441000000,2482600000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1997-03-31,PPG,USD,0000079879,1997-05-06,1997-05-06 00:00:00,1997,Q1,1776600000,1086800000,689800000,0.3882697287,58000000,0,0,247700000,84700000,390400000,1477200000,0,0,84700000,384100000,0.2161994822,299400000,0.1685241472,-27500000,271900000,0.1530451424,105900000,166000000,0.0934369019,0.46,0.45,364600000,368400000,https://www.sec.gov/Archives/edgar/data/79879/000095013297000363/0000950132-97-000363-index.html,https://www.sec.gov/Archives/edgar/data/79879/,6553200000,2452800000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1997-06-30,PPG,USD,0000079879,1997-08-06,1997-08-06 00:00:00,1997,Q2,1944000000,1146000000,798000000,0.4104938272,61000000,0,0,275000000,88000000,424000000,1570000000,0,0,88000000,462000000,0.237654321,374000000,0.1923868313,-18000000,356000000,0.183127572,138000000,218000000,0.1121399177,0.61,0.6,360200000,364000000,https://www.sec.gov/Archives/edgar/data/79879/000095013297000579/0000950132-97-000579-index.html,https://www.sec.gov/Archives/edgar/data/79879/,6566000000,2464000000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
1997-09-30,PPG,USD,0000079879,1997-10-28,1997-10-28 00:00:00,1997,Q3,1812000000,1079000000,733000000,0.4045253863,63000000,0,0,266000000,88000000,417000000,1496000000,0,0,88000000,404000000,0.2229580574,316000000,0.174392936,-37000000,279000000,0.1539735099,108000000,171000000,0.0943708609,0.48,0.48,357600000,361600000,https://www.sec.gov/Archives/edgar/data/79879/000095013297000743/0000950132-97-000743-index.html,https://www.sec.gov/Archives/edgar/data/79879/,6538000000,2483000000,Basic Materials,Chemicals - Specialty,NYSE,1980-03-17
