date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,ROK,USD,0001024478,1995-03-31,1995-03-31 00:00:00,1995,Q2,3361000000,2433000000,928000000,0.2761083011,0,0,0,444700000,138900000,583600000,3016600000,0,0,138900000,483300000,0.1437964891,344400000,0.1024695031,-27200000,317200000,0.0943766736,125800000,191400000,0.0569473371,0.88,0.87,217500000,220000000,,,12662000000,3496400000,Industrials,Industrial - Machinery,NYSE,1981-12-31
1995-06-30,ROK,USD,0001024478,1995-06-30,1995-06-30 00:00:00,1995,Q3,3452400000,2512600000,939800000,0.2722164292,0,0,0,445800000,148300000,594100000,3106700000,0,0,148300000,494000000,0.1430888657,345700000,0.1001332406,-19300000,326400000,0.0945429267,129400000,197000000,0.0570617541,0.9,0.88,218777778,223750000,,,12809800000,3660700000,Industrials,Industrial - Machinery,NYSE,1981-12-31
1995-09-30,ROK,USD,0001024478,1995-09-30,1995-09-30 00:00:00,1995,Q4,3662700000,2569100000,1093600000,0.2985775521,0,0,0,496400000,164500000,660900000,3230000000,0,0,164500000,597200000,0.1630491168,432700000,0.1181368935,-123200000,309500000,0.0845005051,120600000,188900000,0.0515739755,0.86,0.86,214804761,218777778,,,12505000000,3782000000,Industrials,Industrial - Machinery,NYSE,1981-12-31
1995-12-31,ROK,USD,0001024478,1995-12-31,1995-12-31 00:00:00,1996,Q1,3094000000,2175000000,919000000,0.2970265029,0,0,0,411000000,145000000,556000000,2731000000,0,0,145000000,508000000,0.1641887524,363000000,0.1173238526,-47000000,316000000,0.102133161,123000000,192000000,0.0620555915,0.89,0.87,215730337,220689655,,,12027000000,3908000000,Industrials,Industrial - Machinery,NYSE,1981-12-31
1996-03-31,ROK,USD,0001024478,1996-03-31,1996-03-31 00:00:00,1996,Q2,3464000000,2444000000,1020000000,0.2944572748,0,0,0,473000000,147000000,620000000,3064000000,0,0,147000000,547000000,0.1579099307,400000000,0.1154734411,-50000000,350000000,0.101039261,138000000,214000000,0.061778291,0.98,0.97,218367347,220618557,,,12350000000,4050000000,Industrials,Industrial - Machinery,NYSE,1981-12-31
1996-06-30,ROK,USD,0001024478,1996-06-30,1996-06-30 00:00:00,1996,Q3,1891000000,1220000000,671000000,0.3548387097,0,0,0,324000000,115000000,439000000,1659000000,0,0,174000000,347000000,0.1835007932,396000000,0.209413009,8000000,376000000,0.1988365944,147000000,223000000,0.1179270227,1.02,1.02,218627451,218627451,,,12542000000,4190000000,Industrials,Industrial - Machinery,NYSE,1981-12-31
1996-09-30,ROK,USD,0001024478,1996-12-19,1996-12-19 00:00:00,1996,Q4,400000000,261000000,139000000,0.3475,0,0,0,267000000,76000000,343000000,604000000,0,0,76000000,-128000000,-0.32,-204000000,-0.51,58000000,-146000000,-0.365,-67000000,97000000,0.2425,0.44,0.44,216519901,218627451,https://www.sec.gov/Archives/edgar/data/1024478/000095012896000664/0000950128-96-000664-index.html,https://www.sec.gov/Archives/edgar/data/1024478/,10065000000,4256000000,Industrials,Industrial - Machinery,NYSE,1981-12-31
1996-12-31,ROK,USD,0001024478,1997-02-12,1997-02-12 00:00:00,1997,Q1,2608000000,1801000000,807000000,0.3094325153,0,0,0,390000000,142000000,532000000,2333000000,0,0,142000000,417000000,0.159892638,275000000,0.1054447853,15000000,290000000,0.111196319,111000000,179000000,0.0686349693,0.82,0.82,218292683,218292683,https://www.sec.gov/Archives/edgar/data/1024478/000095012897000525/0000950128-97-000525-index.html,https://www.sec.gov/Archives/edgar/data/1024478/,9675000000,5477000000,Industrials,Industrial - Machinery,NYSE,1981-12-31
1997-03-31,ROK,USD,0001024478,1997-05-15,1997-05-15 00:00:00,1997,Q2,1899000000,1244000000,655000000,0.3449183781,0,0,0,339000000,81000000,420000000,1664000000,0,0,81000000,316000000,0.1664033702,235000000,0.1237493418,14000000,249000000,0.131121643,94000000,189000000,0.0995260664,0.87,0.87,217241379,217241379,https://www.sec.gov/Archives/edgar/data/1024478/000102447897000006/0001024478-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/1024478/,8543000000,5302000000,Industrials,Industrial - Machinery,NYSE,1981-12-31
1997-06-30,ROK,USD,0001024478,1997-06-30,1997-06-29 20:00:00,1997,Q3,1613000000,1005000000,608000000,0.3769373838,30000000,0,0,313000000,89000000,432000000,1437000000,0,0,119000000,295000000,0.1828890267,180000000,0.1115933044,26000000,211000000,0.1308121513,80000000,167000000,0.103533788,0.79,0.78,211392405,214102564,,,8496000000,5134000000,Industrials,Industrial - Machinery,NYSE,1981-12-31
