date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-04-01,SNA,USD,0000091440,1995-05-16,1995-05-16 00:00:00,1995,Q1,309100000,141900000,167200000,0.5409252669,0,0,0,132400000,7900000,140300000,282200000,0,0,7900000,34800000,0.112584924,26900000,0.0870268522,15100000,42000000,0.1358783565,15500000,26500000,0.0857327726,0.41,0.41,64634146,64634146,https://www.sec.gov/Archives/edgar/data/91440/000091205795003920/0000912057-95-003920-index.html,https://www.sec.gov/Archives/edgar/data/91440/,1269600000,756200000,Industrials,Manufacturing - Tools & Accessories,NYSE,2017-03-02
1995-07-01,SNA,USD,0000091440,1995-08-14,1995-08-14 00:00:00,1995,Q2,326800000,151600000,175200000,0.5361077111,0,0,0,134500000,8000000,142500000,294100000,0,0,8100000,40800000,0.1248470012,32700000,0.1000611995,14500000,47200000,0.1444308446,17500000,29700000,0.0908812729,0.49,0.49,60612245,60612245,https://www.sec.gov/Archives/edgar/data/91440/000091205795006517/0000912057-95-006517-index.html,https://www.sec.gov/Archives/edgar/data/91440/0000912057-95-006517.txt,1345300000,700100000,Industrials,Manufacturing - Tools & Accessories,NYSE,2017-03-02
1995-09-30,SNA,USD,0000091440,1995-11-14,1995-11-14 00:00:00,1995,Q3,309100000,142600000,166500000,0.5386606276,0,0,0,129200000,8400000,137600000,280200000,0,0,9100000,38000000,0.1229375607,28900000,0.0934972501,12900000,41800000,0.1352313167,15500000,26300000,0.0850857328,0.43,0.43,61162791,61162791,https://www.sec.gov/Archives/edgar/data/91440/000089706995000185/0000897069-95-000185-index.html,https://www.sec.gov/Archives/edgar/data/91440/,1373000000,730200000,Industrials,Manufacturing - Tools & Accessories,NYSE,2017-03-02
1995-12-31,SNA,USD,0000091440,1996-03-28,1996-03-28 00:00:00,1995,Q4,347100000,161800000,185300000,0.5338519159,0,0,0,141900000,6400000,148300000,310100000,0,0,6400000,43400000,0.1250360127,37000000,0.1065975223,11900000,48900000,0.1408815903,18100000,30800000,0.0887352348,0.51,0.51,59949798,60700000,https://www.sec.gov/Archives/edgar/data/91440/000089706996000068/0000897069-96-000068-index.html,https://www.sec.gov/Archives/edgar/data/91440/,1361000000,750700000,Industrials,Manufacturing - Tools & Accessories,NYSE,2017-03-02
1996-03-30,SNA,USD,0000091440,1996-05-14,1996-05-14 00:00:00,1996,Q1,344400000,161900000,182500000,0.5299070848,0,0,0,139700000,8900000,148600000,310500000,0,0,8600000,42500000,0.1234030197,33900000,0.0984320557,13200000,47100000,0.1367595819,17400000,29700000,0.0862369338,0.49,0.48,60612245,61875000,https://www.sec.gov/Archives/edgar/data/91440/000089706996000121/0000897069-96-000121-index.html,https://www.sec.gov/Archives/edgar/data/91440/,1343100000,770700000,Industrials,Manufacturing - Tools & Accessories,NYSE,2017-03-02
1996-06-29,SNA,USD,0000091440,1996-08-13,1996-08-13 00:00:00,1996,Q2,384600000,181600000,203000000,0.5278211128,0,0,0,151700000,8800000,160500000,342100000,0,0,8800000,51300000,0.1333853354,42500000,0.1105044202,12300000,54800000,0.1424856994,20300000,34500000,0.0897035881,0.57,0.57,60526316,60526316,https://www.sec.gov/Archives/edgar/data/91440/000089706996000247/0000897069-96-000247-index.html,https://www.sec.gov/Archives/edgar/data/91440/,1489100000,786100000,Industrials,Manufacturing - Tools & Accessories,NYSE,2017-03-02
1996-09-28,SNA,USD,0000091440,1996-11-12,1996-11-12 00:00:00,1996,Q3,347200000,163100000,184100000,0.5302419355,0,0,0,141400000,7600000,149000000,312100000,0,0,7600000,42700000,0.122983871,35100000,0.10109447,13800000,48900000,0.1408410138,18100000,30800000,0.0887096774,0.51,0.51,60392157,60392157,https://www.sec.gov/Archives/edgar/data/91440/000089706996000374/0000897069-96-000374-index.html,https://www.sec.gov/Archives/edgar/data/91440/,1524100000,806100000,Industrials,Manufacturing - Tools & Accessories,NYSE,2017-03-02
1996-12-31,SNA,USD,0000091440,1997-03-27,1997-03-27 00:00:00,1996,Q4,409200000,196000000,213200000,0.5210166178,0,0,0,161700000,6800000,168500000,364500000,0,0,6800000,51500000,0.1258553275,44700000,0.1092375367,13300000,58000000,0.1417399804,21400000,36600000,0.0894428152,0.6,0.6,60800000,60800000,https://www.sec.gov/Archives/edgar/data/91440/000089706997000146/0000897069-97-000146-index.html,https://www.sec.gov/Archives/edgar/data/91440/,1520800000,828200000,Industrials,Manufacturing - Tools & Accessories,NYSE,2017-03-02
1997-03-29,SNA,USD,0000091440,1997-05-13,1997-05-13 00:00:00,1997,Q1,375300000,173100000,202200000,0.5387689848,0,0,0,151300000,9200000,160500000,333600000,0,0,9200000,50900000,0.1356248335,41700000,0.1111111111,12100000,53800000,0.1433519851,19900000,33900000,0.0903277378,0.56,0.55,60535714,61636364,https://www.sec.gov/Archives/edgar/data/91440/000089706997000219/0000897069-97-000219-index.html,https://www.sec.gov/Archives/edgar/data/91440/,1617700000,844100000,Industrials,Manufacturing - Tools & Accessories,NYSE,2017-03-02
1997-06-28,SNA,USD,0000091440,1997-08-15,1997-08-15 00:00:00,1997,Q2,409200000,192100000,217100000,0.5305474096,0,0,0,159100000,9500000,168600000,360700000,0,0,9500000,58000000,0.1417399804,48500000,0.1185239492,13400000,61900000,0.1512707722,22900000,39000000,0.0953079179,0.64,0.63,60937500,61904762,https://www.sec.gov/Archives/edgar/data/91440/000089706997000352/0000897069-97-000352-index.html,https://www.sec.gov/Archives/edgar/data/91440/,1618000000,858700000,Industrials,Manufacturing - Tools & Accessories,NYSE,2017-03-02
