date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,SO,USD,0000092122,1995-05-15,1995-05-15 00:00:00,1995,Q1,1929000000,508300000,1420700000,0.7364955936,0,0,0,0,1420700000,1420700000,1929000000,0,0,0,836000000,0.4333851737,537400000,0.278589943,-179100000,358300000,0.1857439088,152000000,206300000,0.1069466045,0.31,0.31,665483871,665483871,https://www.sec.gov/Archives/edgar/data/92122/000009212295000054/0000092122-95-000054-index.html,https://www.sec.gov/Archives/edgar/data/3153/,26965000000,8368400000,Utilities,Regulated Electric,NYSE,1981-12-31
1995-06-30,SO,USD,0000092122,1995-08-14,1995-08-14 00:00:00,1995,Q2,2183600000,616300000,1567300000,0.7177596629,0,0,0,0,1567300000,1567300000,2183600000,0,0,0,912200000,0.4177505038,646500000,0.2960707089,-185500000,461000000,0.2111192526,193500000,267500000,0.1225041216,0.4,0.4,668750000,668750000,https://www.sec.gov/Archives/edgar/data/92122/000009212295000091/0000092122-95-000091-index.html,https://www.sec.gov/Archives/edgar/data/3153/,27021500000,8438700000,Utilities,Regulated Electric,NYSE,1981-12-31
1995-09-30,SO,USD,0000092122,1995-11-14,1995-11-14 00:00:00,1995,Q3,2758800000,780300000,1978500000,0.7171596346,0,0,0,0,1978500000,1978500000,2758800000,0,0,0,1297300000,0.4702406844,996600000,0.3612440191,-204700000,791900000,0.2870450921,323100000,468800000,0.1699289546,0.71,0.71,660281690,660281690,https://www.sec.gov/Archives/edgar/data/92122/000009212295000110/0000092122-95-000110-index.html,https://www.sec.gov/Archives/edgar/data/3153/,30318500000,8702800000,Utilities,Regulated Electric,NYSE,1981-12-31
1995-12-31,SO,USD,0000092122,1996-03-25,1996-03-25 00:00:00,1995,Q4,2308500000,712100000,1596400000,0.6915312974,0,0,0,0,1596400000,1596400000,2308500000,0,0,0,931700000,0.4035954083,510500000,0.2211392679,-213800000,296700000,0.1285250162,136400000,160300000,0.0694390297,0.24,0.24,665246286,665246286,https://www.sec.gov/Archives/edgar/data/92122/000009212296000052/0000092122-96-000052-index.html,https://www.sec.gov/Archives/edgar/data/3153/,30522000000,10104000000,Utilities,Regulated Electric,NYSE,1981-12-31
1996-03-31,SO,USD,0000092122,1996-05-14,1996-05-14 00:00:00,1996,Q1,2429400000,774200000,1655200000,0.6813204907,0,0,0,0,1655200000,1655200000,2429400000,0,0,0,908700000,0.3740429736,568600000,0.2340495596,-175100000,393500000,0.16197415,160600000,232900000,0.0958672923,0.35,0.35,665428571,665428571,https://www.sec.gov/Archives/edgar/data/92122/000009212296000073/0000092122-96-000073-index.html,https://www.sec.gov/Archives/edgar/data/3153/,29716000000,8771100000,Utilities,Regulated Electric,NYSE,1981-12-31
1996-06-30,SO,USD,0000092122,1996-08-12,1996-08-12 00:00:00,1996,Q2,2563500000,794300000,1769200000,0.6901501853,0,0,0,0,1769200000,1769200000,2563500000,0,0,0,995800000,0.3884532865,660300000,0.2575775307,-162700000,497600000,0.1941096158,210300000,287300000,0.1120733372,0.43,0.43,668139535,668139535,https://www.sec.gov/Archives/edgar/data/92122/000009212296000094/0000092122-96-000094-index.html,https://www.sec.gov/Archives/edgar/data/3153/,30340900000,8935700000,Utilities,Regulated Electric,NYSE,1981-12-31
1996-09-30,SO,USD,0000092122,1996-11-13,1996-11-13 00:00:00,1996,Q3,2932600000,898900000,2033700000,0.6934801882,0,0,0,0,2033700000,2033700000,2932600000,0,0,0,1299600000,0.4431562436,956000000,0.3259905886,-198000000,758000000,0.2584737093,290600000,467400000,0.1593807543,0.69,0.69,677391304,677391304,https://www.sec.gov/Archives/edgar/data/92122/000009212296000104/0000092122-96-000104-index.html,https://www.sec.gov/Archives/edgar/data/3153/,29927100000,9189000000,Utilities,Regulated Electric,NYSE,1981-12-31
1996-12-31,SO,USD,0000092122,1997-03-25,1997-03-25 00:00:00,1996,Q4,2487200000,2760700000,-273500000,-0.1099630106,0,0,0,0,-273500000,-273500000,2487200000,0,0,0,-438000000,-0.1761016404,353000000,0.1419266645,-892000000,-539000000,-0.2167095529,0,139400000,0.0560469604,0.21,0.21,675195652,675195652,https://www.sec.gov/Archives/edgar/data/92122/000009212297000016/0000092122-97-000016-index.html,https://www.sec.gov/Archives/edgar/data/3153/,30230000000,10196000000,Utilities,Regulated Electric,NYSE,1981-12-31
1997-03-31,SO,USD,0000092122,1997-05-14,1997-05-14 00:00:00,1997,Q1,2584400000,944000000,1640400000,0.6347314657,0,0,0,0,1640400000,1640400000,2584400000,0,0,0,927800000,0.3590001548,542300000,0.2098359387,-209100000,333200000,0.1289274106,146200000,187000000,0.0723572202,0.28,0.28,667857143,667857143,https://www.sec.gov/Archives/edgar/data/92122/000009212297000029/0000092122-97-000029-index.html,https://www.sec.gov/Archives/edgar/data/3153/,34000100000,9261900000,Utilities,Regulated Electric,NYSE,1981-12-31
1997-06-30,SO,USD,0000092122,1997-08-13,1997-08-13 00:00:00,1997,Q2,2717200000,1000400000,1716800000,0.6318268806,0,0,0,0,1716800000,1716800000,2717200000,0,0,0,956800000,0.3521271898,583200000,0.2146327101,-214700000,368500000,0.1356175475,153700000,214800000,0.0790519653,0.31,0.31,692903226,692903226,https://www.sec.gov/Archives/edgar/data/92122/000009212297000053/0000092122-97-000053-index.html,https://www.sec.gov/Archives/edgar/data/3153/,34412400000,9338400000,Utilities,Regulated Electric,NYSE,1981-12-31
