date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,STT,USD,0000093751,1995-05-15,1995-05-15 00:00:00,1995,Q1,580600000,220300000,360300000,0.6205649328,0,150500000,0,150500000,124500000,275000000,495300000,318800000,218300000,0,85300000,0.1469169824,85300000,0.1469169824,0,85300000,0.1469169824,31000000,54300000,0.0935239408,0.17,0.17,329090909,329090909,https://www.sec.gov/Archives/edgar/data/93751/000095015695000350/0000950156-95-000350-index.htm,https://www.sec.gov/Archives/edgar/data/93751/0000950156-95-000350.txt,23542100000,1414600000,Financial Services,Asset Management,NYSE,1980-03-17
1995-06-30,STT,USD,0000093751,1995-08-14,1995-08-14 00:00:00,1995,Q2,606800000,226300000,380500000,0.6270599868,0,159400000,0,159400000,129700000,289100000,515400000,330100000,224300000,0,91400000,0.150626236,91400000,0.150626236,0,91400000,0.150626236,28700000,62700000,0.1033289387,0.19,0.19,330000000,330000000,https://www.sec.gov/Archives/edgar/data/93751/000095015695000588/0000950156-95-000588-index.htm,https://www.sec.gov/Archives/edgar/data/93751/0000950156-95-000588.txt,25570300000,1491500000,Financial Services,Asset Management,NYSE,1980-03-17
1995-09-30,STT,USD,0000093751,1995-11-13,1995-11-13 00:00:00,1995,Q3,625100000,234300000,390800000,0.6251799712,0,165000000,0,165000000,135800000,300800000,535100000,341300000,232300000,0,90000000,0.1439769637,90000000,0.1439769637,0,90000000,0.1439769637,25400000,64600000,0.103343465,0.2,0.2,331282051,331282051,https://www.sec.gov/Archives/edgar/data/93751/000095015695000803/0000950156-95-000803-index.htm,https://www.sec.gov/Archives/edgar/data/93751/0000950156-95-000803.txt,25525500000,1538900000,Financial Services,Asset Management,NYSE,1980-03-17
1995-12-31,STT,USD,0000093751,1996-03-27,1996-03-27 00:00:00,1995,Q4,643300000,234300000,409000000,0.6357842375,0,175700000,0,175700000,133500000,309200000,543500000,346400000,232300000,16500000,116300000,0.1807865693,99800000,0.1551375719,0,99800000,0.1551375719,34300000,65500000,0.1018187471,0.2,0.2,324651163,324651163,https://www.sec.gov/Archives/edgar/data/93751/000095015696000321/0000950156-96-000321-index.htm,https://www.sec.gov/Archives/edgar/data/93751/0000950156-96-000321.txt,25785200000,1587500000,Financial Services,Asset Management,NYSE,1980-03-17
1996-03-31,STT,USD,0000093751,1996-05-14,1996-05-14 00:00:00,1996,Q1,652700000,216800000,435900000,0.6678412747,0,181000000,0,181000000,146900000,327900000,544700000,346000000,214800000,113200000,221200000,0.338899954,108000000,0.1654665237,0,108000000,0.1654665237,38200000,69800000,0.1069404014,0.22,0.21,324651163,332380952,https://www.sec.gov/Archives/edgar/data/93751/000095015696000483/0000950156-96-000483-index.htm,https://www.sec.gov/Archives/edgar/data/93751/0000950156-96-000483.txt,27229200000,1560100000,Financial Services,Asset Management,NYSE,1980-03-17
1996-06-30,STT,USD,0000093751,1996-08-13,1996-08-13 00:00:00,1996,Q2,665000000,210000000,455000000,0.6842105263,0,189000000,0,189000000,155000000,344000000,554000000,342000000,208000000,17800000,128800000,0.1936842105,111000000,0.1669172932,0,111000000,0.1669172932,39000000,72000000,0.1082706767,0.22,0.22,327272727,327272727,https://www.sec.gov/Archives/edgar/data/93751/000095015696000636/0000950156-96-000636-index.htm,https://www.sec.gov/Archives/edgar/data/93751/0000950156-96-000636.txt,28943700000,1576100000,Financial Services,Asset Management,NYSE,1980-03-17
1996-09-30,STT,USD,0000093751,1997-03-03,1997-03-03 00:00:00,1996,Q3,693000000,232000000,461000000,0.6652236652,0,194000000,0,194000000,156000000,350000000,582000000,369000000,230000000,40000000,151000000,0.2178932179,111000000,0.1601731602,0,111000000,0.1601731602,37000000,74000000,0.1067821068,0.23,0.23,321739130,328888889,https://www.sec.gov/Archives/edgar/data/93751/000095015697000216/0000950156-97-000216-index.htm,https://www.sec.gov/Archives/edgar/data/93751/0000950156-97-000216.txt,28444900000,1622400000,Financial Services,Asset Management,NYSE,1980-03-17
1996-12-31,STT,USD,0000093751,1997-03-26,1997-03-26 00:00:00,1996,Q4,734100000,241200000,492900000,0.6714344095,0,210700000,34000000,244700000,130600000,375300000,616500000,386000000,239200000,42300000,159900000,0.217817736,117600000,0.1601961586,0,117600000,0.1601961586,39500000,78100000,0.1063887754,0.24,0.24,322671929,322671929,https://www.sec.gov/Archives/edgar/data/93751/000095015697000348/0000950156-97-000348-index.htm,https://www.sec.gov/Archives/edgar/data/93751/0000950156-97-000348.txt,31524000000,1775000000,Financial Services,Asset Management,NYSE,1980-03-17
1997-03-31,STT,USD,0000093751,1997-05-14,1997-05-14 00:00:00,1997,Q1,772000000,251000000,521000000,0.6748704663,0,219000000,11000000,230000000,161000000,391000000,642000000,398000000,248000000,61000000,191000000,0.2474093264,130000000,0.1683937824,0,130000000,0.1683937824,44000000,86000000,0.1113989637,0.27,0.27,322671929,328417929,https://www.sec.gov/Archives/edgar/data/93751/000095015697000470/0000950156-97-000470-index.htm,https://www.sec.gov/Archives/edgar/data/93751/0000950156-97-000470.txt,33631000000,1738000000,Financial Services,Asset Management,NYSE,1980-03-17
1997-06-30,STT,USD,0000093751,1997-08-14,1997-08-14 00:00:00,1997,Q2,829000000,274000000,555000000,0.6694813028,0,235000000,13000000,248000000,171000000,419000000,693000000,425000000,271000000,73000000,209000000,0.2521109771,136000000,0.164053076,0,136000000,0.164053076,44000000,92000000,0.1109770808,0.28,0.28,320881930,326775929,https://www.sec.gov/Archives/edgar/data/93751/000095015697000637/0000950156-97-000637-index.htm,https://www.sec.gov/Archives/edgar/data/93751/0000950156-97-000637.txt,36686000000,1832000000,Financial Services,Asset Management,NYSE,1980-03-17
