date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-19,TAP,USD,0000024545,1995-05-03,1995-05-03 00:00:00,1995,Q1,326588000,236964000,111429000,0.3411913481,3322000,0,0,107354000,0,110953000,347917000,0,0,30179000,30655000,0.0938644408,476000,0.0014574938,-2041000,157000,0.000480728,65000,92000,0.0002817005,-0.01,-0.01,76656000,76656000,https://www.sec.gov/Archives/edgar/data/24545/000002454595000007/0000024545-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/24545/,1361252000,670274000,Consumer Defensive,Beverages - Alcoholic,NYSE,1975-06-12
1995-06-11,TAP,USD,0000024545,1995-07-26,1995-07-26 00:00:00,1995,Q2,399511000,282964000,174476000,0.436723895,3368000,0,0,132591000,0,136244000,419208000,0,0,30994000,69226000,0.1732768309,38232000,0.0956969896,-1340000,26115000,0.0653674117,10935000,15180000,0.0379964507,0.28,0.28,76704000,76704000,https://www.sec.gov/Archives/edgar/data/24545/000002454595000011/0000024545-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/24545/,1375276000,682725000,Consumer Defensive,Beverages - Alcoholic,NYSE,1975-06-12
1995-10-01,TAP,USD,0000024545,1995-11-15,1995-11-15 00:00:00,1995,Q3,567882000,289095000,166257000,0.2927668072,4656000,0,0,133031000,0,136833000,425928000,0,0,30550000,59974000,0.1056099683,29424000,0.051813581,-1706000,38027000,0.066962855,15400000,22627000,0.0398445452,0.22,0.22,76230000,76230000,https://www.sec.gov/Archives/edgar/data/24545/000002454595000014/0000024545-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/24545/,1364300000,691760000,Consumer Defensive,Beverages - Alcoholic,NYSE,1975-06-12
1995-12-31,TAP,USD,0000024545,1996-04-01,1996-04-01 00:00:00,1995,Q4,381398000,261919000,119479000,0.3132659322,4039000,0,0,120294000,-15200000,109133000,371052000,0,0,28649000,38995000,0.1022422771,10346000,0.0271265188,-1367000,8979000,0.0235423364,3700000,5279000,0.0138411843,0.069,0.069,75812000,76024000,https://www.sec.gov/Archives/edgar/data/24545/000002454596000003/0000024545-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/24545/,1386857000,695016000,Consumer Defensive,Beverages - Alcoholic,NYSE,1975-06-12
1996-03-31,TAP,USD,0000024545,1996-05-15,1996-05-15 00:00:00,1996,Q1,368729000,260777000,107952000,0.2927678593,2363000,0,0,108112000,0,110475000,371252000,0,0,28905000,26382000,0.0715484814,-2523000,-0.0068424236,-2584000,-5107000,-0.0138502803,-2100000,-3007000,-0.0081550407,-0.0396,-0.0396,76024000,76024000,https://www.sec.gov/Archives/edgar/data/24545/000002454596000005/0000024545-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/24545/,1340998000,687025000,Consumer Defensive,Beverages - Alcoholic,NYSE,1975-06-12
1996-06-30,TAP,USD,0000024545,1996-08-14,1996-08-14 00:00:00,1996,Q2,502426000,307467000,194959000,0.388035253,3277000,0,0,142919000,5200000,151396000,458863000,0,0,30482000,74045000,0.1473749368,43563000,0.0867053059,-2613000,40950000,0.08150454,17154000,23796000,0.0473621986,0.32,0.32,76026000,76026000,https://www.sec.gov/Archives/edgar/data/24545/000002454596000011/0000024545-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/24545/,1370954000,704907000,Consumer Defensive,Beverages - Alcoholic,NYSE,1975-06-12
1996-09-29,TAP,USD,0000024545,1996-11-13,1996-11-13 00:00:00,1996,Q3,453513000,289357000,164156000,0.3619653681,3124000,0,0,134043000,-6712000,130455000,419812000,0,0,31036000,64737000,0.1427456324,33701000,0.07431099,-1503000,32198000,0.0709968623,13523000,18675000,0.0411785329,0.25,0.25,76036000,76036000,https://www.sec.gov/Archives/edgar/data/24545/000002454596000017/0000024545-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/24545/,1360468000,716268000,Consumer Defensive,Beverages - Alcoholic,NYSE,1975-06-12
1996-12-31,TAP,USD,0000024545,1997-03-28,1997-03-28 00:00:00,1996,Q4,407565000,260265000,147300000,0.3614147437,3997000,0,0,129172000,7853000,141022000,401287000,0,0,30698000,36976000,0.090724179,6278000,0.0154036779,656000,6934000,0.0170132372,2973000,3961000,0.0097186952,0.053,0.053,75564000,75564000,https://www.sec.gov/Archives/edgar/data/24545/000002454597000002/0000024545-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/24545/,1362536000,715487000,Consumer Defensive,Beverages - Alcoholic,NYSE,1975-06-12
1997-03-30,TAP,USD,0000024545,1997-05-14,1997-05-14 00:00:00,1997,Q1,398995000,255167000,143828000,0.3604756952,2816000,0,0,125298000,998000,129112000,384279000,0,0,30281000,44997000,0.1127758493,14716000,0.0368826677,-1080000,13636000,0.0341758669,5591000,8045000,0.0201631599,0.11,0.11,75564000,75564000,https://www.sec.gov/Archives/edgar/data/24545/000002454597000006/0000024545-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/24545/,1351744000,704473000,Consumer Defensive,Beverages - Alcoholic,NYSE,1975-06-12
1997-06-29,TAP,USD,0000024545,1997-08-13,1997-08-13 00:00:00,1997,Q2,520826000,300663000,220163000,0.4227189119,3560000,0,0,156307000,-32515000,127352000,428015000,0,0,28882000,121693000,0.2336538498,92811000,0.1781996291,-977000,91834000,0.1763237626,40816000,51018000,0.0979559392,0.68,0.68,74784000,74784000,https://www.sec.gov/Archives/edgar/data/24545/000002454597000008/0000024545-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/24545/,1415171000,739746000,Consumer Defensive,Beverages - Alcoholic,NYSE,1975-06-12
