date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-01-31,TGT,USD,0000027419,1995-04-18,1995-04-18 00:00:00,1994,Q4,6998000000,5169000000,1829000000,0.2613603887,0,1127000000,-100000000,1027000000,235000000,1262000000,6431000000,0,0,135000000,702000000,0.1003143755,567000000,0.0810231495,-107000000,460000000,0.0657330666,181000000,279000000,0.0398685339,0.25,0.25,1100000000,1100000000,https://www.sec.gov/Archives/edgar/data/27419/000095013195000955/0000950131-95-000955-index.html,https://www.sec.gov/Archives/edgar/data/27419/,11697000000,3237000000,Consumer Defensive,Discount Stores,NYSE,1967-10-18
1995-04-29,TGT,USD,0000027419,1995-06-09,1995-06-09 00:00:00,1995,Q1,4757000000,3504000000,1253000000,0.2634013033,0,988000000,-95000000,893000000,235000000,1128000000,4632000000,0,0,140000000,265000000,0.0557073786,125000000,0.0262770654,-107000000,18000000,0.0037838974,7000000,11000000,0.0023123818,0.01,0.01,1100000000,1100000000,https://www.sec.gov/Archives/edgar/data/27419/000095013195001601/0000950131-95-001601-index.html,https://www.sec.gov/Archives/edgar/data/27419/,11940000000,3378000000,Consumer Defensive,Discount Stores,NYSE,1967-10-18
1995-07-29,TGT,USD,0000027419,1995-09-08,1995-09-08 00:00:00,1995,Q2,5236000000,3896000000,1340000000,0.25592055,0,1042000000,-101000000,941000000,244000000,1185000000,5081000000,0,0,143000000,298000000,0.0569136746,155000000,0.0296027502,-108000000,47000000,0.0089763178,19000000,28000000,0.0053475936,0.03,0.03,933333333,933333333,https://www.sec.gov/Archives/edgar/data/27419/000095013195002495/0000950131-95-002495-index.html,https://www.sec.gov/Archives/edgar/data/27419/,12253000000,3371000000,Consumer Defensive,Discount Stores,NYSE,1967-10-18
1995-10-28,TGT,USD,0000027419,1995-12-08,1995-12-08 00:00:00,1995,Q3,5573000000,4113000000,1460000000,0.261977391,0,1130000000,-103000000,1027000000,251000000,1278000000,5391000000,0,0,148000000,330000000,0.0592140678,182000000,0.0326574556,-111000000,71000000,0.0127399964,27000000,44000000,0.007895209,0.05,0.05,880000000,880000000,https://www.sec.gov/Archives/edgar/data/27419/000095013195003475/0000950131-95-003475-index.html,https://www.sec.gov/Archives/edgar/data/27419/,13140000000,3377000000,Consumer Defensive,Discount Stores,NYSE,1967-10-18
1996-01-31,TGT,USD,0000027419,1996-04-18,1996-04-18 00:00:00,1995,Q4,7950000000,6014000000,1936000000,0.2435220126,0,1292000000,-110000000,1182000000,273000000,1455000000,7469000000,0,0,163000000,644000000,0.0810062893,481000000,0.0605031447,-116000000,365000000,0.0459119497,137000000,228000000,0.0286792453,0.22,0.22,1025000000,1025000000,https://www.sec.gov/Archives/edgar/data/27419/000095013196001615/0000950131-96-001615-index.html,https://www.sec.gov/Archives/edgar/data/27419/,12570000000,3465000000,Consumer Defensive,Discount Stores,NYSE,1967-10-18
1996-05-04,TGT,USD,0000027419,1996-06-14,1996-06-14 00:00:00,1996,Q1,5380000000,3949000000,1431000000,0.2659851301,0,1095000000,-112000000,983000000,269000000,1252000000,5201000000,0,0,157000000,336000000,0.0624535316,179000000,0.0332713755,-109000000,70000000,0.0130111524,28000000,41000000,0.0076208178,0.04,0.04,1025000000,1025000000,https://www.sec.gov/Archives/edgar/data/27419/000095013196002795/0000950131-96-002795-index.html,https://www.sec.gov/Archives/edgar/data/27419/,12785000000,3486000000,Consumer Defensive,Discount Stores,NYSE,1967-10-18
1996-08-03,TGT,USD,0000027419,1996-09-13,1996-09-13 00:00:00,1996,Q2,5751000000,4197000000,1554000000,0.2702138758,0,1117000000,-108000000,1009000000,267000000,1276000000,5473000000,0,0,159000000,437000000,0.0759867849,278000000,0.0483394192,-111000000,167000000,0.0290384281,66000000,101000000,0.0175621631,0.11,0.11,918181818,918181818,https://www.sec.gov/Archives/edgar/data/27419/000095013196004506/0000950131-96-004506-index.html,https://www.sec.gov/Archives/edgar/data/27419/,13012000000,3567000000,Consumer Defensive,Discount Stores,NYSE,1967-10-18
1996-11-02,TGT,USD,0000027419,1996-12-13,1996-12-13 00:00:00,1996,Q3,6073000000,4452000000,1621000000,0.2669191503,0,1150000000,-109000000,1041000000,275000000,1316000000,5768000000,0,0,166000000,471000000,0.0775563972,305000000,0.0502222954,-114000000,191000000,0.0314506834,75000000,107000000,0.0176189692,0.12,0.12,891666667,891666667,https://www.sec.gov/Archives/edgar/data/27419/000095013196006307/0000950131-96-006307-index.html,https://www.sec.gov/Archives/edgar/data/27419/,14009000000,3647000000,Consumer Defensive,Discount Stores,NYSE,1967-10-18
1997-01-31,TGT,USD,0000027419,1997-04-16,1997-04-16 00:00:00,1996,Q4,8167000000,6030000000,2137000000,0.2616627893,0,1372000000,-116000000,1256000000,418000000,1540000000,7570000000,0,0,168000000,765000000,0.0936696461,597000000,0.0730990572,-242000000,355000000,0.0434676136,140000000,214000000,0.0262030121,0.22,0.22,954545455,954545455,https://www.sec.gov/Archives/edgar/data/27419/000091205797013232/0000912057-97-013232-index.html,https://www.sec.gov/Archives/edgar/data/27419/,13389000000,3840000000,Consumer Defensive,Discount Stores,NYSE,1967-10-18
1997-05-03,TGT,USD,0000027419,1997-06-17,1997-06-17 00:00:00,1997,Q1,5889000000,4253000000,1636000000,0.2778060791,0,1151000000,-117000000,1034000000,287000000,1321000000,5574000000,0,0,170000000,485000000,0.0823569367,315000000,0.0534895568,-107000000,208000000,0.0353200883,82000000,105000000,0.0178298523,0.11,0.11,954545455,954545455,https://www.sec.gov/Archives/edgar/data/27419/000091205797020567/0000912057-97-020567-index.html,https://www.sec.gov/Archives/edgar/data/27419/,13567000000,3921000000,Consumer Defensive,Discount Stores,NYSE,1967-10-18
