date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-01-31,TJX,USD,0000109198,1995-04-19,1995-04-19 00:00:00,1995,Q4,1112500000,863600000,248900000,0.2237303371,0,0,0,201200000,20300000,221500000,1085100000,0,0,20300000,47700000,0.0428764045,27400000,0.0246292135,-7000000,20400000,0.0183370787,8800000,11600000,0.0104269663,0.0071,0.0071,1680000000,1680000000,https://www.sec.gov/Archives/edgar/data/109198/000010919895000002/0000109198-95-000002-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919895000002/,1638200000,607000000,Consumer Cyclical,Apparel - Retail,NYSE,1987-06-26
1995-04-29,TJX,USD,0000109198,1995-06-07,1995-06-07 00:00:00,1996,Q1,911600000,677900000,233700000,0.2563624397,0,0,0,188600000,21100000,209700000,887600000,0,0,21100000,45100000,0.0494734533,24000000,0.0263273366,-8900000,15100000,0.0165642826,7000000,8100000,0.0088854761,0.0038,0.0038,1680000000,1680000000,https://www.sec.gov/Archives/edgar/data/109198/000010919895000004/0000109198-95-000004-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919895000004/,1824800000,602700000,Consumer Cyclical,Apparel - Retail,NYSE,1987-06-26
1995-07-29,TJX,USD,0000109198,1995-09-12,1995-09-12 00:00:00,1996,Q2,848900000,641100000,207800000,0.2447873719,0,0,0,166900000,16500000,183400000,824500000,0,0,16500000,40900000,0.0481799976,24400000,0.0287430793,-9900000,14500000,0.0170809283,6800000,-24900000,-0.0293320768,-0.0125,-0.0125,2136000000,2136000000,https://www.sec.gov/Archives/edgar/data/109198/000010919895000006/0000109198-95-000006-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919895000006/,1810900000,565900000,Consumer Cyclical,Apparel - Retail,NYSE,1987-06-26
1995-10-28,TJX,USD,0000109198,1995-12-12,1995-12-12 00:00:00,1996,Q3,1012700000,728500000,284200000,0.2806359238,0,0,0,197000000,19500000,216500000,945000000,0,0,19500000,87200000,0.0861064481,67700000,0.0668509924,-11200000,56500000,0.0557914486,22600000,33900000,0.0334748692,0.0138,0.0138,2465455000,2465455000,https://www.sec.gov/Archives/edgar/data/109198/000010919895000009/0000109198-95-000009-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919895000009/,1903300000,588100000,Consumer Cyclical,Apparel - Retail,NYSE,1987-06-26
1996-01-31,TJX,USD,0000109198,1996-04-26,1996-04-26 00:00:00,1996,Q4,1755500000,1360400000,395100000,0.2250640843,0,0,0,295900000,28900000,324800000,1685200000,0,0,28900000,99200000,0.0565081173,70300000,0.0400455711,-49700000,20600000,0.0117345486,8100000,9200000,0.0052406722,0.004,0.004,2275556000,2275556000,https://www.sec.gov/Archives/edgar/data/109198/000095013596001819/0000950135-96-001819-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000095013596001819/,2745600000,764700000,Consumer Cyclical,Apparel - Retail,NYSE,1987-06-26
1996-04-27,TJX,USD,0000109198,1996-06-11,1996-06-11 00:00:00,1997,Q1,1604200000,1208600000,395600000,0.246602668,0,0,0,297000000,32100000,329100000,1537700000,0,0,32100000,98600000,0.0614636579,66500000,0.0414536841,-15000000,51500000,0.032103229,21400000,30100000,0.0187632465,0.0113,0.0113,2275556000,2275556000,https://www.sec.gov/Archives/edgar/data/109198/000010919896000010/0000109198-96-000010-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919896000010/,2779300000,785500000,Consumer Cyclical,Apparel - Retail,NYSE,1987-06-26
1996-07-27,TJX,USD,0000109198,1996-09-10,1996-09-10 00:00:00,1997,Q2,1548300000,1189200000,359100000,0.2319317962,0,0,0,257900000,33000000,290900000,1480100000,0,0,33000000,101200000,0.0653620099,68200000,0.0440483111,-11000000,57200000,0.0369437448,23500000,36100000,0.0233158949,0.0138,0.0138,2312727000,2312727000,https://www.sec.gov/Archives/edgar/data/109198/000010919896000016/0000109198-96-000016-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919896000016/,2864600000,815700000,Consumer Cyclical,Apparel - Retail,NYSE,1987-06-26
1996-10-26,TJX,USD,0000109198,1996-11-19,1996-11-19 00:00:00,1997,Q3,1722400000,1276200000,446200000,0.2590571296,0,0,0,266900000,29100000,296000000,1572200000,0,0,32400000,182600000,0.106014863,150200000,0.0872039015,-10300000,139900000,0.0812238737,58300000,87500000,0.0508012076,0.0313,0.0313,2726400000,2726400000,https://www.sec.gov/Archives/edgar/data/109198/000010919896000019/0000109198-96-000019-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919896000019/,2837600000,906700000,Consumer Cyclical,Apparel - Retail,NYSE,1987-06-26
1997-01-31,TJX,USD,0000109198,1997-04-25,1997-04-25 00:00:00,1997,Q4,1946500000,1471400000,475100000,0.2440791164,0,0,0,311100000,32600000,343700000,1815100000,0,0,32600000,164000000,0.0842537889,131400000,0.0675057796,-1800000,129600000,0.0665810429,54100000,209500000,0.1076290778,0.08,0.08,2622857000,2622857000,https://www.sec.gov/Archives/edgar/data/109198/000095013597002017/0000950135-97-002017-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000095013597002017/,2561200000,1127200000,Consumer Cyclical,Apparel - Retail,NYSE,1987-06-26
1997-04-26,TJX,USD,0000109198,1997-06-10,1997-06-10 00:00:00,1998,Q1,1560200000,1172700000,387500000,0.2483655942,0,0,0,273700000,29900000,303600000,1476300000,0,0,29900000,113800000,0.0729393667,83900000,0.053775157,-900000,83000000,0.0531983079,34500000,48500000,0.0310857582,0.0175,0.0175,2622857000,2622857000,https://www.sec.gov/Archives/edgar/data/109198/000010919897000004/0000109198-97-000004-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919897000004/,2788500000,1167900000,Consumer Cyclical,Apparel - Retail,NYSE,1987-06-26
