date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,TXN,USD,0000097476,1995-04-21,1995-04-21 00:00:00,1995,Q1,2862000000,1903000000,959000000,0.3350803634,213000000,0,0,402000000,0,615000000,2518000000,0,0,0,344000000,0.1201956674,344000000,0.1201956674,4000000,348000000,0.1215932914,118000000,230000000,0.0803633823,0.15,0.15,1485408000,1527312000,https://www.sec.gov/Archives/edgar/data/97476/000009747695000008/0000097476-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/97476/,7421000000,3273000000,Technology,Semiconductors,NASDAQ,1972-06-01
1995-06-30,TXN,USD,0000097476,1995-07-21,1995-07-21 00:00:00,1995,Q2,3238000000,2148000000,1090000000,0.3366275479,215000000,0,0,472000000,0,687000000,2835000000,0,0,-20000000,383000000,0.1182828907,403000000,0.1244595429,7000000,410000000,0.1266213712,132000000,278000000,0.0858554663,0.18,0.18,1497632000,1547584000,https://www.sec.gov/Archives/edgar/data/97476/000009747695000011/0000097476-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/97476/,7961000000,3558000000,Technology,Semiconductors,NASDAQ,1972-06-01
1995-09-30,TXN,USD,0000097476,1995-10-20,1995-10-20 00:00:00,1995,Q3,3425000000,2322000000,1103000000,0.3220437956,221000000,0,0,445000000,0,666000000,2988000000,0,0,-6000000,431000000,0.1258394161,437000000,0.1275912409,-6000000,431000000,0.1258394161,142000000,289000000,0.084379562,0.19,0.19,1506400000,1560632000,https://www.sec.gov/Archives/edgar/data/97476/000009747695000012/0000097476-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/97476/,8644000000,3849000000,Technology,Semiconductors,NASDAQ,1972-06-01
1995-12-31,TXN,USD,0000097476,1996-02-23,1996-02-23 00:00:00,1995,Q4,3603000000,2571000000,1032000000,0.2864279767,0,0,0,623000000,0,623000000,3194000000,0,0,-31000000,378000000,0.1049125729,409000000,0.113516514,21000000,430000000,0.1193449903,139000000,291000000,0.0807660283,0.18,0.18,1514928000,1556440000,https://www.sec.gov/Archives/edgar/data/97476/000009747696000014/0000097476-96-000014-index.html,https://www.sec.gov/Archives/edgar/data/97476/,9215000000,4095000000,Technology,Semiconductors,NASDAQ,1972-06-01
1996-03-31,TXN,USD,0000097476,1996-04-19,1996-04-19 00:00:00,1996,Q1,2675000000,1889000000,786000000,0.2938317757,243000000,0,0,397000000,0,640000000,2529000000,0,0,-55000000,146000000,0.0545794393,197000000,0.0736448598,44000000,240000000,0.0897196262,77000000,163000000,0.0609345794,0.11,0.11,1515828000,1553272000,https://www.sec.gov/Archives/edgar/data/97476/000009747696000020/0000097476-96-000020-index.html,https://www.sec.gov/Archives/edgar/data/97476/0000097476-96-000020.txt,9122000000,4231000000,Technology,Semiconductors,NASDAQ,1972-06-01
1996-06-30,TXN,USD,0000097476,1996-07-19,1996-07-19 00:00:00,1996,Q2,2399000000,1722000000,677000000,0.282200917,235000000,0,0,402000000,0,637000000,2359000000,0,0,-8000000,40000000,0.016673614,95000000,0.0395998333,-3000000,92000000,0.0383493122,16000000,76000000,0.0316798666,0.0559,0.0559,1516240000,1556848000,https://www.sec.gov/Archives/edgar/data/97476/000009747696000033/0000097476-96-000033-index.html,https://www.sec.gov/Archives/edgar/data/97476/,9241000000,4279000000,Technology,Semiconductors,NASDAQ,1972-06-01
1996-09-30,TXN,USD,0000097476,1996-10-18,1996-10-18 00:00:00,1996,Q3,2407000000,1743000000,664000000,0.275862069,448000000,0,0,393000000,0,841000000,2584000000,0,0,-15000000,-177000000,-0.0735355214,-125000000,-0.0519318654,-8000000,-133000000,-0.0552555048,15000000,-147000000,-0.0610718737,-0.0975,-0.0975,1517784000,1517784000,https://www.sec.gov/Archives/edgar/data/97476/000009747696000042/0000097476-96-000042-index.html,https://www.sec.gov/Archives/edgar/data/97476/,9557000000,4115000000,Technology,Semiconductors,NASDAQ,1972-06-01
1996-12-31,TXN,USD,0000097476,1997-02-25,1997-02-25 00:00:00,1996,Q4,1179000000,824000000,355000000,0.3011026293,198000000,0,0,351000000,0,549000000,1373000000,0,0,3000000,-191000000,-0.1620016964,-194000000,-0.1645462256,-28000000,-222000000,-0.1882951654,-85000000,-28000000,-0.0237489398,-0.0184,-0.0184,1520648000,1520648000,https://www.sec.gov/Archives/edgar/data/97476/000009747697000003/0000097476-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/97476/,9360000000,4097000000,Technology,Semiconductors,NASDAQ,1972-06-01
1997-03-31,TXN,USD,0000097476,1997-04-18,1997-04-18 00:00:00,1997,Q1,2263000000,1472000000,791000000,0.3495360141,239000000,0,0,381000000,0,620000000,2092000000,0,0,-10000000,161000000,0.0711444985,171000000,0.0755634114,-14000000,157000000,0.0693769333,55000000,129000000,0.057003977,0.09,0.09,1525584000,1577480000,https://www.sec.gov/Archives/edgar/data/97476/000009747697000009/0000097476-97-000009-index.html,https://www.sec.gov/Archives/edgar/data/97476/,9263000000,4234000000,Technology,Semiconductors,NASDAQ,1972-06-01
1997-06-30,TXN,USD,0000097476,1997-07-18,1997-07-18 00:00:00,1997,Q2,2559000000,1597000000,962000000,0.3759280969,280000000,0,0,395000000,0,675000000,2272000000,0,0,-83000000,204000000,0.0797186401,287000000,0.1121531848,57000000,344000000,0.1344275107,120000000,249000000,0.0973036342,0.17,0.16,1531952000,1587656000,https://www.sec.gov/Archives/edgar/data/97476/000009747697000020/0000097476-97-000020-index.html,https://www.sec.gov/Archives/edgar/data/97476/,9387000000,4463000000,Technology,Semiconductors,NASDAQ,1972-06-01
1997-09-30,TXN,USD,0000097476,1997-10-17,1997-10-17 00:00:00,1997,Q3,2500000000,1518000000,982000000,0.3928,275000000,0,0,349000000,0,624000000,2142000000,0,0,-33000000,325000000,0.13,358000000,0.1432,10000000,368000000,0.1472,129000000,1712000000,0.6848,1.12,1.07,1545520000,1599792000,https://www.sec.gov/Archives/edgar/data/97476/000009747697000021/0000097476-97-000021-index.html,https://www.sec.gov/Archives/edgar/data/97476/,12074000000,6320000000,Technology,Semiconductors,NASDAQ,1972-06-01
1997-12-31,TXN,USD,0000097476,1998-02-23,1998-02-23 00:00:00,1997,Q4,2428000000,1480000000,948000000,0.3904448105,741000000,0,0,407000000,0,1148000000,2628000000,0,0,-65000000,-265000000,-0.1091433278,-200000000,-0.0823723229,44000000,-156000000,-0.0642504119,107000000,-285000000,-0.1173805601,-0.18,-0.18,1558984000,1594652000,https://www.sec.gov/Archives/edgar/data/97476/000009747698000008/0000097476-98-000008-index.html,https://www.sec.gov/Archives/edgar/data/97476/,10849000000,5914000000,Technology,Semiconductors,NASDAQ,1972-06-01
1998-03-31,TXN,USD,0000097476,1998-04-17,1998-04-17 00:00:00,1998,Q1,2187000000,1517000000,670000000,0.3063557385,328000000,0,0,364000000,0,692000000,2209000000,0,0,-57000000,-79000000,-0.0361225423,-22000000,-0.0100594422,39000000,17000000,0.0077732053,6000000,11000000,0.0050297211,0.01,0.01,1560076000,1599920000,https://www.sec.gov/Archives/edgar/data/97476/000009747698000017/0000097476-98-000017-index.html,https://www.sec.gov/Archives/edgar/data/97476/,10370000000,5977000000,Technology,Semiconductors,NASDAQ,1972-06-01
1998-06-30,TXN,USD,0000097476,1998-07-23,1998-07-23 00:00:00,1998,Q2,2167000000,1456000000,711000000,0.3281033687,306000000,0,0,457000000,0,763000000,2205000000,0,0,-135000000,-187000000,-0.0862944162,-38000000,-0.0175357637,103000000,65000000,0.0299953853,22000000,52000000,0.0239963083,0.03,0.03,1564016000,1607572000,https://www.sec.gov/Archives/edgar/data/97476/000009747698000020/0000097476-98-000020-index.html,https://www.sec.gov/Archives/edgar/data/97476/,10250000000,5959000000,Technology,Semiconductors,NASDAQ,1972-06-01
1998-09-30,TXN,USD,0000097476,1998-10-22,1998-10-22 00:00:00,1998,Q3,2113000000,1308000000,805000000,0.3809749172,291000000,0,0,311000000,0,602000000,1924000000,0,0,-65000000,138000000,0.0653099858,203000000,0.0960719356,46000000,249000000,0.1178419309,85000000,164000000,0.0776147657,0.1,0.1,1561188000,1600226000,https://www.sec.gov/Archives/edgar/data/97476/000009747698000022/0000097476-98-000022-index.html,https://www.sec.gov/Archives/edgar/data/97476/,10518000000,6028000000,Technology,Semiconductors,NASDAQ,1972-06-01
1998-12-31,TXN,USD,0000097476,1999-02-22,1999-02-22 00:00:00,1998,Q4,1993000000,1113000000,880000000,0.4415454089,281000000,0,0,328000000,0,609000000,1722000000,0,0,-35000000,236000000,0.1184144506,271000000,0.1359759157,15000000,286000000,0.1435022579,97000000,189000000,0.0948319117,0.12,0.12,1668569769,1710941510,https://www.sec.gov/Archives/edgar/data/97476/000009747699000009/0000097476-99-000009-index.html,https://www.sec.gov/Archives/edgar/data/97476/,11250000000,6527000000,Technology,Semiconductors,NASDAQ,1972-06-01
1999-03-31,TXN,USD,0000097476,1999-04-23,1999-04-23 00:00:00,1999,Q1,2039000000,1127000000,912000000,0.4472780775,311000000,0,0,323000000,8000000,642000000,1775000000,0,0,-78000000,205000000,0.1005394801,299000000,0.1466405101,70000000,358000000,0.1755762629,110000000,255000000,0.1250613046,0.16,0.16,1598678000,1649334000,https://www.sec.gov/Archives/edgar/data/97476/000009747699000012/0000097476-99-000012-index.html,https://www.sec.gov/Archives/edgar/data/97476/,11115000000,6679000000,Technology,Semiconductors,NASDAQ,1972-06-01
1999-06-30,TXN,USD,0000097476,1999-08-13,1999-08-13 00:00:00,1999,Q2,2395000000,1222000000,1149000000,0.4797494781,365000000,0,0,336000000,9000000,710000000,1932000000,0,0,-65000000,389000000,0.1624217119,463000000,0.1933194154,48000000,511000000,0.2133611691,177000000,330000000,0.1377870564,0.21,0.2,1602836000,1658655000,https://www.sec.gov/Archives/edgar/data/97476/000095013499007335/0000950134-99-007335-index.html,https://www.sec.gov/Archives/edgar/data/97476/000095013499007335/,11047000000,6721000000,Technology,Semiconductors,NASDAQ,1972-06-01
1999-09-30,TXN,USD,0000097476,1999-11-08,1999-11-08 00:00:00,1999,Q3,2385000000,1307000000,1138000000,0.477148847,350000000,0,0,372000000,26000000,748000000,2055000000,0,0,-153000000,283000000,0.1186582809,452000000,0.1895178197,138000000,586000000,0.2457023061,188000000,402000000,0.1685534591,0.24,0.23,1680748000,1750686000,https://www.sec.gov/Archives/edgar/data/97476/000009747699000019/0000097476-99-000019-index.html,https://www.sec.gov/Archives/edgar/data/97476/000009747699000019/,13198000000,7923000000,Technology,Semiconductors,NASDAQ,1972-06-01
1999-12-31,TXN,USD,0000097476,2000-03-03,2000-03-03 00:00:00,1999,Q4,2698000000,1376000000,1322000000,0.4899925871,337000000,0,0,478000000,0,815000000,2191000000,0,0,-103000000,404000000,0.1497405486,507000000,0.1879169755,83000000,590000000,0.2186805041,134000000,456000000,0.1690140845,0.26,0.25,1723207209,1774883084,https://www.sec.gov/Archives/edgar/data/97476/000009747600000006/0000097476-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/97476/000009747600000006/,15028000000,9255000000,Technology,Semiconductors,NASDAQ,1972-06-01
2000-03-31,TXN,USD,0000097476,2000-04-21,2000-04-21 00:00:00,2000,Q1,2761000000,1420000000,1341000000,0.4856935893,401000000,0,0,388000000,-2000000,787000000,2207000000,0,0,-124000000,398000000,0.14415067,554000000,0.2006519377,107000000,661000000,0.2394060123,211000000,421000000,0.1524809852,0.25,0.24,1632114000,1703236000,https://www.sec.gov/Archives/edgar/data/97476/000091205700019075/0000912057-00-019075-index.html,https://www.sec.gov/Archives/edgar/data/97476/000091205700019075/,17500000000,11199000000,Technology,Semiconductors,NASDAQ,1972-06-01
2000-06-30,TXN,USD,0000097476,2000-07-27,2000-07-27 00:00:00,2000,Q2,2843000000,1486000000,1395000000,0.4906788604,400000000,0,0,400000000,1000000,801000000,2287000000,0,0,-1341000000,-718000000,-0.2525501231,623000000,0.2191347168,1326000000,1971000000,0.6932817446,669000000,1296000000,0.4558564896,0.76,0.72,1712756000,1793888000,https://www.sec.gov/Archives/edgar/data/97476/000091205700033442/0000912057-00-033442-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000091205700033442/a10-q.txt,19558000000,12670000000,Technology,Semiconductors,NASDAQ,1972-06-01
2000-09-30,TXN,USD,0000097476,2000-10-24,2000-10-24 00:00:00,2000,Q3,3160000000,1644000000,1516000000,0.4797468354,533000000,0,0,453000000,0,986000000,2623000000,0,0,-565000000,-35000000,-0.0110759494,530000000,0.167721519,548000000,1078000000,0.3411392405,399000000,679000000,0.2148734177,0.39,0.38,1720890000,1720890000,https://www.sec.gov/Archives/edgar/data/97476/000091205700045698/0000912057-00-045698-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000091205700045698/a2028439z10-q.txt,18339000000,12441000000,Technology,Semiconductors,NASDAQ,1972-06-01
2000-12-31,TXN,USD,0000097476,2001-02-28,2001-02-28 00:00:00,2000,Q4,3024000000,1572000000,1452000000,0.4801587302,441000000,0,0,401000000,0,842000000,2414000000,0,0,-274000000,336000000,0.1111111111,610000000,0.2017195767,257000000,867000000,0.2867063492,205000000,633000000,0.2093253968,0.38,0.37,1733498112,2014804374,https://www.sec.gov/Archives/edgar/data/97476/000009747601000007/0000097476-01-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747601000007/0000097476-01-000007-0001.txt,17720000000,12588000000,Technology,Semiconductors,NASDAQ,1972-06-01
2001-03-31,TXN,USD,0000097476,2001-04-27,2001-04-27 00:00:00,2001,Q1,2528000000,1505000000,1023000000,0.4046677215,446000000,0,0,348000000,0,794000000,2299000000,0,0,403000000,632000000,0.25,229000000,0.090585443,91000000,320000000,0.1265822785,90000000,230000000,0.0909810127,0.13,0.13,1769230769,1769230769,https://www.sec.gov/Archives/edgar/data/97476/000009747601500004/0000097476-01-500004-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747601500004/doc1.txt,17242000000,13002000000,Technology,Semiconductors,NASDAQ,1972-06-01
2001-06-30,TXN,USD,0000097476,2001-07-27,2001-07-27 00:00:00,2001,Q2,2037000000,1523000000,514000000,0.2523318606,412000000,0,0,400000000,0,812000000,2335000000,0,0,445000000,147000000,0.0721649485,-298000000,-0.146293569,42000000,-256000000,-0.1256750123,-59000000,-197000000,-0.0967108493,-0.11,-0.11,1790909091,1790909091,https://www.sec.gov/Archives/edgar/data/97476/000009747601500014/0000097476-01-500014-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747601500014/doc1.txt,16702000000,12667000000,Technology,Semiconductors,NASDAQ,1972-06-01
2001-09-30,TXN,USD,0000097476,2001-10-24,2001-10-24 00:00:00,2001,Q3,1849000000,1424000000,425000000,0.2298539751,358000000,0,0,312000000,0,670000000,2094000000,0,0,470000000,225000000,0.1216873986,-245000000,-0.1325040562,22000000,-223000000,-0.1206057328,-106000000,-117000000,-0.0632774473,-0.07,-0.07,1671428571,1671428571,https://www.sec.gov/Archives/edgar/data/97476/000009747601500025/0000097476-01-500025-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747601500025/doc1.txt,15244000000,11548000000,Technology,Semiconductors,NASDAQ,1972-06-01
2001-12-31,TXN,USD,0000097476,2002-03-04,2002-03-04 00:00:00,2001,Q4,1787000000,1372000000,415000000,0.2322327924,382000000,0,0,301000000,0,683000000,2055000000,0,0,510000000,242000000,0.1354224958,-268000000,-0.1499720201,0,-268000000,-0.1499720201,-152000000,-116000000,-0.0649132625,-0.0725,-0.0725,1600000000,1600000000,https://www.sec.gov/Archives/edgar/data/97476/000009747602000011/0000097476-02-000011-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747602000011/doc1.txt,15779000000,11879000000,Technology,Semiconductors,NASDAQ,1972-06-01
2002-03-31,TXN,USD,0000097476,2002-04-26,2002-04-26 00:00:00,2002,Q1,1827000000,1216000000,611000000,0.3344280241,388000000,0,0,265000000,2000000,655000000,1871000000,0,0,425000000,381000000,0.2085385878,-44000000,-0.0240831965,-3000000,-47000000,-0.0257252326,-9000000,-38000000,-0.0207991242,-0.02,-0.02,1900000000,1900000000,https://www.sec.gov/Archives/edgar/data/97476/000009747602000017/0000097476-02-000017-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747602000017/doc1.txt,15538000000,11848000000,Technology,Semiconductors,NASDAQ,1972-06-01
