date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-04-01,TXT,USD,0000217346,1995-05-12,1995-05-12 00:00:00,1996,Q1,2387000000,1171000000,1216000000,0.5094260578,0,0,0,378000000,0,480000000,1651000000,0,0,102000000,1187000000,0.4972769166,1085000000,0.4545454545,-554000000,182000000,0.0762463343,73000000,109000000,0.0456640134,0.32,0.32,346031746,346031746,https://www.sec.gov/Archives/edgar/data/217346/000021734695000004/0000217346-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/217346/,21967000000,2980000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1995-07-01,TXT,USD,0000217346,1995-08-11,1995-08-11 00:00:00,1996,Q2,2502000000,1249000000,1253000000,0.5007993605,0,0,0,380000000,0,482000000,1731000000,0,0,102000000,1230000000,0.4916067146,1128000000,0.4508393285,-569000000,202000000,0.0807354117,81000000,121000000,0.048361311,0.35,0.35,345714286,345714286,https://www.sec.gov/Archives/edgar/data/217346/000021734695000006/0000217346-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/217346/,22330000000,3096000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1995-09-30,TXT,USD,0000217346,1995-11-13,1995-11-13 00:00:00,1996,Q3,2425000000,1172000000,1253000000,0.5167010309,0,0,0,384000000,0,488000000,1660000000,0,0,104000000,1228000000,0.5063917526,1124000000,0.4635051546,-561000000,204000000,0.0841237113,82000000,122000000,0.0503092784,0.36,0.36,343661972,343661972,https://www.sec.gov/Archives/edgar/data/217346/000021734695000016/0000217346-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/217346/,22712000000,3226000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1995-12-31,TXT,USD,0000217346,1996-03-14,1996-03-14 00:00:00,1996,Q4,2659000000,1282000000,1377000000,0.5178638586,0,0,0,415000000,0,522000000,1804000000,0,0,107000000,1398000000,0.5257615645,1291000000,0.4855208725,-643000000,212000000,0.0797292215,85000000,127000000,0.0477623167,0.36,0.36,350531501,350531501,https://www.sec.gov/Archives/edgar/data/217346/000021734696000008/0000217346-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/217346/,23172000000,3412000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1996-03-30,TXT,USD,0000217346,1996-05-10,1996-05-10 00:00:00,1997,Q1,2214000000,1301000000,913000000,0.4123757904,0,0,0,331000000,0,423000000,1724000000,0,0,92000000,780000000,0.352303523,688000000,0.3107497742,0,490000000,0.2213188799,455000000,35000000,0.0158084914,0.11,0.1,333333333,350000000,https://www.sec.gov/Archives/edgar/data/217346/000021734696000010/0000217346-96-000010-index.html,https://www.sec.gov/Archives/edgar/data/217346/,17383000000,3227000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1996-06-29,TXT,USD,0000217346,1996-08-12,1996-08-12 00:00:00,1997,Q2,2384000000,1423000000,961000000,0.4031040268,0,0,0,342000000,0,439000000,1862000000,0,0,97000000,749000000,0.3141778523,652000000,0.2734899329,-313000000,209000000,0.0876677852,84000000,125000000,0.0524328859,0.37,0.37,337837838,342465753,https://www.sec.gov/Archives/edgar/data/217346/000021734696000014/0000217346-96-000014-index.html,https://www.sec.gov/Archives/edgar/data/217346/,18354000000,3281000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1996-09-28,TXT,USD,0000217346,1996-11-12,1996-11-12 00:00:00,1997,Q3,2248000000,1298000000,950000000,0.4225978648,0,0,0,335000000,0,432000000,1730000000,0,0,97000000,749000000,0.3331850534,652000000,0.2900355872,-317000000,201000000,0.0894128114,81000000,-35000000,-0.015569395,-0.11,-0.1,333333333,350000000,https://www.sec.gov/Archives/edgar/data/217346/000021734696000015/0000217346-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/217346/,18035000000,3087000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1996-12-31,TXT,USD,0000217346,1997-03-14,1997-03-14 00:00:00,1997,Q4,2428000000,1428000000,1000000000,0.4118616145,0,0,0,366000000,0,467000000,1895000000,0,0,101000000,772000000,0.3179571664,671000000,0.2763591433,-320000000,213000000,0.0877265239,85000000,128000000,0.0527182867,0.39,0.37,321585824,344031311,https://www.sec.gov/Archives/edgar/data/217346/000021734697000001/0000217346-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/217346/,18235000000,3183000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1997-03-29,TXT,USD,0000217346,1997-05-13,1997-05-13 00:00:00,1998,Q1,2551000000,1554000000,997000000,0.3908271266,0,0,0,362000000,0,464000000,2018000000,0,0,102000000,775000000,0.3038024304,673000000,0.2638181105,-323000000,210000000,0.0823206586,85000000,125000000,0.049000392,0.38,0.37,333333333,342465753,https://www.sec.gov/Archives/edgar/data/217346/000021734697000002/0000217346-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/217346/,18689000000,3215000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1997-06-28,TXT,USD,0000217346,1997-08-05,1997-08-05 00:00:00,1998,Q2,2667000000,1622000000,1045000000,0.3918260217,0,0,0,380000000,0,488000000,2110000000,0,0,108000000,802000000,0.3007124109,694000000,0.2602174728,-317000000,240000000,0.0899887514,95000000,145000000,0.054368204,0.44,0.43,329545455,337209302,https://www.sec.gov/Archives/edgar/data/217346/000021734697000008/0000217346-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/217346/,18795000000,3220000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1997-09-27,TXT,USD,0000217346,1997-11-07,1997-11-07 00:00:00,1998,Q3,2508000000,1483000000,1025000000,0.408692185,0,0,0,372000000,0,478000000,1961000000,0,0,106000000,793000000,0.3161881978,687000000,0.273923445,-538000000,224000000,0.0893141946,86000000,138000000,0.0550239234,0.42,0.41,332530120,340740741,https://www.sec.gov/Archives/edgar/data/217346/000021734697000016/0000217346-97-000016-index.html,https://www.sec.gov/Archives/edgar/data/217346/,18517000000,3289000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1997-12-31,TXT,USD,0000217346,1998-03-16,1998-03-16 00:00:00,1998,Q4,2818000000,1742000000,1076000000,0.3818310859,0,0,0,385000000,0,504000000,2246000000,0,0,119000000,835000000,0.2963094393,716000000,0.2540809084,-324000000,248000000,0.0880056778,98000000,150000000,0.0532292406,0.46,0.45,323221244,334407295,https://www.sec.gov/Archives/edgar/data/217346/000021734698000002/0000217346-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/217346/,18610000000,3228000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
1998-04-04,TXT,USD,0000217346,1998-05-15,1998-05-15 00:00:00,1999,Q1,2718000000,1649000000,1069000000,0.3933038999,0,0,0,452000000,0,568000000,2217000000,0,0,116000000,690000000,0.2538631347,574000000,0.2111846946,-76000000,233000000,0.0857247976,91000000,142000000,0.0522442973,0.44,0.43,326436782,334117647,https://www.sec.gov/Archives/edgar/data/217346/000021734698000006/0000217346-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/217346/,19496000000,3362000000,Industrials,Aerospace & Defense,NYSE,1947-12-22
