date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,UNH,USD,0000731766,1995-05-12,1995-05-12 00:00:00,1995,Q1,1103835000,0,1103835000,1.0,0,0,0,0,-960744000,-960744000,-960744000,0,0,19665000,2084244000,1.8881843754,2064579000,1.8703692128,-1922269000,142310000,0.1289232539,52878000,89432000,0.0810193552,0.0638,0.0638,1411224000,1411224000,https://www.sec.gov/Archives/edgar/data/731766/000073176695000011/0000731766-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/731766/,3700831000,2903719000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1995-06-30,UNH,USD,0000731766,1995-08-14,1995-08-14 00:00:00,1995,Q2,1157945000,0,1157945000,1.0,0,0,0,0,-1014064000,-1014064000,-1014064000,0,0,20384000,2192393000,1.8933481297,2172009000,1.8757445302,-2029034000,142975000,0.1234730492,53096000,89879000,0.0776194033,0.0638,0.0638,1410432000,1410432000,https://www.sec.gov/Archives/edgar/data/731766/000073176695000018/0000731766-95-000018-index.html,https://www.sec.gov/Archives/edgar/data/731766/,3755986000,3025404000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1995-09-30,UNH,USD,0000731766,1995-11-14,1995-11-14 00:00:00,1995,Q3,1215536000,0,1215536000,1.0,0,0,0,0,-1064968000,-1064968000,-1064968000,0,0,19343000,2299847000,1.89204351,2280504000,1.8761303655,-2131179000,149325000,0.1228470403,55655000,93670000,0.0770606547,0.0663,0.0663,1416560000,1416560000,https://www.sec.gov/Archives/edgar/data/731766/000073176695000023/0000731766-95-000023-index.html,https://www.sec.gov/Archives/edgar/data/731766/,3896871000,3127512000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1995-12-31,UNH,USD,0000731766,1996-04-01,1996-04-01 00:00:00,1995,Q4,2193562000,0,2193562000,1.0,0,0,0,0,8096073000,8096073000,8249869000,0,0,35066000,-5867445000,-2.6748480326,-5902511000,-2.6908339039,5927915000,25404000,0.0115811634,8576000,12983000,0.0059186839,0.0025,0.0025,1439416000,1439416000,https://www.sec.gov/Archives/edgar/data/731766/000095013196001401/0000950131-96-001401-index.html,https://www.sec.gov/Archives/edgar/data/731766/,6160986000,3188020000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1996-03-31,UNH,USD,0000731766,1996-05-15,1996-05-15 00:00:00,1996,Q1,2318110000,0,2318110000,1.0,0,0,0,0,-2124504000,-2124504000,-2124504000,0,0,31101000,4473715000,1.9298976321,4442614000,1.9164810988,-4250193000,192421000,0.0830077089,73475000,118946000,0.0513116289,0.0775,0.0775,1443760000,1443760000,https://www.sec.gov/Archives/edgar/data/731766/000073176696000005/0000731766-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/731766/,6404391000,3933036000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1996-06-30,UNH,USD,0000731766,1996-08-14,1996-08-14 00:00:00,1996,Q2,2492183000,0,2492183000,1.0,0,0,0,0,-2394708000,-2394708000,-2394708000,0,0,31929000,4918820000,1.9736993632,4886891000,1.9608877037,-4804494000,82397000,0.0330621788,32077000,50320000,0.0201911336,0.0288,0.0288,1493256000,1493256000,https://www.sec.gov/Archives/edgar/data/731766/000073176696000013/0000731766-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/731766/,6495222000,4103885000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1996-09-30,UNH,USD,0000731766,1996-11-14,1996-11-14 00:00:00,1996,Q3,2587358000,0,2587358000,1.0,0,0,0,0,-2437959000,-2437959000,-2437959000,0,0,33909000,5059226000,1.955363734,5025317000,1.9422580872,-4875856000,149461000,0.0577658755,58234000,91227000,0.0352587466,0.0563,0.0563,1497040000,1497040000,https://www.sec.gov/Archives/edgar/data/731766/000073176696000017/0000731766-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/731766/,6701279000,4214666000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1996-12-31,UNH,USD,0000731766,1997-03-28,1997-03-28 00:00:00,1996,Q4,2676139000,0,2676139000,1.0,0,0,0,0,16419582000,16419582000,16419582000,0,0,36227000,-13707216000,-5.1220119732,-13743443000,-5.135549013,13900013000,156570000,0.0585059296,60812000,95143000,0.0355523386,0.0588,0.0588,1506320000,1506320000,https://www.sec.gov/Archives/edgar/data/731766/000091205797010848/0000912057-97-010848-index.html,https://www.sec.gov/Archives/edgar/data/731766/,6996630000,3823087000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1997-03-31,UNH,USD,0000731766,1997-05-15,1997-05-15 00:00:00,1997,Q1,2852000000,0,2852000000,1.0,0,0,0,0,-2673000000,-2673000000,-2673000000,0,0,34000000,5559000000,1.9491584853,5525000000,1.9372370266,-5346000000,179000000,0.0627629734,70000000,109000000,0.0382187938,0.0675,0.0675,1514640000,1514640000,https://www.sec.gov/Archives/edgar/data/731766/000091205797018076/0000912057-97-018076-index.html,https://www.sec.gov/Archives/edgar/data/731766/,7062608000,4434041000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1997-06-30,UNH,USD,0000731766,1997-08-14,1997-08-14 00:00:00,1997,Q2,2931000000,0,2931000000,1.0,0,0,0,0,-2746000000,-2746000000,-2746000000,0,0,35000000,5712000000,1.9488229273,5677000000,1.9368816104,-5492000000,185000000,0.0631183896,69000000,116000000,0.0395769362,0.0712,0.0712,1523200000,1523200000,https://www.sec.gov/Archives/edgar/data/731766/000091205797027978/0000912057-97-027978-index.html,https://www.sec.gov/Archives/edgar/data/731766/,7125900000,4623900000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1997-09-30,UNH,USD,0000731766,1997-11-14,1997-11-14 00:00:00,1997,Q3,2959000000,0,2959000000,1.0,0,0,0,0,-2772000000,-2772000000,-2772000000,0,0,37000000,5768000000,1.9493071984,5731000000,1.936802974,-5544000000,187000000,0.063197026,71000000,116000000,0.0392024333,0.0712,0.0712,1536000000,1536000000,https://www.sec.gov/Archives/edgar/data/731766/000104746997005017/0001047469-97-005017-index.html,https://www.sec.gov/Archives/edgar/data/731766/,7241300000,4771600000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1997-12-31,UNH,USD,0000731766,1998-03-27,1998-03-27 00:00:00,1997,Q4,3053500000,0,3053500000,1.0,0,0,0,0,19242600000,19242600000,19242600000,0,0,39600000,-16149500000,-5.288848862,-16189100000,-5.3018175864,16381200000,192100000,0.0629114131,72800000,119300000,0.0390699198,0.0801,0.0725,1412000000,1540000000,https://www.sec.gov/Archives/edgar/data/731766/000104746998012119/0001047469-98-012119-index.html,https://www.sec.gov/Archives/edgar/data/731766/,7623000000,4534000000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1998-03-31,UNH,USD,0000731766,1998-05-15,1998-05-15 00:00:00,1998,Q1,4115000000,0,4115000000,1.0,0,0,0,0,-3906000000,-3906000000,-3906000000,0,0,42000000,8063000000,1.9594167679,8021000000,1.9492102066,-7812000000,209000000,0.0507897934,77000000,132000000,0.0320777643,0.0813,0.0788,1544000000,1592000000,https://www.sec.gov/Archives/edgar/data/731766/000104746998020676/0001047469-98-020676-index.html,https://www.sec.gov/Archives/edgar/data/731766/,9104000000,5170000000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1998-06-30,UNH,USD,0000731766,1998-08-14,1998-08-14 00:00:00,1998,Q2,4235000000,0,4235000000,1.0,0,0,0,0,-4189000000,-4189000000,-4189000000,0,0,48000000,8472000000,2.000472255,8424000000,1.9891381346,-9103000000,-679000000,-0.1603305785,-114000000,-565000000,-0.1334120425,-0.37,-0.37,1544000000,1544000000,https://www.sec.gov/Archives/edgar/data/731766/000104746998031820/0001047469-98-031820-index.html,https://www.sec.gov/Archives/edgar/data/731766/,8888000000,4631000000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
1998-09-30,UNH,USD,0000731766,1998-11-12,1998-11-12 00:00:00,1998,Q3,4360000000,0,4360000000,1.0,0,0,0,0,-4146000000,-4146000000,-4146000000,0,0,43000000,8549000000,1.9607798165,8506000000,1.9509174312,-8292000000,214000000,0.0490825688,79000000,135000000,0.0309633028,0.0838,0.0825,1536000000,1552000000,https://www.sec.gov/Archives/edgar/data/731766/000104746998040415/0001047469-98-040415-index.html,https://www.sec.gov/Archives/edgar/data/731766/,8914000000,4600000000,Healthcare,Medical - Healthcare Plans,NYSE,1984-10-17
