date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,UNM,USD,0000005513,1995-08-14,1995-08-14 00:00:00,1995,Q1,955100000,0,955100000,1.0,0,0,0,0,-805300000,-805300000,327600000,0,64400000,0,149800000,0.1568422155,149800000,0.1568422155,0,370900000,0.3883362999,22000000,63400000,0.0663804837,0.44,0.44,144090909,144090909,https://www.sec.gov/Archives/edgar/data/5513/000095014495002341/0000950144-95-002341-index.html,https://www.sec.gov/Archives/edgar/data/5513/,13416800000,2033100000,Financial Services,Insurance - Life,NYSE,1986-11-06
1995-06-30,UNM,USD,0000005513,1995-08-14,1995-08-14 00:00:00,1995,Q2,1156100000,0,1156100000,1.0,0,0,0,0,-969800000,-969800000,350000000,0,65700000,0,0,0.0,186300000,0.1611452297,0,613200000,0.5304039443,31700000,88900000,0.0768964622,0.61,0.61,145737705,145737705,https://www.sec.gov/Archives/edgar/data/5513/000095014495002346/0000950144-95-002346-index.html,https://www.sec.gov/Archives/edgar/data/5513/,13774800000,2044300000,Financial Services,Insurance - Life,NYSE,1986-11-06
1995-09-30,UNM,USD,0000005513,1995-11-13,1995-11-13 00:00:00,1995,Q3,967600000,0,967600000,1.0,0,0,0,0,-809500000,-809500000,329400000,0,67000000,0,158100000,0.1633939644,158100000,0.1633939644,0,387700000,0.4006821,24400000,66700000,0.0689334436,0.46,0.46,145000000,145000000,https://www.sec.gov/Archives/edgar/data/5513/000095014495003149/0000950144-95-003149-index.html,https://www.sec.gov/Archives/edgar/data/5513/,14088500000,2099600000,Financial Services,Insurance - Life,NYSE,1986-11-06
1995-12-31,UNM,USD,0000005513,1995-12-31,1995-12-31 00:00:00,1995,Q4,1044100000,0,1044100000,1.0,0,0,0,0,-891800000,-891800000,355700000,0,67500000,0,152300000,0.1458672541,152300000,0.1458672541,0,379400000,0.3633751556,22700000,62100000,0.0594770616,0.42,0.42,147142857,147142857,,,14787800000,2302900000,Financial Services,Insurance - Life,NYSE,1986-11-06
1996-03-31,UNM,USD,0000005513,1996-03-31,1996-03-31 00:00:00,1996,Q1,1002600000,0,1002600000,1.0,0,0,0,0,-838200000,-838200000,335600000,0,61700000,0,164400000,0.1639736685,164400000,0.1639736685,0,397700000,0.3966686615,30600000,72100000,0.0719130261,0.49,0.49,147142857,147142857,,,14746500000,2251500000,Financial Services,Insurance - Life,NYSE,1986-11-06
1996-06-30,UNM,USD,0000005513,1996-06-30,1996-06-30 00:00:00,1996,Q2,989300000,0,989300000,1.0,0,0,0,0,-822900000,-822900000,349900000,0,60400000,0,0,0.0,166400000,0.1681997372,0,394600000,0.3988678864,32100000,73900000,0.0746992823,0.5,0.5,147800000,147800000,,,14869500000,2292500000,Financial Services,Insurance - Life,NYSE,1986-11-06
1996-09-30,UNM,USD,0000005513,1996-09-30,1996-09-30 00:00:00,1996,Q3,1023900000,0,1023900000,1.0,0,0,0,0,-900400000,-900400000,366300000,0,60100000,0,123500000,0.1206172478,123500000,0.1206172478,0,350600000,0.3424162516,19300000,44000000,0.0429729466,0.3,0.3,146666667,146666667,,,15152100000,2286300000,Financial Services,Insurance - Life,NYSE,1986-11-06
1996-12-31,UNM,USD,0000005513,1997-03-26,1997-03-26 00:00:00,1996,Q4,-723900000,0,-723900000,1.0,0,0,0,0,678100000,678100000,1013800000,0,0,0,-45800000,0.0632684072,-45800000,0.0632684072,1628200000,226200000,-0.3124740986,-1400000,-44400000,0.0613344385,-0.31,-0.31,142529945,144558205,https://www.sec.gov/Archives/edgar/data/5513/000093176397000370/0000931763-97-000370-index.html,https://www.sec.gov/Archives/edgar/data/5513/,14992500000,1738600000,Financial Services,Insurance - Life,NYSE,1986-11-06
1997-03-31,UNM,USD,0000005513,1997-05-15,1997-05-15 00:00:00,1997,Q1,1043000000,0,1043000000,1.0,0,0,0,0,-827700000,-827700000,316100000,0,43600000,0,0,0.0,215300000,0.2064237776,0,492000000,0.4717162033,56700000,115000000,0.1102588686,0.81,0.8,142529945,144558205,https://www.sec.gov/Archives/edgar/data/5513/000093176397000855/0000931763-97-000855-index.html,https://www.sec.gov/Archives/edgar/data/5513/,12838400000,2128400000,Financial Services,Insurance - Life,NYSE,1986-11-06
1997-06-30,UNM,USD,0000005513,1997-08-14,1997-08-14 00:00:00,1997,Q2,974500000,0,974500000,1.0,0,0,0,0,-818600000,-818600000,310200000,0,29500000,0,0,0.0,155900000,0.1599794767,0,361700000,0.3711646998,38800000,87600000,0.0898922524,0.63,0.62,139047619,141290323,https://www.sec.gov/Archives/edgar/data/5513/000093176397001403/0000931763-97-001403-index.html,https://www.sec.gov/Archives/edgar/data/5513/,12737800000,2240300000,Financial Services,Insurance - Life,NYSE,1986-11-06
