date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,UNP,USD,0000100885,1995-05-15,1995-05-15 00:00:00,1995,Q1,1978000000,852000000,1126000000,0.5692618807,0,201000000,0,201000000,532000000,733000000,1585000000,0,0,-248000000,599000000,0.3028311426,288000000,0.1456016178,-105000000,288000000,0.1456016178,97000000,191000000,0.096562184,0.23,0.23,821505376,821505376,https://www.sec.gov/Archives/edgar/data/100885/000010088595000012/0000100885-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/100885/,15616000000,5204000000,Industrials,Railroads,NYSE,1980-01-02
1995-06-30,UNP,USD,0000100885,1995-08-14,1995-08-14 00:00:00,1995,Q2,1874000000,826000000,1048000000,0.5592315902,0,202000000,0,202000000,389000000,591000000,1417000000,0,74000000,-49000000,594000000,0.3169690502,298000000,0.159018143,-233000000,224000000,0.1195304162,74000000,224000000,0.1195304162,0.27,0.27,822018349,822018349,https://www.sec.gov/Archives/edgar/data/100885/000010088595000017/0000100885-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/100885/,17570000000,5350000000,Industrials,Railroads,NYSE,1980-01-02
1995-09-30,UNP,USD,0000100885,1995-11-09,1995-11-09 00:00:00,1995,Q3,1974000000,897000000,1077000000,0.5455927052,0,226000000,0,226000000,433000000,659000000,1556000000,0,77000000,-172000000,555000000,0.2811550152,338000000,0.1712259372,-157000000,261000000,0.132218845,101000000,237000000,0.1200607903,0.29,0.29,824347826,824347826,https://www.sec.gov/Archives/edgar/data/100885/000010088595000029/0000100885-95-000029-index.html,https://www.sec.gov/Archives/edgar/data/100885/,18702000000,5514000000,Industrials,Railroads,NYSE,1980-01-02
1995-12-31,UNP,USD,0000100885,1996-03-26,1996-03-26 00:00:00,1995,Q4,1974000000,-757000000,2731000000,1.383485309,0,2205000000,0,2205000000,-531000000,1674000000,917000000,0,115000000,1111000000,2273000000,1.1514690983,356000000,0.1803444782,-816000000,241000000,0.1220871327,62000000,294000000,0.1489361702,0.36,0.36,808051675,821052632,https://www.sec.gov/Archives/edgar/data/100885/000095010996001749/0000950109-96-001749-index.html,https://www.sec.gov/Archives/edgar/data/100885/,19446000000,6364000000,Industrials,Railroads,NYSE,1980-01-02
1996-03-31,UNP,USD,0000100885,1996-05-15,1996-05-15 00:00:00,1996,Q1,1968000000,985000000,983000000,0.4994918699,0,255000000,0,255000000,422000000,677000000,1662000000,0,49000000,-172000000,460000000,0.2337398374,187000000,0.0950203252,-168000000,138000000,0.0701219512,31000000,156000000,0.0792682927,0.19,0.19,821052632,821052632,https://www.sec.gov/Archives/edgar/data/100885/000010088596000006/0000100885-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/100885/,19609000000,6436000000,Industrials,Railroads,NYSE,1980-01-02
1996-06-30,UNP,USD,0000100885,1996-08-09,1996-08-09 00:00:00,1996,Q2,2012000000,919000000,1093000000,0.5432405567,0,235000000,0,235000000,375000000,610000000,1529000000,0,58000000,-174000000,625000000,0.3106361829,342000000,0.1699801193,-199000000,284000000,0.1411530815,98000000,244000000,0.1212723658,0.3,0.3,820168067,827118644,https://www.sec.gov/Archives/edgar/data/100885/000010088596000008/0000100885-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/100885/,19749000000,6596000000,Industrials,Railroads,NYSE,1980-01-02
1996-09-30,UNP,USD,0000100885,1996-11-13,1996-11-13 00:00:00,1996,Q3,1996000000,899000000,1097000000,0.5495991984,0,232000000,0,232000000,383000000,615000000,1514000000,0,64000000,-170000000,600000000,0.3006012024,396000000,0.1983967936,-150000000,332000000,0.1663326653,121000000,275000000,0.1377755511,0.33,0.32,846153846,852713178,https://www.sec.gov/Archives/edgar/data/100885/000010088596000020/0000100885-96-000020-index.html,https://www.sec.gov/Archives/edgar/data/100885/,29307000000,8025000000,Industrials,Railroads,NYSE,1980-01-02
1996-12-31,UNP,USD,0000100885,1997-03-28,1997-03-28 00:00:00,1996,Q4,2810000000,-168000000,2978000000,1.0597864769,0,2536000000,0,2536000000,-418000000,2118000000,1950000000,0,0,1278000000,2240000000,0.7971530249,359000000,0.1277580071,-501000000,359000000,0.1277580071,130000000,229000000,0.0814946619,0.23,0.23,974892308,984615385,https://www.sec.gov/Archives/edgar/data/100885/000010088597000002/0000100885-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/100885/,27914000000,8225000000,Industrials,Railroads,NYSE,1980-01-02
1997-03-31,UNP,USD,0000100885,1997-05-13,1997-05-13 00:00:00,1997,Q1,2810000000,1503000000,1307000000,0.4651245552,0,350000000,0,350000000,464000000,814000000,2317000000,0,0,-258000000,713000000,0.2537366548,205000000,0.0729537367,-288000000,205000000,0.0729537367,77000000,128000000,0.0455516014,0.13,0.13,984615385,984615385,https://www.sec.gov/Archives/edgar/data/100885/000010088597000003/0000100885-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/100885/,28186000000,8239000000,Industrials,Railroads,NYSE,1980-01-02
1997-06-30,UNP,USD,0000100885,1997-08-05,1997-08-05 00:00:00,1997,Q2,2883000000,1401000000,1482000000,0.5140478668,0,343000000,0,343000000,453000000,796000000,2197000000,0,0,-261000000,716000000,0.2483524107,348000000,0.1207075963,-127000000,348000000,0.1207075963,132000000,216000000,0.0749219563,0.22,0.22,981818182,993103448,https://www.sec.gov/Archives/edgar/data/100885/000010088597000005/0000100885-97-000005-index.html,https://www.sec.gov/Archives/edgar/data/100885/,28751000000,8358000000,Industrials,Railroads,NYSE,1980-01-02
