date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-02-28,WBA,USD,0001618921,1995-02-28,1995-02-28 00:00:00,1995,Q2,2807000000,2009100000,797900000,0.2842536516,0,0,0,616500000,0,616500000,2625600000,0,0,0,180400000,0.0642679017,181400000,0.0646241539,800000,182200000,0.0649091557,70600000,111600000,0.0397577485,0.11,0.11,984568000,984568000,,,3032200000,1689700000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1995-05-31,WBA,USD,0001618921,1995-05-31,1995-05-31 00:00:00,1995,Q3,2617400000,1888200000,729200000,0.2785970811,0,0,0,601500000,0,601500000,2489700000,0,0,0,126200000,0.0482157867,127700000,0.0487888745,1300000,129000000,0.0492855505,50000000,79000000,0.030182624,0.0798,0.0798,989608000,989608000,,,3157700000,1743700000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1995-08-31,WBA,USD,0001618921,1995-08-31,1995-08-31 00:00:00,1995,Q4,2565200000,1712700000,852500000,0.3323327616,0,0,0,597800000,131500000,729300000,2442000000,0,0,0,121600000,0.0474037112,123200000,0.0480274443,1400000,124600000,0.0485732107,48300000,76300000,0.0297442695,0.077,0.077,984564000,984564000,,,3252600000,1792600000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1995-11-30,WBA,USD,0001618921,1995-11-30,1995-11-30 00:00:00,1996,Q1,2692800000,1953800000,739000000,0.2744355318,0,0,0,635200000,0,635200000,2589000000,0,0,0,102800000,0.0381758764,103800000,0.0385472371,200000,104000000,0.0386215092,40300000,63700000,0.0236556744,0.0647,0.0647,984564000,984564000,,,3511600000,1828500000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1996-02-29,WBA,USD,0001618921,1996-02-29,1996-02-29 00:00:00,1996,Q2,3179100000,2289800000,889300000,0.2797332578,0,0,0,682900000,0,682900000,2972700000,0,0,0,205200000,0.0645465698,206400000,0.0649240351,600000,207000000,0.0651127678,80200000,126800000,0.0398855022,0.13,0.13,984564000,984564000,,,3534300000,1922300000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1996-05-31,WBA,USD,0001618921,1996-05-31,1996-05-31 00:00:00,1996,Q3,2988800000,2165600000,823200000,0.2754282655,0,0,0,674900000,0,674900000,2840500000,0,0,0,146700000,0.0490832441,148300000,0.049618576,1200000,149500000,0.0500200749,57900000,91600000,0.0306477516,0.093,0.093,984564000,984564000,,,3504300000,1986400000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1996-08-31,WBA,USD,0001618921,1996-08-31,1996-08-31 00:00:00,1996,Q4,2917700000,1958300000,959400000,0.3288206464,0,0,0,666500000,147300000,813800000,2772100000,0,0,0,144400000,0.0494910375,145600000,0.0499023203,900000,146500000,0.0502107825,56800000,89700000,0.0307433938,0.091,0.091,984564000,984564000,,,3633600000,2043100000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1996-11-30,WBA,USD,0001618921,1996-11-30,1996-11-30 00:00:00,1997,Q1,3054000000,2224000000,830000000,0.2717747217,0,0,0,707700000,0,707700000,2931700000,0,0,0,121500000,0.03978389,122300000,0.0400458415,200000,122500000,0.0401113294,47500000,75000000,0.0245579568,0.0762,0.0762,984564000,984564000,,,3949400000,2082200000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1997-02-28,WBA,USD,0001618921,1997-02-28,1997-02-28 00:00:00,1997,Q2,3602600000,2596500000,1006100000,0.2792705268,0,0,0,766600000,0,766600000,3363100000,0,0,0,237700000,0.0659801255,239500000,0.0664797646,1200000,240700000,0.0668128574,93300000,147400000,0.0409148948,0.15,0.15,984564000,984564000,,,3911300000,2197900000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1997-05-31,WBA,USD,0001618921,1997-05-31,1997-05-31 00:00:00,1997,Q3,3403300000,2470600000,932700000,0.2740575324,0,0,0,757400000,0,757400000,3228000000,0,0,0,173700000,0.0510386977,175300000,0.0515088297,1200000,176500000,0.0518614286,68400000,108100000,0.0317632886,0.11,0.11,984564000,984564000,,,3994000000,2271100000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1997-08-31,WBA,USD,0001618921,1997-08-31,1997-08-31 00:00:00,1997,Q4,3303100000,2226800000,1076300000,0.3258454179,0,0,0,741300000,164000000,905300000,3132100000,0,0,0,169300000,0.0512548818,171000000,0.0517695498,1300000,172300000,0.0521631195,66900000,105400000,0.0319094184,0.11,0.11,993290000,1000590000,,,4207000000,2373000000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1997-11-30,WBA,USD,0001618921,1997-11-30,1997-11-30 00:00:00,1998,Q1,3485000000,2541000000,944000000,0.2708751793,0,0,0,801000000,0,801000000,3342000000,0,0,0,143000000,0.0410329986,143000000,0.0410329986,0,143000000,0.0410329986,56000000,61000000,0.0175035868,0.0614,0.061,993290000,1000590000,,,4453000000,2427000000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1998-02-28,WBA,USD,0001618921,1998-02-28,1998-02-28 00:00:00,1998,Q2,4093400000,2960700000,1132700000,0.2767137343,0,0,0,854200000,0,854200000,3814900000,0,0,0,279000000,0.068158499,279000000,0.068158499,0,279000000,0.068158499,108000000,171000000,0.0417745639,0.17,0.17,993290000,1000590000,,,4502000000,2592000000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1998-05-31,WBA,USD,0001618921,1998-05-31,1998-05-31 00:00:00,1998,Q3,3887500000,2840800000,1046700000,0.2692475884,0,0,0,842700000,0,842700000,3683500000,0,0,0,204000000,0.0524758842,204000000,0.0524758842,2000000,206000000,0.0529903537,79000000,127000000,0.0326688103,0.13,0.13,993290000,1000590000,,,4580000000,2702000000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1998-08-31,WBA,USD,0001618921,1998-08-31,1998-08-31 00:00:00,1998,Q4,3841000000,2609000000,1232000000,0.3207498047,0,0,0,834000000,189000000,1023000000,3632000000,0,0,0,209000000,0.0544129133,209000000,0.0544129133,40000000,249000000,0.064826868,97000000,152000000,0.0395730279,0.15,0.15,993290000,1000590000,,,4902000000,2849000000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1998-11-30,WBA,USD,0001618921,1998-11-30,1998-11-30 00:00:00,1999,Q1,4016400000,2941700000,1074700000,0.2675779305,0,0,0,906000000,0,906000000,3847700000,0,0,0,170000000,0.0423264615,170000000,0.0423264615,1000000,171000000,0.0425754407,67000000,104000000,0.0258938353,0.1,0.1,993290000,1000590000,,,5240000000,2942000000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1999-02-28,WBA,USD,0001618921,1999-02-28,1999-02-28 00:00:00,1999,Q2,4691000000,3392400000,1298600000,0.2768279685,0,0,0,968600000,0,968600000,4361000000,0,0,0,330000000,0.0703474739,330000000,0.0703474739,1000000,331000000,0.070560648,130800000,200200000,0.0426774675,0.2,0.2,999000000,1013600000,,,5412600000,3143300000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1999-05-31,WBA,USD,0001618921,1999-05-31,1999-05-31 00:00:00,1999,Q3,4571400000,3330700000,1240700000,0.2714048213,0,0,0,984400000,0,984400000,4315100000,0,0,0,256300000,0.0560659754,256300000,0.0560659754,5900000,262200000,0.0573566085,102900000,159300000,0.0348470928,0.16,0.16,1001700000,1015600000,,,5592400000,3338300000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1999-08-31,WBA,USD,0001618921,1999-08-31,1999-08-31 00:00:00,1999,Q4,4560000000,3103700000,1456300000,0.3193640351,0,0,0,985800000,210100000,1195900000,4299600000,0,0,0,260400000,0.0571052632,260400000,0.0571052632,3900000,264300000,0.0579605263,103700000,160600000,0.0352192982,0.16,0.16,1004700000,1017500000,,,5906700000,3484300000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
1999-11-30,WBA,USD,0001618921,1999-11-30,1999-11-30 00:00:00,2000,Q1,4823200000,3551000000,1272200000,0.2637667938,0,0,0,1062000000,0,1062000000,4613000000,0,0,0,210200000,0.043581025,210200000,0.043581025,1100000,211300000,0.0438090894,83500000,127800000,0.0264969315,0.13,0.13,1004700000,1017500000,,,6472400000,3601200000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2000-02-29,WBA,USD,0001618921,2000-02-29,2000-02-29 00:00:00,2000,Q2,5608800000,4065300000,1543500000,0.2751925546,0,0,0,1152300000,0,1152300000,5217600000,0,0,0,391200000,0.0697475396,391200000,0.0697475396,1100000,392300000,0.06994366,153400000,238900000,0.0425937812,0.23,0.23,1006400000,1019400000,,,6414700000,3835600000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2000-05-31,WBA,USD,0001618921,2000-05-31,2000-05-31 00:00:00,2000,Q3,5394100000,3943100000,1451000000,0.2689976085,0,0,0,1138200000,0,1138200000,5081300000,0,0,0,312800000,0.0579892846,312800000,0.0579892846,2100000,314900000,0.0583785988,121300000,193600000,0.0358910662,0.2,0.19,1008300000,1020300000,,,6630600000,4028400000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2000-08-31,WBA,USD,0001618921,2000-08-31,2000-08-31 00:00:00,2000,Q4,5380800000,3676400000,1704400000,0.3167558727,0,0,0,1164400000,230100000,1394500000,5070900000,0,0,0,309900000,0.0575936664,309900000,0.0575936664,34900000,344800000,0.0640796908,128200000,216600000,0.0402542373,0.21,0.21,1012400000,1026200000,,,7103700000,4234000000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2000-11-30,WBA,USD,0001618921,2000-11-30,2000-11-30 00:00:00,2001,Q1,5614200000,4126100000,1488100000,0.2650600264,0,0,0,1230500000,0,1230500000,5356600000,0,0,0,257600000,0.0458836522,257600000,0.0458836522,0,257600000,0.0458836522,99200000,158400000,0.0282141712,0.16,0.15,1012400000,1026200000,,,7911200000,4434700000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2001-02-28,WBA,USD,0001618921,2001-02-28,2001-02-28 00:00:00,2001,Q2,6429000000,4658200000,1770800000,0.2754394152,0,0,0,1313900000,0,1313900000,5972100000,0,0,0,434800000,0.0676310468,456900000,0.0710685954,22900000,479800000,0.0746305802,182900000,296900000,0.0461813657,0.29,0.29,1015800000,1029500000,,,8175900000,4797700000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2001-05-31,WBA,USD,0001618921,2001-05-31,2001-05-31 00:00:00,2001,Q3,6296200000,4644600000,1651600000,0.2623169531,0,0,0,1306100000,0,1306100000,5950700000,0,0,0,345500000,0.0548743687,345500000,0.0548743687,0,345500000,0.0548743687,132100000,213400000,0.0338934595,0.21,0.21,1018000000,1030900000,,,8446400000,5005100000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2001-08-31,WBA,USD,0001618921,2001-08-31,2001-08-31 00:00:00,2001,Q4,6283600000,4620000000,1663600000,0.2647526895,0,0,0,1325300000,0,1325300000,5945300000,0,0,0,338300000,0.0538385639,338300000,0.0538385639,1500000,339800000,0.0540772805,122900000,216900000,0.0345184289,0.21,0.21,1020100000,1029900000,,,8833800000,5207200000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2001-11-30,WBA,USD,0001618921,2001-11-30,2001-11-30 00:00:00,2002,Q1,6559400000,4861500000,1697900000,0.2588498948,0,0,0,1405900000,0,1405900000,6267400000,0,0,0,286500000,0.0436777754,292000000,0.0445162667,6700000,298700000,0.0455377016,112800000,185900000,0.0283410068,0.18,0.18,1020100000,1029900000,,,9696700000,5429600000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2002-02-28,WBA,USD,0001618921,2002-02-28,2002-02-28 00:00:00,2002,Q2,7488500000,5454600000,2033900000,0.2716031248,0,0,0,1510500000,0,1510500000,6965100000,0,0,0,523400000,0.0698938372,523400000,0.0698938372,1200000,524600000,0.0700540829,198000000,326600000,0.0436135408,0.32,0.32,1022100000,1031800000,,,9180000000,5760600000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2002-05-31,WBA,USD,0001618921,2002-05-31,2002-05-31 00:00:00,2002,Q3,7397900000,5460700000,1937200000,0.2618580949,0,0,0,1523100000,0,1523100000,6983800000,0,0,0,414100000,0.0559753444,414100000,0.0559753444,1900000,416000000,0.056232174,157000000,259000000,0.0350099353,0.25,0.25,1023600000,1033900000,,,9456000000,6007600000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2002-08-31,WBA,USD,0001618921,2002-08-31,2002-08-31 00:00:00,2002,Q4,7235300000,5299300000,1936000000,0.2675770182,0,0,0,1541300000,0,1541300000,6840600000,0,0,0,394000000,0.0544552403,394700000,0.0545519882,3300000,398000000,0.0550080854,150300000,247700000,0.0342349315,0.24,0.24,1024900000,1032400000,,,9878800000,6230200000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2002-11-30,WBA,USD,0001618921,2002-11-30,2002-11-30 00:00:00,2003,Q1,7484900000,5489200000,1995700000,0.2666301487,0,0,0,1643000000,0,1643000000,7132200000,0,0,0,336000000,0.0448903793,352700000,0.047121538,19300000,372000000,0.0497000628,140400000,231600000,0.0309422972,0.23,0.22,1024900000,1032400000,,,10368000000,6400000000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
2003-02-28,WBA,USD,0001618921,2003-02-28,2003-02-28 00:00:00,2003,Q2,8446100000,6098000000,2348100000,0.2780099691,0,0,0,1754900000,0,1754900000,7852900000,0,0,0,592900000,0.0701980796,593200000,0.0702335989,2600000,595800000,0.0705414333,224900000,370900000,0.043913759,0.36,0.36,1024900000,1031000000,,,10751300000,6723500000,Healthcare,Medical - Pharmaceuticals,NASDAQ,1980-03-17
