date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-01-31,WMT,USD,0000104169,1995-04-27,1995-04-27 00:00:00,1995,Q4,25365800000,20117900000,5247900000,0.206888803,0,0,0,3502400000,-757200000,3663200000,23781200000,0,0,312800000,2815500000,0.1109959079,1584700000,0.0624738822,72600000,1657300000,0.0653360036,627700000,1029600000,0.0405900859,0.075,0.075,13782000000,13782000000,https://www.sec.gov/Archives/edgar/data/104169/000010416995000004/0000104169-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/104169/,32819000000,12726000000,Consumer Defensive,Discount Stores,NYSE,1972-08-25
1995-04-30,WMT,USD,0000104169,1995-06-09,1995-06-09 00:00:00,1996,Q1,20652000000,16196000000,4456000000,0.2157660275,0,0,0,3377000000,0,3589000000,19785000000,0,200000000,276000000,1355000000,0.0656110788,867000000,0.0419814062,12000000,879000000,0.0425624637,326000000,553000000,0.0267770676,0.04,0.04,13782000000,13782000000,https://www.sec.gov/Archives/edgar/data/104169/000010416995000005/0000104169-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/104169/,34382000000,13116000000,Consumer Defensive,Discount Stores,NYSE,1972-08-25
1995-07-31,WMT,USD,0000104169,1995-09-11,1995-09-11 00:00:00,1996,Q2,23007000000,18095000000,4912000000,0.2135002391,0,0,0,3693000000,0,3977000000,22072000000,0,212000000,328000000,1547000000,0.0672404051,935000000,0.0406398053,72000000,1007000000,0.0437692876,374000000,633000000,0.0275133655,0.046,0.046,13776000000,13776000000,https://www.sec.gov/Archives/edgar/data/104169/000010416995000006/0000104169-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/104169/,35318000000,13380000000,Consumer Defensive,Discount Stores,NYSE,1972-08-25
1995-10-31,WMT,USD,0000104169,1995-12-05,1995-12-05 00:00:00,1996,Q3,23181000000,18176000000,5005000000,0.2159095811,0,0,0,3801000000,0,4069000000,22245000000,0,231000000,334000000,1538000000,0.0663474397,936000000,0.0403778957,37000000,973000000,0.0419740305,361000000,612000000,0.0264009318,0.044,0.044,13776000000,13776000000,https://www.sec.gov/Archives/edgar/data/104169/000010416995000007/0000104169-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/104169/,40018000000,14091000000,Consumer Defensive,Discount Stores,NYSE,1972-08-25
1996-01-31,WMT,USD,0000104169,1996-04-23,1996-04-23 00:00:00,1996,Q4,27909000000,22097000000,5812000000,0.2082482353,0,0,0,4080000000,0,4439000000,26536000000,0,245000000,366000000,2098000000,0.0751728833,1373000000,0.0491956,114000000,1487000000,0.0532803038,545000000,942000000,0.0337525529,0.068,0.068,13758000000,13758000000,https://www.sec.gov/Archives/edgar/data/104169/000010416996000002/0000104169-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/104169/,37541000000,14756000000,Consumer Defensive,Discount Stores,NYSE,1972-08-25
1996-04-30,WMT,USD,0000104169,1996-06-12,1996-06-12 00:00:00,1997,Q1,23001000000,18064000000,4937000000,0.2146428416,0,0,0,3810000000,0,4077000000,22109000000,0,220000000,348000000,1475000000,0.0641276466,898000000,0.0390417808,9000000,907000000,0.0394330681,336000000,571000000,0.0248250076,0.0417,0.0417,13758000000,13758000000,https://www.sec.gov/Archives/edgar/data/104169/000010416996000006/0000104169-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/104169/,38249000000,15216000000,Consumer Defensive,Discount Stores,NYSE,1972-08-25
1996-07-31,WMT,USD,0000104169,1996-09-10,1996-09-10 00:00:00,1997,Q2,25844000000,20376000000,5468000000,0.2115771552,0,0,0,4130000000,0,4437000000,24773000000,0,218000000,359000000,1697000000,0.06566321,1081000000,0.0418278904,39000000,1120000000,0.0433369447,414000000,706000000,0.0273177527,0.051,0.051,13764000000,13764000000,https://www.sec.gov/Archives/edgar/data/104169/000010416996000007/0000104169-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/104169/,38898000000,15791000000,Consumer Defensive,Discount Stores,NYSE,1972-08-25
1996-10-31,WMT,USD,0000104169,1996-12-12,1996-12-12 00:00:00,1997,Q3,26077000000,20450000000,5627000000,0.2157840242,0,0,0,4329000000,0,4797000000,25213000000,0,212000000,354000000,1651000000,0.0633124976,865000000,0.0331709936,220000000,1086000000,0.0416458948,402000000,684000000,0.0262300111,0.05,0.05,13764000000,13764000000,https://www.sec.gov/Archives/edgar/data/104169/000010416996000008/0000104169-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/104169/,42207000000,16381000000,Consumer Defensive,Discount Stores,NYSE,1972-08-25
1997-01-31,WMT,USD,0000104169,1997-04-21,1997-04-21 00:00:00,1997,Q4,31223000000,24772000000,6451000000,0.2066105115,0,0,0,4519000000,0,4886000000,29658000000,0,195000000,402000000,2334000000,0.0747525862,1565000000,0.0501233065,172000000,1737000000,0.0556320661,642000000,1095000000,0.0350703007,0.08,0.08,13656000000,13656000000,https://www.sec.gov/Archives/edgar/data/104169/000010416997000003/0000104169-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/104169/,39604000000,17143000000,Consumer Defensive,Discount Stores,NYSE,1972-08-25
1997-04-30,WMT,USD,0000104169,1997-06-10,1997-06-10 00:00:00,1998,Q1,25684000000,20127000000,5557000000,0.21636038,0,0,0,4333000000,0,4619000000,24746000000,0,189000000,366000000,1601000000,0.0623345273,949000000,0.0369490734,97000000,1046000000,0.0407257437,383000000,652000000,0.025385454,0.048,0.048,13656000000,13686000000,https://www.sec.gov/Archives/edgar/data/104169/000010416997000004/0000104169-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/104169/,39777000000,16982000000,Consumer Defensive,Discount Stores,NYSE,1972-08-25
