date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-26,WY,USD,0000106535,1995-05-08,1995-05-08 00:00:00,1995,Q1,2745000000,1941000000,804000000,0.2928961749,0,0,0,202000000,183000000,385000000,2326000000,0,0,138000000,557000000,0.2029143898,419000000,0.1526411658,-91000000,328000000,0.1194899818,121000000,207000000,0.0754098361,0.4,0.4,517500000,517500000,https://www.sec.gov/Archives/edgar/data/106535/000010653595000005/0000106535-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/106535/,13478000000,4433000000,Real Estate,REIT - Specialty,NYSE,1973-05-03
1995-06-25,WY,USD,0000106535,1995-08-09,1995-08-09 00:00:00,1995,Q2,3074000000,2186000000,888000000,0.2888744307,0,0,0,225000000,191000000,416000000,2602000000,0,0,148000000,620000000,0.201691607,472000000,0.1535458686,-86000000,386000000,0.1255692908,140000000,246000000,0.0800260247,0.48,0.48,508264463,508264463,https://www.sec.gov/Archives/edgar/data/106535/000010653595000021/0000106535-95-000021-index.html,https://www.sec.gov/Archives/edgar/data/106535/,13453000000,4514000000,Real Estate,REIT - Specialty,NYSE,1973-05-03
1995-09-24,WY,USD,0000106535,1995-11-03,1995-11-03 00:00:00,1995,Q3,3112000000,2170000000,942000000,0.3026992288,0,0,0,242000000,166000000,408000000,2578000000,0,0,135000000,669000000,0.2149742931,534000000,0.1715938303,-385000000,149000000,0.0478791774,54000000,95000000,0.0305269923,0.19,0.19,505319149,505319149,https://www.sec.gov/Archives/edgar/data/106535/000010653595000025/0000106535-95-000025-index.html,https://www.sec.gov/Archives/edgar/data/106535/,13338000000,4466000000,Real Estate,REIT - Specialty,NYSE,1973-05-03
1995-12-31,WY,USD,0000106535,1996-03-15,1996-03-15 00:00:00,1995,Q4,2857000000,1900000000,957000000,0.3349667483,0,0,0,245000000,244000000,489000000,2389000000,0,0,200000000,668000000,0.2338116906,468000000,0.1638081904,-87100000,380900000,0.1333216661,130000000,250900000,0.087819391,0.5,0.5,499216940,511287313,https://www.sec.gov/Archives/edgar/data/106535/000010653596000008/0000106535-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/106535/,13253000000,4486000000,Real Estate,REIT - Specialty,NYSE,1973-05-03
1996-03-31,WY,USD,0000106535,1996-05-10,1996-05-10 00:00:00,1996,Q1,2605000000,1903000000,702000000,0.2694817658,0,0,0,229000000,186000000,415000000,2318000000,0,0,147000000,434000000,0.1666026871,287000000,0.1101727447,-65000000,222000000,0.0852207294,80000000,142000000,0.0545105566,0.29,0.28,493055556,500000000,https://www.sec.gov/Archives/edgar/data/106535/000010653596000012/0000106535-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/106535/,13715000000,4524000000,Real Estate,REIT - Specialty,NYSE,1973-05-03
1996-06-30,WY,USD,0000106535,1996-08-09,1996-08-09 00:00:00,1996,Q2,2886000000,2208000000,678000000,0.2349272349,0,0,0,224000000,192000000,416000000,2624000000,0,0,150000000,412000000,0.1427581428,262000000,0.0907830908,-101000000,161000000,0.0557865558,58000000,103000000,0.0356895357,0.21,0.21,495192308,495192308,https://www.sec.gov/Archives/edgar/data/106535/000010653596000018/0000106535-96-000018-index.html,https://www.sec.gov/Archives/edgar/data/106535/,13774000000,4558000000,Real Estate,REIT - Specialty,NYSE,1973-05-03
1996-09-29,WY,USD,0000106535,1996-11-04,1996-11-04 00:00:00,1996,Q3,2852000000,2143000000,709000000,0.2485974755,0,0,0,232000000,191000000,423000000,2566000000,0,0,152000000,438000000,0.1535764376,286000000,0.1002805049,-99000000,187000000,0.0655680224,67000000,120000000,0.0420757363,0.24,0.24,500000000,500000000,https://www.sec.gov/Archives/edgar/data/106535/000010653596000039/0000106535-96-000039-index.html,https://www.sec.gov/Archives/edgar/data/106535/,13679000000,4588000000,Real Estate,REIT - Specialty,NYSE,1973-05-03
1996-12-31,WY,USD,0000106535,1997-03-14,1997-03-14 00:00:00,1996,Q4,2771000000,2082000000,689000000,0.2486466979,0,0,0,247000000,210000000,457000000,2539000000,0,0,168000000,400000000,0.1443522194,232000000,0.0837242873,-81900000,150100000,0.0541681703,52000000,98100000,0.0354023818,0.2,0.2,491268348,491632660,https://www.sec.gov/Archives/edgar/data/106535/000010653597000007/0000106535-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/106535/,13596000000,4604000000,Real Estate,REIT - Specialty,NYSE,1973-05-03
1997-03-30,WY,USD,0000106535,1997-05-09,1997-05-09 00:00:00,1997,Q1,2608000000,2041000000,567000000,0.2174079755,13000000,0,0,197000000,204000000,414000000,2455000000,0,0,165000000,318000000,0.1219325153,153000000,0.0586656442,-120000000,33000000,0.0126533742,12000000,21000000,0.0080521472,0.04,0.04,525000000,525000000,https://www.sec.gov/Archives/edgar/data/106535/000010653597000011/0000106535-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/106535/,13674000000,4546000000,Real Estate,REIT - Specialty,NYSE,1973-05-03
1997-06-29,WY,USD,0000106535,1997-08-11,1997-08-11 00:00:00,1997,Q2,2909000000,2248000000,661000000,0.2272258508,15000000,0,0,220000000,199000000,434000000,2682000000,0,0,159000000,386000000,0.1326916466,227000000,0.0780336886,-55000000,172000000,0.0591268477,63000000,109000000,0.0374699209,0.22,0.22,486607143,495454545,https://www.sec.gov/Archives/edgar/data/106535/000010653597000025/0000106535-97-000025-index.html,https://www.sec.gov/Archives/edgar/data/106535/,13001000000,4583000000,Real Estate,REIT - Specialty,NYSE,1973-05-03
