date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,XEL,USD,0000072903,1995-05-15,1995-05-15 00:00:00,1995,Q1,661200000,234500000,426700000,0.6453418028,0,0,0,43700000,295200000,338900000,573400000,0,0,92900000,180100000,0.2723835451,87800000,0.1327888687,-600000,87200000,0.1318814277,19000000,65000000,0.0983061101,0.49,0.49,132653061,132653061,https://www.sec.gov/Archives/edgar/data/72903/000007290395000007/0000072903-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/72903/,5914400000,2160600000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1995-06-30,XEL,USD,0000072903,1995-08-03,1995-08-03 00:00:00,1995,Q2,589700000,189400000,400300000,0.6788197389,0,0,0,39700000,292400000,332100000,521500000,0,0,77500000,158800000,0.2692894692,68200000,0.1156520265,13100000,81300000,0.1378667119,21500000,56700000,0.096150585,0.42,0.42,135000000,135000000,https://www.sec.gov/Archives/edgar/data/72903/000007290395000011/0000072903-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/72903/,6003900000,2184200000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1995-09-30,XEL,USD,0000072903,1996-01-04,1996-01-04 00:00:00,1995,Q3,664900000,187600000,477300000,0.7178523086,0,0,0,45300000,320300000,365600000,553200000,0,0,97100000,206700000,0.3108738156,111700000,0.1679951872,-2100000,109600000,0.1648368176,20800000,85700000,0.1288915626,0.64,0.64,133906250,133906250,https://www.sec.gov/Archives/edgar/data/72903/000007290396000001/0000072903-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/72903/,6073300000,2243600000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1995-12-31,XEL,USD,0000072903,1996-03-29,1996-03-29 00:00:00,1995,Q4,652800000,215600000,437200000,0.6697303922,0,0,0,57300000,154200000,211500000,427100000,0,0,112600000,319900000,0.4900428922,225700000,0.3457414216,-18400000,207300000,0.3175551471,148300000,56000000,0.0857843137,0.43,0.43,136131666,136382979,https://www.sec.gov/Archives/edgar/data/72903/000007290396000005/0000072903-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/72903/,6228600000,2267900000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1996-03-31,XEL,USD,0000072903,1996-05-15,1996-05-15 00:00:00,1996,Q1,718700000,271800000,446900000,0.6218171699,0,0,0,34900000,322700000,357600000,629400000,0,0,94600000,180500000,0.2511479059,89300000,0.1242521219,-26100000,63200000,0.0879365521,-4000000,64100000,0.0891888131,0.47,0.47,136382979,136382979,https://www.sec.gov/Archives/edgar/data/72903/000007290396000008/0000072903-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/72903/,6381200000,2306800000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1996-06-30,XEL,USD,0000072903,1996-08-14,1996-08-14 00:00:00,1996,Q2,592300000,180500000,411800000,0.6952557825,0,0,0,40400000,300500000,340900000,521400000,0,0,99000000,164900000,0.2784062131,70900000,0.1197028533,-30700000,40200000,0.0678710113,-3200000,40300000,0.0680398447,0.3,0.3,134333333,134333333,https://www.sec.gov/Archives/edgar/data/72903/000007290396000012/0000072903-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/72903/,6401300000,2314000000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1996-09-30,XEL,USD,0000072903,1996-11-14,1996-11-14 00:00:00,1996,Q3,633300000,165700000,467600000,0.7383546502,0,0,0,41200000,320900000,362100000,527800000,0,0,97400000,202600000,0.3199115743,105500000,0.1665877151,-25300000,80200000,0.1266382441,-4000000,81100000,0.1280593715,0.59,0.59,137457627,137457627,https://www.sec.gov/Archives/edgar/data/72903/000007290396000014/0000072903-96-000014-index.html,https://www.sec.gov/Archives/edgar/data/72903/,6394900000,2345900000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1996-12-31,XEL,USD,0000072903,1997-03-27,1997-03-27 00:00:00,1996,Q4,710000000,258700000,451300000,0.6356338028,0,0,0,32100000,157200000,189300000,448000000,0,0,104400000,361100000,0.5085915493,262000000,0.3690140845,-24200000,237800000,0.3349295775,158100000,76700000,0.108028169,0.58,0.58,137333333,137333333,https://www.sec.gov/Archives/edgar/data/72903/000007290397000004/0000072903-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/72903/,6636900000,2376400000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1997-03-31,XEL,USD,0000072903,1997-05-15,1997-05-15 00:00:00,1997,Q1,742500000,291600000,450900000,0.6072727273,0,0,0,34600000,327800000,362400000,654000000,0,0,100500000,185300000,0.2495622896,88500000,0.1191919192,-29100000,59400000,0.08,-6400000,61800000,0.0832323232,0.45,0.45,137333333,137333333,https://www.sec.gov/Archives/edgar/data/72903/000007290397000006/0000072903-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/72903/,6599400000,2348100000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1997-06-30,XEL,USD,0000072903,1997-08-13,1997-08-13 00:00:00,1997,Q2,594300000,182600000,411700000,0.6927477705,0,0,0,36300000,338900000,375200000,557800000,0,0,100400000,135300000,0.2276627966,36500000,0.0614167929,-35000000,1500000,0.0025239778,-16800000,15900000,0.0267541646,0.12,0.12,132500000,132500000,https://www.sec.gov/Archives/edgar/data/72903/000007290397000018/0000072903-97-000018-index.html,https://www.sec.gov/Archives/edgar/data/72903/,6869000000,2304600000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1997-09-30,XEL,USD,0000072903,1997-11-14,1997-11-14 00:00:00,1997,Q3,697400000,193100000,504400000,0.7232578147,0,0,0,37500000,295500000,333000000,526100000,0,0,100800000,697400000,1.0,171300000,0.2456266131,-40100000,131200000,0.1881273301,43300000,83100000,0.1191568684,0.62,0.62,137903226,137903226,https://www.sec.gov/Archives/edgar/data/72903/000007290397000028/0000072903-97-000028-index.html,https://www.sec.gov/Archives/edgar/data/72903/,7058600000,2572900000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1997-12-31,XEL,USD,0000072903,1998-03-30,1998-03-30 00:00:00,1997,Q4,699600000,260200000,439400000,0.6280731847,0,0,0,33300000,297700000,331000000,591200000,0,0,100100000,211100000,0.3017438536,108400000,0.1549456832,-39500000,68900000,0.0984848485,3500000,63000000,0.090051458,0.44,0.44,147072323,147837838,https://www.sec.gov/Archives/edgar/data/72903/000089710198000331/0000897101-98-000331-index.html,https://www.sec.gov/Archives/edgar/data/72903/,7144100000,2572000000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1998-03-31,XEL,USD,0000072903,1998-05-15,1998-05-15 00:00:00,1998,Q1,701400000,261700000,439700000,0.626889079,0,0,0,37800000,322800000,360600000,622300000,0,0,98700000,182900000,0.2607641859,79000000,0.1126318791,-36000000,43100000,0.0614485315,-14000000,54700000,0.0779868834,0.37,0.37,147837838,147837838,https://www.sec.gov/Archives/edgar/data/72903/000007290398000015/0000072903-98-000015-index.html,https://www.sec.gov/Archives/edgar/data/72903/,7191000000,2494200000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1998-06-30,XEL,USD,0000072903,1998-08-14,1998-08-14 00:00:00,1998,Q2,638700000,209500000,429200000,0.6719899796,0,0,0,36500000,327500000,364000000,573500000,0,0,103700000,170100000,0.266322217,65200000,0.1020823548,-42000000,23200000,0.0363237827,-11800000,33900000,0.0530765618,0.23,0.23,147391304,147391304,https://www.sec.gov/Archives/edgar/data/72903/000007290398000034/0000072903-98-000034-index.html,https://www.sec.gov/Archives/edgar/data/72903/,7130400000,2470900000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1998-09-30,XEL,USD,0000072903,1998-11-13,1998-11-13 00:00:00,1998,Q3,766400000,234600000,531800000,0.6938935282,0,0,0,36900000,360000000,396900000,631500000,0,0,115900000,243500000,0.3177192067,134900000,0.1760177453,-51200000,83700000,0.1092118998,-18000000,100600000,0.131263048,0.67,0.67,150149254,150149254,https://www.sec.gov/Archives/edgar/data/72903/000007290398000045/0000072903-98-000045-index.html,https://www.sec.gov/Archives/edgar/data/72903/,7266200000,2535100000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1998-12-31,XEL,USD,0000072903,1999-03-29,1999-03-29 00:00:00,1998,Q4,712800000,250500000,462300000,0.6485690236,0,0,0,38900000,192800000,231700000,482200000,0,0,57500000,336600000,0.4722222222,230600000,0.3235129068,6700000,237300000,0.3329124579,148700000,87600000,0.1228956229,0.59,0.59,150588235,150588235,https://www.sec.gov/Archives/edgar/data/72903/000104746999011811/0001047469-99-011811-index.html,https://www.sec.gov/Archives/edgar/data/72903/,7396300000,2586500000,Utilities,Regulated Electric,NASDAQ,2001-03-13
1999-03-31,XEL,USD,0000072903,1999-05-14,1999-05-14 00:00:00,1999,Q1,743183000,280206000,462977000,0.6229650032,0,0,0,30563000,308472000,339035000,619241000,0,0,124000000,235584000,0.3169932574,130200000,0.175192382,-51475000,78700000,0.1058958561,26400000,51261000,0.0689749362,0.34,0.34,152392000,152553000,https://www.sec.gov/Archives/edgar/data/72903/000007290399000008/0000072903-99-000008-index.html,https://www.sec.gov/Archives/edgar/data/72903/,7379400000,2601500000,Utilities,Regulated Electric,NASDAQ,2001-03-13
