Ticker,Records,Sector,Industry
AAPL,120,Technology,Consumer Electronics
ABT,123,Healthcare,Medical - Devices
ADM,121,Consumer Defensive,Agricultural Farm Products
ADP,122,Industrials,Staffing & Employment Services
ADSK,123,Technology,Software - Application
AEE,114,Utilities,Regulated Electric
AEP,122,Utilities,Regulated Electric
AIG,122,Financial Services,Insurance - Diversified
ALL,122,Financial Services,Insurance - Property & Casualty
AMAT,123,Technology,Semiconductors
AMD,122,Technology,Semiconductors
AMGN,122,Healthcare,Drug Manufacturers - General
APD,122,Basic Materials,Chemicals - Specialty
AVY,123,Industrials,Business Equipment & Supplies
AXP,123,Financial Services,Financial - Credit Services
BA,122,Industrials,Aerospace & Defense
BAC,123,Financial Services,Banks - Diversified
BAX,122,Healthcare,Medical - Instruments & Supplies
BBWI,123,Consumer Cyclical,Specialty Retail
BDX,122,Healthcare,Medical - Instruments & Supplies
BEN,122,Financial Services,Asset Management
BK,123,Financial Services,Asset Management
BLL,112,Consumer Cyclical,Packaging & Containers
BMY,122,Healthcare,Drug Manufacturers - General
BSX,123,Healthcare,Medical - Devices
C,123,Financial Services,Banks - Diversified
CAG,123,Consumer Defensive,Packaged Foods
CAT,122,Industrials,Agricultural - Machinery
CI,122,Healthcare,Medical - Healthcare Plans
CL,122,Consumer Defensive,Household & Personal Products
CLX,122,Consumer Defensive,Household & Personal Products
CMA,123,Financial Services,Banks - Regional
CMI,122,Industrials,Industrial - Machinery
CNP,123,Utilities,General Utilities
COP,122,Energy,Oil & Gas Exploration & Production
COST,123,Consumer Defensive,Discount Stores
CPB,123,Consumer Defensive,Packaged Foods
CSCO,123,Technology,Communication Equipment
CSX,123,Industrials,Railroads
CVS,122,Healthcare,Medical - Healthcare Plans
CVX,122,Energy,Oil & Gas Integrated
D,122,Utilities,Regulated Electric
DE,123,Industrials,Agricultural - Machinery
DHR,123,Healthcare,Medical - Diagnostics & Research
DIS,122,Communication Services,Entertainment
DOV,123,Industrials,Industrial - Machinery
DTE,122,Utilities,Regulated Electric
DUK,122,Utilities,Regulated Electric
ECL,123,Basic Materials,Chemicals - Specialty
EIX,122,Utilities,Regulated Electric
EMN,122,Basic Materials,Chemicals - Specialty
EMR,122,Industrials,Industrial - Machinery
ES,122,Utilities,Regulated Electric
ETN,122,Industrials,Industrial - Machinery
ETR,122,Utilities,Regulated Electric
EXC,122,Utilities,Regulated Electric
F,123,Consumer Cyclical,Auto - Manufacturers
FDX,123,Industrials,Integrated Freight & Logistics
