Sector,RMSE_count,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,MAE_count,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,MAPE (%)_count,MAPE (%)_mean,MAPE (%)_median,MAPE (%)_std,MAPE (%)_min,MAPE (%)_max,sMAPE (%)_count,sMAPE (%)_mean,sMAPE (%)_median,sMAPE (%)_std,sMAPE (%)_min,sMAPE (%)_max,Accuracy (%)_count,Accuracy (%)_mean,Accuracy (%)_median,Accuracy (%)_std,Accuracy (%)_min,Accuracy (%)_max
Communication Services,4,2711.485624799411,2256.943880495259,2834.317777066747,313.1696258313329,6018.885112375794,4,2507.915835855756,2173.767475851996,2637.190013568976,230.25948168332215,5453.868910035709,4,13.598925000000001,11.99305,7.8257163290334,5.8948,24.5148,4,15.160875,12.9009,9.537050137009519,6.1901,28.6516,4,86.40107499999999,88.00694999999999,7.825716329033396,75.4852,94.1052
Consumer Discretionary,12,2651.166693636504,1560.8462209220802,2433.1289922875044,243.2910397704856,7626.943063020165,12,2358.9911370800223,1382.7615692602808,2187.41929173079,204.4456313762232,6352.386537862349,12,24.164208333333335,21.259999999999998,11.235174178805865,6.9524,40.8515,12,25.18935833333333,24.210549999999998,12.826839806753107,6.643,49.1934,12,75.83579166666667,78.74000000000001,11.235174178805869,59.1485,93.0476
Consumer Staples,19,4855.547282079553,768.9266907362475,7363.48976595268,177.30579893471776,28258.00350258613,19,4370.008216043894,655.6993455685648,6623.514816015383,146.1871417820137,25517.561443536953,19,17.235699999999998,13.4347,10.06036694509698,4.5848,40.7347,19,19.67821052631579,14.7318,13.05379412265069,4.7702,52.3699,19,82.7643,86.5653,10.060366945096984,59.2653,95.4152
Energy,9,9608.99732745711,3537.5096494306695,13471.962792252216,723.8620896768266,39616.0214193901,9,8900.652587969764,3244.183167929156,12471.604474236645,666.992581225717,36767.87873865737,9,43.643477777777775,41.4469,10.347664366268576,27.5295,66.8609,9,58.35788888888889,53.5368,18.750049642697245,32.4837,102.581,9,56.356522222222225,58.5531,10.347664366268576,33.1391,72.4705
Financial ,22,5427.684821593889,1832.4223041479995,7537.476479639284,204.79173007758735,28422.25725194751,22,4381.1342179251515,1486.9859949189806,6053.34312914593,183.62981458083453,22488.76370641469,22,51.67839545454546,28.44295,106.98421204526474,8.2366,528.3487,22,35.60402727272727,33.58325,16.105327043002816,8.6636,69.9231,22,48.32160454545454,71.55705,106.98421204526473,-428.3487,91.7634
Healthcare,18,6234.383001481385,2629.5394058952857,8254.989494098321,282.7960987840192,26843.55021478052,18,5375.299408654947,2255.778632019031,7132.696295029786,248.41735975454657,22894.115520328032,18,20.9749,20.2789,10.400248054168483,6.8165,42.3923,18,24.80713888888889,22.66515,14.0453361803478,6.6532,55.9343,18,79.02510000000001,79.7211,10.400248054168479,57.6077,93.1835
Industrials,32,1970.2285563381188,1253.3462074642152,1698.5174088888145,237.08391024316583,6164.116335488977,32,1767.4459311681924,1189.636204952514,1539.6814876866015,211.41420837696822,5713.449875371872,32,24.680171875,21.372300000000003,14.69493298173117,5.0682,81.0561,32,27.91839375,24.43995,17.362483215903776,4.972,103.3618,32,75.319828125,78.6277,14.69493298173117,18.9439,94.9318
Information Technology,14,5235.574750154593,3039.690615531408,8314.39860485903,378.180438561733,32949.03859910297,14,4755.305816109394,2618.304233011806,7919.810811894319,335.09039675912237,31337.97734770882,14,28.180857142857143,24.763199999999998,14.827366977041747,7.1631,59.7601,14,32.19135,28.8855,20.373872361764256,7.4514,88.6098,14,71.81914285714285,75.2368,14.827366977041747,40.2399,92.8369
Materials,9,1370.2695264018869,898.9116526893775,1073.5603883005763,457.66382359732694,4036.506104164303,9,1239.9947623658277,850.5579218182424,1019.8444870827831,422.7462717846107,3759.16283361853,9,25.3654,19.4449,14.010864642751352,11.6638,55.3999,9,31.136744444444446,22.2886,21.17244496882157,12.6537,78.3658,9,74.6346,80.5551,14.010864642751352,44.6001,88.3362
Real Estate,1,551.1096079295166,551.1096079295166,,551.1096079295166,551.1096079295166,1,483.48763808218985,483.48763808218985,,483.48763808218985,483.48763808218985,1,23.147,23.147,,23.147,23.147,1,21.5885,21.5885,,21.5885,21.5885,1,76.853,76.853,,76.853,76.853
Utilities,16,1129.4163390565736,1034.6492599110713,628.1251432268144,291.1125864727712,2513.654719368692,16,971.4245917337807,848.2686569737723,552.9984063894926,234.651773826117,2231.1292653299643,16,24.21875,22.5557,7.046945027740746,11.9708,36.0366,16,27.74239375,26.072499999999998,8.884242252472914,13.1776,45.5142,16,75.78125,77.4443,7.046945027740746,63.9634,88.0292
