Sector,RMSE_count,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,MAE_count,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,MAPE (%)_count,MAPE (%)_mean,MAPE (%)_median,MAPE (%)_std,MAPE (%)_min,MAPE (%)_max,sMAPE (%)_count,sMAPE (%)_mean,sMAPE (%)_median,sMAPE (%)_std,sMAPE (%)_min,sMAPE (%)_max,Accuracy (%)_count,Accuracy (%)_mean,Accuracy (%)_median,Accuracy (%)_std,Accuracy (%)_min,Accuracy (%)_max
Communication Services,4,1322.6110950860493,782.7389286322016,1547.8447516258898,182.7935217041462,3542.1730013756483,4,1100.809171097027,615.4483219403542,1329.8390576674292,150.244326856555,3022.0957136508446,4,7.986975,6.603899999999999,5.517920229805791,2.9262,15.8139,4,7.8343,6.6454,5.240576049125388,2.8726,15.1738,4,92.013025,93.3961,5.517920229805798,84.1861,97.0738
Consumer Discretionary,12,3066.6782961546783,1466.0367045391317,3508.4054137058793,262.48988978690556,11433.511301756225,12,2737.8903893217575,1338.7595687188782,3197.3355454550865,207.31447850834698,10742.504040984104,12,24.922483333333332,19.49365,16.302645299840886,13.6584,74.2606,12,24.016050000000003,19.441850000000002,11.485536966154832,14.2966,52.4913,12,75.07751666666667,80.50635,16.302645299840894,25.7394,86.3416
Consumer Staples,19,5020.477740782763,788.5085678029803,8563.304152629711,219.42418234388975,30707.883247676826,19,4439.102647325337,701.3420421389185,7505.303351648714,175.79178711275424,27268.309811464234,19,16.35967894736842,14.7466,8.020895692265224,4.074,32.2715,19,18.44822105263158,15.9897,9.953256597302934,4.0672,40.0968,19,83.64032105263158,85.2534,8.02089569226523,67.7285,95.926
Energy,9,5823.934687490859,1538.481134365673,7957.351620454342,285.6921795567291,22916.314705855333,9,5215.991637818341,1440.3835604103103,7137.49486731238,215.58449086360787,20566.362758818817,9,29.51221111111111,27.4334,11.218964446690753,19.464,52.5269,9,32.18046666666667,29.0944,15.499248098940157,16.5128,62.4258,9,70.4877888888889,72.5666,11.21896444669075,47.4731,80.536
Financial ,22,4656.559601345034,1557.3063465581931,6560.157392564753,231.6027351775488,26595.66495791759,22,3806.1576702173447,1276.7905060378378,5339.672559709445,204.72265902469468,21188.70258217576,22,43.13538181818182,26.6966,81.50288880769013,13.0021,406.5655,22,29.150645454545455,27.2161,10.064946574159878,12.6492,49.9899,22,56.86461818181818,73.3034,81.50288880769013,-306.5655,86.9979
Healthcare,18,4904.025704878008,2543.514585049438,6293.277801460306,315.9392939902743,21372.38061888789,18,4183.33336115793,2359.142556427826,5394.1576875497685,195.960519021533,18638.344567796088,18,18.948983333333334,17.601300000000002,10.924311517854003,3.1266,40.4407,18,21.904138888888887,20.55525,14.416887698649024,3.0769,50.7982,18,81.05101666666667,82.39869999999999,10.924311517854004,59.5593,96.8734
Industrials,32,1729.0473861537591,1024.3730641784286,2059.280250328513,175.85567710848107,9058.559223958946,32,1519.1869192494155,850.376218836995,1870.9263385440347,166.09344457749222,8136.858659543853,32,19.300265624999998,15.9298,13.613546978193817,5.8361,70.7427,32,19.94881875,16.62885,11.713674190378816,6.0489,50.3062,32,80.699734375,84.0702,13.613546978193813,29.2573,94.1639
Information Technology,14,5935.8170886242215,3310.107157086574,9534.347891321677,326.3119431431502,37848.229218162356,14,5384.5836070064015,2712.156975153302,9173.633394964547,276.54810124384755,36359.6012146466,14,29.72717857142857,33.23015,13.76944494552947,7.4927,58.2478,14,34.09749285714285,26.21785,20.461654159031017,7.3755,86.2593,14,70.27282142857143,66.76984999999999,13.76944494552947,41.7522,92.5073
Materials,9,1224.3379330665352,1092.1254447551444,844.3485636463859,231.52598471856186,3135.573704781479,9,1075.0677140169441,1004.6202776573261,764.9086763817742,159.684452517773,2843.0994675559286,9,22.467666666666666,21.06,12.514206687101664,6.3954,46.5852,9,27.067922222222222,23.9954,17.81364423712746,6.6697,63.69,9,77.53233333333333,78.94,12.514206687101666,53.4148,93.6046
Real Estate,1,694.9621883974028,694.9621883974028,,694.9621883974028,694.9621883974028,1,557.3600614066712,557.3600614066712,,557.3600614066712,557.3600614066712,1,24.4823,24.4823,,24.4823,24.4823,1,29.0865,29.0865,,29.0865,29.0865,1,75.5177,75.5177,,75.5177,75.5177
Utilities,16,1100.3691177554829,836.0428514645844,1188.5238745631868,350.50081899586667,5300.752815006065,16,962.7450140828918,652.1535358775101,1099.8097827052197,279.255116936207,4864.270648661275,16,23.5581,20.3607,18.745413378495197,11.7127,91.6754,16,22.821775,20.776049999999998,11.105862825282868,11.7605,59.2193,16,76.4419,79.6393,18.745413378495194,8.3246,88.2873
