Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
AAPL,Information Technology,1.1744354155964434,0.9958044082410052,6,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.6590401884757853,0.01,6,0.347,0.463,0.574,0.739,11550.238268686124,8229.378546653039,11.9877,12.6078,88.0123,25998.34997073572,23711.893462096967,23.5438,27.0933,76.4562,84,17,19
ABT,Healthcare,-1.3000699241079818,0.6291403227093825,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.340482256527012,0.01,6,0.347,0.463,0.574,0.739,2218.2189888008875,1977.1945766292654,25.8124,30.6584,74.1876,1852.7035597473855,1767.7247243101313,16.5,18.1015,83.5,85,18,19
ADM,Consumer Staples,-1.513447194747873,0.5268490265733493,4,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.489194080887477,0.01,6,0.347,0.463,0.574,0.739,1905.6322125932913,1758.162190590002,10.9804,11.7243,89.0196,7680.4095978858395,7318.397342292323,31.9303,38.4256,68.0697,84,18,19
ADP,Industrials,1.757424566795301,0.9982607298389934,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7331486323464873,0.01,6,0.347,0.463,0.574,0.739,404.5480380885251,361.5728511230039,10.3755,11.0709,89.6245,788.0090859183663,680.6005349266159,14.3212,15.7697,85.6788,85,18,19
ADSK,Information Technology,1.9849888955612216,0.9986531255202751,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.5391480105129396,0.01,6,0.347,0.463,0.574,0.739,153.03273497623047,137.41888332469074,21.2863,20.999,78.7137,427.74757822154135,376.51333140490954,27.3754,32.749,72.6246,85,18,19
AEE,Utilities,-1.3265766684600506,0.616927464874951,7,103,-3.4954932834550623,-2.8900369024285117,-2.5819706975209726,0.9327381907056318,0.01,5,0.347,0.463,0.574,0.739,134.8291792245424,108.43970250071713,6.7708,7.0262,93.2292,459.5475259324573,389.42897683954504,19.5864,22.4735,80.4136,74,18,19
AEP,Utilities,-4.001501560434186,0.0014026690192578092,0,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,0.11083591543563516,0.1,5,0.347,0.463,0.574,0.739,214.67260478003007,161.79432944861844,4.052,4.0938,95.948,1051.398392492091,936.310487019583,18.97,21.4356,81.03,85,18,19
AIG,Financial ,-2.635756316928787,0.0858300231814807,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.3209076389299198,0.1,5,0.347,0.463,0.574,0.739,2382.624310709114,2095.021252044653,17.8775,16.2427,82.1225,3518.9191103132152,2973.5157064592117,36.2189,28.5141,63.7811,85,18,19
ALL,Financial ,2.5909636493115666,0.9990734290411671,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4506555451994387,0.01,6,0.347,0.463,0.574,0.739,1418.3297153033334,1238.4492980762545,11.8294,12.784,88.1706,3814.535947062879,3461.2807275200926,23.5513,27.2159,76.4487,85,18,19
AMAT,Information Technology,0.7388640446327687,0.9905823958150047,5,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4650596778627334,0.01,6,0.347,0.463,0.574,0.739,1615.5121349572091,1524.4713827597511,39.2383,49.7291,60.7617,2339.4223052829207,2206.423675799274,33.487,41.0943,66.513,85,18,19
