Ticker,Sector,ADF Statistic,ADF p-value,ADF Lags Used,ADF Observations Used,ADF CV 1%,ADF CV 5%,ADF CV 10%,KPSS Statistic,KPSS p-value,KPSS Lags Used,KPSS CV 10%,KPSS CV 5%,KPSS CV 2.5%,KPSS CV 1%,Val RMSE,Val MAE,Val MAPE (%),Val sMAPE (%),Val Accuracy (%),RMSE,MAE,MAPE (%),sMAPE (%),Accuracy (%),Train N,Val N,Test N
AAPL,Information Technology,1.174435415596441,0.9958044082410052,6,113,-3.489589552580676,-2.887477210140433,-2.580604145195395,1.6590401884757857,0.01,6,0.347,0.463,0.574,0.739,11007.271015461614,7852.4596031834,11.5708,12.0177,88.4292,25127.03456916752,22818.564390519776,22.6458,25.9451,77.3542,84,17,19
ABT,Healthcare,-1.3000699241079818,0.6291403227093825,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.340482256527012,0.01,6,0.347,0.463,0.574,0.739,2323.768871956597,2075.7937793086985,27.1134,32.4631,72.8866,1757.1878119074015,1661.0808288815592,15.4766,16.9058,84.5234,85,18,19
ADM,Consumer Staples,-1.5134471947478745,0.5268490265733484,4,116,-3.4880216384691867,-2.8867966864160075,-2.5802408234244947,1.4891940808874766,0.01,6,0.347,0.463,0.574,0.739,2440.777960753498,2279.6146119895675,14.279,15.5354,85.721,7925.785348732078,7573.08751805012,33.0774,40.0614,66.9226,84,18,19
ADP,Industrials,1.7574245667952981,0.9982607298389934,12,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.7331486323464875,0.01,6,0.347,0.463,0.574,0.739,409.12172890656626,364.26659332877546,10.4448,11.1478,89.5552,822.330261675388,719.5713186918719,15.181,16.7639,84.819,85,18,19
ADSK,Information Technology,1.9849888955612203,0.9986531255202751,13,109,-3.49181775886872,-2.8884437992971588,-2.5811201893779985,1.5391480105129396,0.01,6,0.347,0.463,0.574,0.739,153.2794826619939,137.93238758755922,21.4577,21.0779,78.5423,459.46805946046095,412.5225065104123,30.2421,36.6289,69.7579,85,18,19
AEE,Utilities,-1.3265766684600495,0.6169274648749515,7,103,-3.4954932834550623,-2.8900369024285117,-2.5819706975209726,0.9327381907056318,0.01,5,0.347,0.463,0.574,0.739,131.91584475326684,106.64639745752696,6.6689,6.9024,93.3311,456.2855608787965,386.9281588381102,19.4669,22.3106,80.5331,74,18,19
AEP,Utilities,-4.001501560434186,0.0014026690192578092,0,121,-3.485585145896754,-2.885738566292665,-2.5796759080663887,0.11083591543563513,0.1,5,0.347,0.463,0.574,0.739,333.56981031459037,260.72291761664405,6.3517,6.6539,93.6483,1096.2035913374843,957.0572799375801,19.2289,21.8642,80.7711,85,18,19
AIG,Financial ,-2.635756316928786,0.08583002318148081,2,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057,0.3209076389299198,0.1,5,0.347,0.463,0.574,0.739,2392.595061455909,2091.01631905128,17.8592,16.2122,82.1408,3581.0386256869665,2996.385805748628,36.8556,28.6762,63.1444,85,18,19
ALL,Financial ,2.5909636493115666,0.9990734290411671,4,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4506555451994387,0.01,6,0.347,0.463,0.574,0.739,1455.2305035532881,1283.084336981825,12.2757,13.2848,87.7243,3784.097818539926,3426.269709206952,23.2971,26.8939,76.7029,85,18,19
AMAT,Information Technology,0.7388640446327674,0.9905823958150047,5,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,1.4650596778627334,0.01,6,0.347,0.463,0.574,0.739,1614.9831669768917,1526.3141801636448,39.317,49.8193,60.683,2286.947625391866,2152.104050912369,32.6357,39.8665,67.3643,85,18,19
