Sector,RMSE_count,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,MAE_count,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,MAPE_count,MAPE_mean,MAPE_median,MAPE_std,MAPE_min,MAPE_max,WAPE_count,WAPE_mean,WAPE_median,WAPE_std,WAPE_min,WAPE_max,sMAPE_count,sMAPE_mean,sMAPE_median,sMAPE_std,sMAPE_min,sMAPE_max
Communication Services,4,3645.160620773391,994.1024453077946,5771.607304288215,320.5894839003613,12271.848108577615,4,3614.0959091186523,946.5765075683594,5783.787951948583,302.1202697753906,12261.1103515625,4,19.75592041015625,11.947718143463135,21.26444986128247,3.9820547103881836,51.14619064331055,4,19.89100258797407,12.193241342902184,21.208555330700896,4.00925874710083,51.16826891899109,4,24.590006470680237,12.789369106292725,29.71904698285158,4.048385143280029,68.73290252685547
Consumer Discretionary,11,3210.0688290547473,957.372119397677,4031.9302053048373,160.79203984689354,12223.209398517232,11,3079.433016690341,908.7655029296875,3933.4128535911063,134.50833129882812,12060.013671875,11,20.942459539933637,20.208293914794922,14.163715411175195,4.172181129455566,52.96916961669922,11,20.78634866259315,20.62680870294571,13.986861562275788,4.186924546957016,53.26128005981445,11,23.524058775468305,22.674793243408203,18.931861297006723,4.1532697677612305,72.21830749511719
Consumer Staples,19,5101.001850050786,965.5612357587685,9068.2807953246,274.91387856017747,32149.788428541797,19,4820.141667416221,895.3806762695312,8725.528035652893,261.1241455078125,30592.64453125,19,17.32895497271889,15.061369895935059,11.500485322585833,5.644343376159668,43.93173599243164,19,17.647052262174455,15.150731801986694,11.750289853747963,5.536971986293793,44.46039795875549,19,19.89119913703517,16.330846786499023,15.291748798516165,5.614790916442871,56.33600997924805
Energy,8,3302.7875272187002,1748.489826245948,3899.2085086056004,323.64205488085133,11915.746892243054,8,2846.4072494506836,1738.3238525390625,3558.7643912340372,260.15625,11111.203125,8,19.133709609508514,16.692896366119385,14.143476061102893,4.683703899383545,45.35685348510742,8,19.008764903992414,16.770730912685394,14.124068914022315,4.700840264558792,45.380693674087524,8,21.13077986240387,16.83808135986328,18.580839726410222,4.524383544921875,58.665531158447266
Financial ,22,5976.3732638673655,2456.38351478733,8314.147434390505,237.2898741518483,35834.140592457356,22,5959.797566500577,2437.3531494140625,8310.144841288995,223.5882110595703,35804.90625,22,35.90435413880782,31.13113498687744,16.507116548103625,10.319043159484863,68.91488647460938,22,36.07230955226855,31.160245835781097,16.412712364792558,10.436668246984482,68.86221766471863,22,43.905666611411355,36.88554000854492,22.589046944300048,10.943227767944336,91.79097747802734
Healthcare,18,12088.734196681244,3336.9706284414756,19393.50263594512,40.71694972756662,58437.16954131163,18,12035.581827799479,3323.170654296875,19382.71589651575,40.12646484375,58267.9296875,18,33.92601317829556,33.54921913146973,24.635051381397503,1.4697813987731934,81.14859771728516,18,33.99459357476897,33.593812584877014,24.651080088161553,1.4701928943395615,81.15121722221375,18,46.265076365735794,40.35837745666504,38.903272276617614,1.4700196981430054,136.555908203125
Industrials,31,2356.9465686059207,1431.5638738805894,2785.0659900530904,175.3179756275009,13700.099853650703,31,2313.09639863045,1426.4140625,2779.4062338689055,154.59130859375,13679.8857421875,31,26.08880433728618,25.20962142944336,21.205135811790356,4.533139228820801,125.55467987060547,31,26.233399575275758,25.28512179851532,21.02033712039581,4.570265114307404,124.39652681350708,31,27.835015789155037,26.150522232055664,16.403547880652617,4.612912178039551,76.84407043457031
Information Technology,14,11711.342223806412,4648.999867131798,20208.511995851095,916.0232325110537,70325.26578691331,14,11601.374808175224,4579.4091796875,19994.434791219937,884.5856323242188,69365.3359375,14,45.67579214913504,47.98675727844238,19.06247896246544,21.301586151123047,78.6583480834961,14,45.77400982379913,48.13464134931564,19.045498107551364,21.360474824905396,78.66243124008179,14,58.34001132420131,41.451860427856445,34.42792736218693,22.24976348876953,129.6497039794922
Materials,9,1829.6018632614666,1778.726159362368,1376.1781809700099,140.85774489489387,4546.211609681186,9,1778.613054063585,1778.4013671875,1393.9242191119092,138.889404296875,4543.48095703125,9,34.63824441697862,36.236907958984375,18.10912760779545,6.101627349853516,63.67621612548828,9,33.760001841518616,36.56297028064728,18.575629620065705,6.110400706529617,63.68111968040466,9,43.07383542590671,44.43437576293945,28.3043576636514,6.29893159866333,93.42205810546875
Real Estate,1,2221.838878046741,2221.838878046741,,2221.838878046741,2221.838878046741,1,2219.585693359375,2219.585693359375,,2219.585693359375,2219.585693359375,1,124.77911376953125,124.77911376953125,,124.77911376953125,124.77911376953125,1,124.34654235839844,124.34654235839844,,124.34654235839844,124.34654235839844,1,76.70768737792969,76.70768737792969,,76.70768737792969,76.70768737792969
Utilities,16,966.4691927007227,793.1239123613352,698.3430226927219,257.25440350944433,2109.7998720257806,16,895.9360485076904,719.5087890625,668.8376160200205,207.53643798828125,2014.9234619140625,16,20.12280237674713,22.707030296325684,8.1188878169722,6.551414489746094,30.417957305908203,16,20.495958253741264,23.3154259622097,8.12024247150345,7.020773738622665,29.78948950767517,16,22.448446303606033,24.901389122009277,9.763473406500543,6.9442667961120605,36.228946685791016
