Ticker,Sector,RMSE,MAE,NRMSE,MAPE (%),MdAPE (%),sMAPE (%),Accuracy (%)
COP,Energy,11155.71482762396,10668.221922157967,0.7822533362053129,70.23654527485314,74.65852829259791,110.93404290440267,29.763454725146858
PFE,Healthcare,185582.14893762235,127040.44186834796,10.447680512166992,834.952066159217,576.0694713268873,112.35252069643171,0.0
WY,Real Estate,8305.561115271392,6536.090664967369,4.283425020769154,352.9960942307338,251.4440388629645,102.89666086765676,0.0
PCAR,Industrials,184698.5571946824,119799.44835116323,23.399705720706752,1739.603485640833,819.7158654783746,143.02036358554744,0.0
HES,Energy,2063.0237281673594,1956.6560868695926,0.7031437382983503,71.68014070610478,74.59964135170874,114.6487323260589,28.31985929389522
RVTY,Healthcare,17382.151089635285,12587.742089516476,24.419890179776278,1789.1977093259986,1111.9478943830657,151.33390069001032,0.0
LUV,Industrials,5989.6359680265095,5864.185756057047,0.9318039776021327,94.25935740068432,97.37450284402676,179.4934695545427,5.740642599315677
DRI,Consumer Discretionary,15281.154680421489,11139.932009075557,5.542674893152515,377.07751703621517,224.75243178680807,104.65868327362853,0.0
MAR,Consumer Discretionary,5291.1439011527,5128.903063638657,0.8925681344724521,91.11790318201967,95.99681477564499,169.7201123097413,8.882096817980326
CCL,Consumer Discretionary,5224.078530891071,4758.166411618869,0.9681390902318523,99.91777605513651,99.99795429133644,199.67224891826027,0.08222394486348605
DVN,Energy,3494.921989995368,3352.9702650706745,0.8633700568170373,80.05824794786162,85.08407033659587,139.51915239272822,19.941752052138384
EOG,Energy,4502.47588434322,4343.796169428507,0.7676855727780428,71.43533078832888,73.13965799447116,114.37849372082778,28.564669211671116
VLO,Energy,26011.7516673631,25217.924754937794,0.7537671815283874,70.4543121938586,72.47417159872298,110.42722135982181,29.5456878061414
LH,Healthcare,11138.417747359139,9219.180803990792,3.3937896853623206,282.3472494398845,219.20446586158562,101.60598478369027,0.0
